Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,27.80,27.87,27.20,27.36,3887600,27.36
2017-01-23,27.27,27.89,27.25,27.71,3178700,27.71
2017-01-20,27.32,27.60,27.16,27.33,5129000,27.33
2017-01-19,27.20,27.43,27.07,27.18,4677100,27.18
2017-01-18,27.45,27.83,27.16,27.26,3616700,27.26
2017-01-17,27.17,27.45,27.00,27.45,7700600,27.45
2017-01-16,27.30,27.49,26.85,27.05,3116300,27.05
2017-01-13,28.68,28.68,27.16,27.25,6444700,27.25
2017-01-12,29.50,29.62,28.40,28.40,4715400,28.40
2017-01-11,29.56,29.88,28.50,28.71,2656600,28.71
2017-01-10,29.35,29.56,29.03,29.56,1641500,29.56
2017-01-09,28.68,29.42,28.35,29.32,1686500,29.32
2017-01-06,29.04,29.17,28.35,28.67,1998400,28.67
2017-01-05,29.70,29.72,28.99,29.12,3386300,29.12
2017-01-04,28.95,29.85,28.47,29.72,6728900,29.72
2017-01-03,28.30,28.95,28.08,28.81,3355900,28.81
2017-01-02,27.85,28.61,27.81,27.82,1035100,27.82
2016-12-30,28.30,28.30,28.30,28.30,000,28.30
2016-12-29,27.99,28.42,27.60,28.30,2377500,28.30
2016-12-28,27.01,27.99,26.55,27.99,2265900,27.99
2016-12-27,27.58,27.58,26.72,26.91,2821400,26.91
2016-12-26,27.34,27.47,27.04,27.33,1446200,27.33
2016-12-23,27.10,27.35,26.79,27.25,2576800,27.25
2016-12-22,26.28,27.10,26.10,27.10,3629500,27.10
2016-12-21,26.28,26.28,26.28,26.28,2728500,26.28
2016-12-20,26.52,26.52,26.11,26.49,2785100,26.49
2016-12-19,26.47,26.80,26.12,26.30,3695300,26.30
2016-12-16,26.53,27.20,26.21,26.47,5177200,26.47
2016-12-15,26.30,26.90,26.01,26.62,6127500,26.62
2016-12-14,26.47,26.63,26.03,26.31,4360400,26.31
2016-12-13,25.61,27.05,25.60,26.66,5432400,26.66
2016-12-12,26.55,26.65,25.54,25.82,6658400,25.82
2016-12-09,27.13,27.26,26.56,26.71,4411300,26.71
2016-12-08,27.80,27.80,26.70,27.00,2708300,27.00
2016-12-07,27.50,27.80,27.01,27.40,3903400,27.40
2016-12-06,26.80,27.43,26.30,27.20,4992200,27.20
2016-12-05,27.30,27.47,26.81,27.00,3629000,27.00
2016-12-02,26.50,27.60,26.13,27.50,6448600,27.50
2016-12-01,27.69,27.80,26.58,26.95,4518800,26.95
2016-11-30,28.28,28.59,27.98,28.29,4635500,28.29
2016-11-29,28.45,28.62,27.91,27.94,2966600,27.94
2016-11-28,28.10,28.90,27.42,28.65,3334800,28.65
2016-11-25,28.00,28.26,27.62,27.92,2205000,27.92
2016-11-24,28.71,28.89,28.05,28.16,2761500,28.16
2016-11-23,28.90,29.10,28.57,28.71,3206900,28.71
2016-11-22,29.20,29.77,28.77,29.13,2678400,29.13
2016-11-21,29.32,29.32,28.58,28.91,2910000,28.91
2016-11-18,28.50,29.39,28.33,28.99,4452400,28.99
2016-11-17,29.15,29.30,28.11,28.65,3125100,28.65
2016-11-16,28.12,29.41,27.93,29.07,4354700,29.07
2016-11-15,28.10,28.10,28.10,28.10,000,28.10
2016-11-14,27.99,28.52,27.66,28.10,5892100,28.10
2016-11-11,28.42,29.47,27.60,28.10,5919900,28.10
2016-11-10,30.40,30.40,28.32,28.70,7698700,28.70
2016-11-09,29.51,30.43,29.21,30.18,2708000,30.18
2016-11-08,30.43,30.99,30.09,30.50,3708000,30.50
2016-11-07,30.15,31.03,30.00,30.78,3428200,30.78
2016-11-04,29.80,30.13,29.50,29.55,4604700,29.55
2016-11-03,31.11,31.11,29.51,29.80,8484200,29.80
2016-11-02,31.11,31.11,31.11,31.11,000,31.11
2016-11-01,32.25,32.25,31.07,31.11,2464000,31.11
2016-10-31,31.50,32.14,31.30,32.14,2989200,32.14
2016-10-28,31.63,31.96,30.84,31.34,3001200,31.34
2016-10-27,31.20,31.92,31.11,31.45,1558100,31.45
2016-10-26,31.41,31.78,31.03,31.22,1765800,31.22
2016-10-25,31.74,32.09,31.40,31.64,2056100,31.64
2016-10-24,32.40,32.40,31.60,31.81,2270200,31.81
2016-10-21,32.39,32.39,31.73,32.05,2361200,32.05
2016-10-20,32.00,32.58,31.81,32.33,2606000,32.33
2016-10-19,32.27,32.70,32.01,32.33,3088200,32.33
2016-10-18,31.92,32.34,31.75,32.30,4871200,32.30
2016-10-17,31.43,31.99,31.22,31.92,2489800,31.92
2016-10-14,31.00,31.67,30.86,31.53,3850400,31.53
2016-10-13,30.30,31.05,30.01,30.90,4372200,30.90
2016-10-12,30.45,30.45,30.45,30.45,000,30.45
2016-10-11,30.50,30.78,30.30,30.45,2824000,30.45
2016-10-10,30.47,30.86,30.47,30.84,1898700,30.84
2016-10-07,30.23,30.41,30.00,30.41,3008000,30.41
2016-10-06,30.16,30.28,29.96,30.07,2680900,30.07
2016-10-05,30.58,30.90,30.00,30.11,4158200,30.11
2016-10-04,30.31,30.60,30.15,30.56,3683500,30.56
2016-10-03,30.05,30.62,29.85,30.45,4317700,30.45
2016-09-30,30.42,30.55,29.88,29.88,5245900,29.88
2016-09-29,31.00,31.07,30.29,30.33,4144000,30.33
2016-09-28,31.00,31.18,30.50,30.82,2231000,30.82
2016-09-27,30.50,31.05,30.11,30.91,1977900,30.91
2016-09-26,30.85,31.10,30.22,30.54,3582500,30.54
2016-09-23,30.99,31.48,30.67,31.17,3190900,31.17
2016-09-22,30.45,31.03,30.20,31.03,3138700,31.03
2016-09-21,29.76,30.33,29.40,30.17,2758300,30.17
2016-09-20,29.82,29.97,29.63,29.63,2584500,29.63
2016-09-19,30.00,30.48,29.65,29.81,2549300,29.81
2016-09-16,30.30,30.43,29.82,29.94,3336400,29.94
2016-09-15,30.00,30.80,29.82,30.59,3018500,30.59
2016-09-14,29.66,30.00,29.61,29.90,2366400,29.90
2016-09-13,30.00,30.18,29.54,29.75,3672900,29.75
2016-09-12,29.80,30.64,29.80,30.46,3047600,30.46
2016-09-09,30.61,30.90,29.77,30.24,4334700,30.24
2016-09-08,31.00,31.29,30.55,31.11,4102100,31.11
2016-09-07,31.18,31.18,31.18,31.18,000,31.18
2016-09-06,30.70,31.34,30.41,31.18,5482200,31.18
2016-09-05,30.69,30.98,30.37,30.67,2960000,30.67
2016-09-02,29.95,30.75,29.95,30.74,3556000,30.74
2016-09-01,29.05,30.00,29.03,30.00,7383100,30.00
2016-08-31,29.32,29.64,29.02,29.15,8884100,29.15
2016-08-30,29.08,29.35,28.83,29.20,2768000,29.20
2016-08-29,28.70,29.29,28.54,29.00,2520800,29.00
2016-08-26,29.20,29.40,28.57,28.71,4017800,28.71
2016-08-25,28.70,29.11,28.33,29.02,3493300,29.02
2016-08-24,28.24,28.80,28.03,28.60,2346400,28.60
2016-08-23,28.35,28.98,28.22,28.23,2844500,28.23
2016-08-22,28.68,28.82,27.91,28.24,3163100,28.24
2016-08-19,29.07,29.11,28.06,28.80,3466900,28.80
2016-08-18,29.50,30.00,29.05,29.05,4578700,29.05
2016-08-17,29.55,29.64,28.80,29.45,4378800,29.45
2016-08-16,29.69,29.93,29.51,29.55,2642700,29.55
2016-08-15,29.87,30.07,29.72,29.81,2411300,29.81
2016-08-12,30.12,30.24,29.64,29.81,4040100,29.81
2016-08-11,30.01,30.78,29.70,30.64,5328800,29.80
2016-08-10,29.97,30.20,29.76,29.88,3507300,29.06
2016-08-09,29.98,30.69,29.63,29.79,2938900,28.98
2016-08-08,30.24,30.24,29.48,29.97,2652800,29.15
2016-08-05,30.40,30.50,29.96,30.28,4049700,29.45
2016-08-04,30.00,30.58,29.67,30.34,3165700,29.51
2016-08-03,29.58,29.94,29.20,29.90,2625100,29.08
2016-08-02,29.95,30.13,29.32,29.80,3473600,28.99
2016-08-01,30.26,30.84,29.69,30.14,4094900,29.32
2016-07-29,29.34,30.28,29.03,30.14,3452100,29.32
2016-07-28,28.81,29.49,28.53,29.36,2148400,28.56
2016-07-27,29.45,29.73,28.83,29.05,3278200,28.26
2016-07-26,29.37,29.77,29.22,29.42,2611700,28.62
2016-07-25,29.87,29.87,29.03,29.35,4393900,28.55
2016-07-22,29.56,29.98,29.56,29.70,1985000,28.89
2016-07-21,30.00,30.20,29.54,29.67,2551400,28.86
2016-07-20,29.70,30.27,29.58,30.07,5327500,29.25
2016-07-19,29.80,29.89,29.19,29.69,3196700,28.88
