Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,32.20,32.38,31.76,32.12,6896500,32.12
2017-01-23,31.43,32.38,31.39,32.24,10818000,32.24
2017-01-20,31.84,31.91,31.25,31.52,10715500,31.52
2017-01-19,31.63,31.87,31.36,31.67,6851800,31.67
2017-01-18,32.02,32.09,31.52,31.70,6277300,31.70
2017-01-17,31.06,32.15,30.99,32.02,8227600,32.02
2017-01-16,31.10,31.29,30.80,31.13,4799500,31.13
2017-01-13,31.32,31.59,30.88,31.07,9062300,31.07
2017-01-12,31.35,31.65,31.20,31.32,16149000,31.32
2017-01-11,30.55,30.66,30.15,30.60,5594000,30.60
2017-01-10,30.50,30.66,30.17,30.37,6614800,30.37
2017-01-09,30.12,30.49,29.93,30.37,7212900,30.37
2017-01-06,30.16,30.33,29.91,30.33,5289100,30.33
2017-01-05,29.83,30.37,29.57,30.14,9203400,30.14
2017-01-04,29.74,30.10,29.66,29.81,8180200,29.81
2017-01-03,29.00,30.08,28.90,30.00,13508300,30.00
2017-01-02,28.77,28.80,28.50,28.80,2690000,28.80
2016-12-30,29.00,29.00,29.00,29.00,000,29.00
2016-12-29,28.64,29.00,28.12,29.00,6775000,29.00
2016-12-28,27.68,28.60,27.62,28.53,7167700,28.53
2016-12-27,28.00,28.08,27.36,27.54,5801000,27.54
2016-12-26,27.29,27.87,27.29,27.81,2168900,27.81
2016-12-23,26.79,27.55,26.79,27.31,10897100,27.31
2016-12-22,26.92,26.99,26.42,26.75,10424000,26.75
2016-12-21,27.67,27.68,27.00,27.15,8217600,26.8676
2016-12-20,27.01,27.72,27.00,27.38,9572000,27.0952
2016-12-19,27.45,27.67,26.70,26.80,9514700,26.5212
2016-12-16,27.78,27.97,27.37,27.40,12908300,27.115
2016-12-15,27.40,27.78,26.92,27.55,10723300,27.2634
2016-12-14,27.84,28.05,27.46,27.46,13372500,27.1744
2016-12-13,27.50,28.42,27.50,27.79,11503400,27.501
2016-12-12,28.44,28.67,27.50,27.68,9257100,27.3921
2016-12-09,29.05,29.07,28.54,28.88,11183600,28.5796
2016-12-08,28.99,29.08,28.39,28.50,7085400,28.2036
2016-12-07,29.12,29.40,28.53,28.80,11648400,28.5004
2016-12-06,28.07,29.13,27.92,28.98,10945000,28.6786
2016-12-05,28.65,28.72,28.07,28.37,6936700,28.0749
2016-12-02,27.76,28.72,27.44,28.52,12368600,28.2234
2016-12-01,29.15,29.30,27.85,28.09,21181300,27.7791
2016-11-30,29.59,30.07,29.44,29.75,9758600,29.4207
2016-11-29,29.73,29.94,29.06,29.06,9599900,28.7383
2016-11-28,29.65,30.12,29.33,30.01,6383000,29.6778
2016-11-25,29.10,29.67,28.92,29.64,6096600,29.3119
2016-11-24,29.80,29.82,29.36,29.50,2733500,29.1734
2016-11-23,29.48,29.84,29.35,29.78,6463300,29.4503
2016-11-22,29.98,30.19,29.22,29.65,10945700,29.3218
2016-11-21,29.60,29.73,28.99,29.45,10491500,29.124
2016-11-18,28.76,29.47,28.62,29.28,10986300,28.9559
