Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,18.51,18.55,17.85,18.11,51401900,18.11
2017-01-23,18.10,18.64,18.00,18.54,12733800,18.54
2017-01-20,17.90,18.43,17.72,18.22,12215200,18.22
2017-01-19,17.71,17.89,17.63,17.85,8303800,17.85
2017-01-18,17.97,17.97,17.58,17.75,10604800,17.75
2017-01-17,17.81,18.08,17.60,17.88,9827000,17.88
2017-01-16,17.88,17.93,17.58,17.77,5364500,17.77
2017-01-13,17.82,17.98,17.74,17.88,10647300,17.88
2017-01-12,18.16,18.33,17.84,17.91,22120800,17.91
2017-01-11,17.50,17.67,17.38,17.45,9140200,17.45
2017-01-10,17.24,17.58,17.03,17.37,11583400,17.37
2017-01-09,17.08,17.25,16.92,17.05,13022300,17.05
2017-01-06,17.06,17.10,16.67,17.05,12561100,17.05
2017-01-05,17.28,17.29,16.97,17.06,11765900,17.06
2017-01-04,16.90,17.27,16.75,17.27,9410800,17.27
2017-01-03,16.35,17.04,16.35,16.95,14568200,16.95
2017-01-02,16.26,16.35,16.15,16.28,2806500,16.28
2016-12-30,16.50,16.50,16.50,16.50,000,16.50
2016-12-29,16.50,16.74,16.42,16.50,15651500,16.50
2016-12-28,16.02,16.70,16.02,16.50,8965500,16.50
2016-12-27,15.99,16.19,15.89,16.10,6142500,16.10
2016-12-26,15.87,15.96,15.81,15.88,1717300,15.88
2016-12-23,15.40,15.97,15.26,15.74,8632400,15.74
2016-12-22,15.31,15.45,15.07,15.30,9561600,15.30
2016-12-21,15.74,15.74,15.35,15.58,4893800,15.37
2016-12-20,15.70,15.88,15.42,15.65,6338600,15.44
2016-12-19,15.50,15.80,15.39,15.51,11624600,15.31
2016-12-16,15.05,15.58,15.02,15.38,11102800,15.18
2016-12-15,15.06,15.28,14.94,15.00,19041200,14.80
2016-12-14,15.70,15.70,15.14,15.20,13146500,15.00
2016-12-13,15.47,15.74,15.47,15.72,8986700,15.51
2016-12-12,15.41,15.68,15.33,15.47,7469900,15.27
2016-12-09,16.24,16.24,15.67,15.74,10637800,15.53
2016-12-08,16.35,16.43,16.01,16.13,8426100,15.92
2016-12-07,16.14,16.36,15.96,16.24,8610400,16.03
2016-12-06,15.51,16.15,15.39,16.04,12542600,15.83
2016-12-05,16.09,16.12,15.56,15.64,9673000,15.43
2016-12-02,15.72,16.17,15.31,16.00,13408400,15.79
2016-12-01,15.72,15.72,15.72,15.72,17332400,15.51
2016-11-30,16.58,16.88,16.40,16.61,11457300,16.39
2016-11-29,16.50,16.65,16.47,16.49,5604300,16.27
2016-11-28,16.40,16.69,16.40,16.66,6979300,16.44
2016-11-25,16.06,16.51,16.06,16.42,4153600,16.20
2016-11-24,16.25,16.52,16.00,16.34,6862600,16.12
2016-11-23,16.50,16.50,16.15,16.30,6833500,16.08
2016-11-22,16.63,16.74,16.24,16.49,10117600,16.27
2016-11-21,16.70,16.72,16.28,16.45,11104400,16.15
2016-11-18,16.46,16.67,16.27,16.56,12862300,16.26
2016-11-17,16.94,16.95,16.31,16.46,10058300,16.16
2016-11-16,16.95,17.05,16.42,16.76,21047800,16.46
2016-11-15,16.75,16.75,16.75,16.75,000,16.45
2016-11-14,16.50,16.82,16.20,16.75,25257500,16.45
2016-11-11,17.00,17.50,16.21,17.00,27885600,16.69
2016-11-10,18.20,18.22,16.76,17.36,16368200,17.05
2016-11-09,17.61,18.51,17.55,17.97,10844400,17.64
2016-11-08,18.31,18.69,18.27,18.40,6010800,18.07
2016-11-07,17.94,18.60,17.85,18.56,9484100,18.22
2016-11-04,17.69,18.15,17.52,17.59,8132300,17.27
2016-11-03,18.20,18.33,17.70,17.72,9751600,17.40
2016-11-02,18.25,18.25,18.25,18.25,000,17.92
2016-11-01,18.80,18.96,18.01,18.25,16018300,17.92
2016-10-31,18.30,19.01,18.26,18.80,11857600,18.46
2016-10-28,18.46,18.55,18.18,18.30,11436100,17.97
2016-10-27,18.32,18.66,18.29,18.50,8521700,18.16
2016-10-26,18.25,18.48,18.17,18.45,10207400,18.12
2016-10-25,18.64,18.64,18.30,18.40,8950400,18.07
2016-10-24,18.65,18.74,18.40,18.66,9178800,18.32
2016-10-21,18.54,18.70,18.44,18.60,12550400,18.26
2016-10-20,18.18,18.60,17.97,18.60,8827700,18.26
2016-10-19,17.83,18.28,17.75,18.23,10544700,17.90
2016-10-18,17.99,17.99,17.52,17.83,26841900,17.51
2016-10-17,17.69,17.86,17.61,17.80,7893700,17.48
2016-10-14,17.66,17.97,17.60,17.70,12410500,17.38
2016-10-13,17.49,17.62,16.64,17.59,15059000,17.27
2016-10-12,17.49,17.49,17.49,17.49,000,17.17
2016-10-11,17.80,17.84,17.44,17.49,10719900,17.17
2016-10-10,17.85,17.96,17.70,17.92,7515100,17.59
2016-10-07,17.70,17.92,17.46,17.81,24041900,17.49
