Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,13.99,14.29,13.78,14.05,4580500,14.05
2017-01-23,13.39,14.11,13.32,14.00,6637000,14.00
2017-01-20,13.40,13.49,13.28,13.39,3775400,13.39
2017-01-19,13.30,13.45,13.19,13.37,3184000,13.37
2017-01-18,13.71,13.76,13.22,13.35,4207800,13.35
2017-01-17,13.70,13.87,13.57,13.67,3877800,13.67
2017-01-16,13.80,13.90,13.62,13.72,1827100,13.72
2017-01-13,13.91,14.10,13.58,13.80,4863800,13.80
2017-01-12,13.57,14.10,13.50,13.90,18937100,13.90
2017-01-11,12.97,13.02,12.57,12.81,4128100,12.81
2017-01-10,13.03,13.04,12.57,12.87,5247600,12.87
2017-01-09,12.88,13.06,12.75,12.90,4835700,12.90
2017-01-06,13.10,13.10,12.75,12.88,6744100,12.88
2017-01-05,12.77,13.28,12.50,13.01,8555400,13.01
2017-01-04,12.60,13.10,12.60,12.72,5122600,12.72
2017-01-03,12.10,12.77,12.10,12.74,7501300,12.74
2017-01-02,11.84,12.08,11.72,12.08,1876000,12.08
2016-12-30,11.95,11.95,11.95,11.95,000,11.95
2016-12-29,11.76,12.11,11.70,11.95,4876800,11.95
2016-12-28,11.83,11.87,11.64,11.75,2302300,11.75
2016-12-27,11.77,11.85,11.61,11.85,2859800,11.85
2016-12-26,11.56,11.77,11.55,11.67,1211600,11.67
2016-12-23,11.30,11.70,11.28,11.55,6569300,11.55
2016-12-22,11.05,11.37,10.96,11.30,8441400,11.30
2016-12-21,11.05,11.05,11.05,11.05,9394600,11.05
2016-12-20,10.87,11.05,10.77,11.03,4734600,11.03
2016-12-19,11.00,11.07,10.73,10.82,2947200,10.82
2016-12-16,10.72,11.25,10.71,11.05,9322700,11.05
2016-12-15,10.94,10.97,10.65,10.67,6090400,10.67
2016-12-14,11.38,11.38,10.82,10.98,5356700,10.98
2016-12-13,10.76,11.30,10.65,11.25,17408900,11.25
2016-12-12,10.64,11.21,10.57,10.85,13361600,10.85
2016-12-09,10.80,10.92,10.61,10.80,16481300,10.80
2016-12-08,10.91,10.92,10.63,10.75,7727300,10.75
2016-12-07,10.73,10.90,10.54,10.75,17253200,10.75
2016-12-06,10.38,10.72,10.36,10.57,7741000,10.57
2016-12-05,10.53,10.68,10.40,10.56,3356700,10.56
2016-12-02,10.19,10.58,10.05,10.57,10751700,10.57
2016-12-01,10.58,10.63,10.24,10.35,8337300,10.35
2016-11-30,10.80,10.90,10.64,10.80,5966500,10.80
2016-11-29,10.80,10.84,10.54,10.54,8643000,10.54
2016-11-28,10.79,10.96,10.66,10.86,1962600,10.86
2016-11-25,10.52,10.77,10.29,10.77,12633300,10.77
2016-11-24,10.71,10.83,10.58,10.67,2347600,10.67
2016-11-23,10.69,10.74,10.53,10.64,5324500,10.64
2016-11-22,10.84,11.07,10.59,10.66,7835400,10.66
2016-11-21,10.65,10.80,10.63,10.72,4563800,10.72
2016-11-18,10.71,10.78,10.46,10.60,4602300,10.60
2016-11-17,10.87,10.87,10.60,10.65,6839000,10.65
2016-11-16,10.75,10.88,10.40,10.72,8113700,10.72
2016-11-15,10.55,10.55,10.55,10.55,000,10.55
2016-11-14,10.51,10.67,10.11,10.55,11711400,10.55
2016-11-11,10.99,11.11,10.52,10.66,11909900,10.66
2016-11-10,12.00,12.11,11.12,11.12,7712900,11.12
2016-11-09,11.61,12.26,11.61,12.10,5352100,12.10
2016-11-08,12.39,12.51,12.12,12.20,5349700,12.20
2016-11-07,12.11,12.66,12.11,12.46,8130200,12.46
2016-11-04,12.18,12.34,11.99,12.00,8330200,12.00
2016-11-03,12.34,12.44,12.03,12.09,7718800,12.09
2016-11-02,12.40,12.40,12.40,12.40,000,12.40
2016-11-01,12.83,12.84,12.27,12.40,4825200,12.40
2016-10-31,12.97,12.97,12.65,12.78,4199600,12.78
2016-10-28,13.00,13.02,12.48,12.83,6466800,12.83
2016-10-27,13.21,13.40,12.94,12.95,3224100,12.95
2016-10-26,13.29,13.34,13.08,13.20,3762000,13.20
2016-10-25,13.43,13.52,13.16,13.30,4117700,13.30
2016-10-24,13.42,13.66,13.42,13.52,4154200,13.52
2016-10-21,13.55,13.62,13.26,13.49,5110900,13.49
2016-10-20,13.74,13.75,13.24,13.55,7614900,13.55
2016-10-19,13.50,13.70,13.40,13.67,7830600,13.67
2016-10-18,13.10,13.61,13.02,13.57,7259700,13.57
2016-10-17,12.82,13.09,12.77,13.09,9791000,13.09
2016-10-14,12.93,13.02,12.81,12.82,5769400,12.82
2016-10-13,12.71,12.91,12.59,12.89,6951900,12.89
2016-10-12,12.78,12.78,12.78,12.78,000,12.78
2016-10-11,12.95,13.02,12.76,12.78,5049400,12.78
2016-10-10,12.96,13.10,12.80,12.93,3119500,12.93
2016-10-07,12.74,13.02,12.51,12.95,8851900,12.95
2016-10-06,12.70,12.70,12.55,12.68,3712500,12.68
2016-10-05,12.70,12.84,12.58,12.76,2820300,12.76
2016-10-04,12.55,12.71,12.37,12.64,6140000,12.64
2016-10-03,12.24,12.80,12.24,12.60,6686900,12.60
2016-09-30,12.28,12.41,12.10,12.30,4388900,12.30
2016-09-29,12.50,12.54,12.14,12.22,3253900,12.22
2016-09-28,12.43,12.55,12.24,12.41,2925300,12.41
2016-09-27,12.32,12.50,12.20,12.35,2518700,12.35
2016-09-26,12.30,12.52,12.30,12.35,1947300,12.35
2016-09-23,12.77,12.85,12.28,12.45,2744200,12.45
2016-09-22,12.65,12.85,12.55,12.64,5526400,12.64
2016-09-21,12.20,12.60,12.19,12.44,2980600,12.44
2016-09-20,12.28,12.43,12.17,12.20,2294800,12.20
2016-09-19,12.30,12.40,12.19,12.27,2008500,12.27
2016-09-16,12.20,12.32,12.00,12.19,4964900,12.19
2016-09-15,12.20,12.39,12.02,12.34,2768500,12.34
2016-09-14,11.96,12.20,11.91,12.10,5594700,12.10
2016-09-13,12.45,12.45,11.90,11.99,4616300,11.99
2016-09-12,12.30,12.60,12.14,12.46,2753900,12.46
2016-09-09,12.52,12.60,12.35,12.40,3845100,12.40
2016-09-08,13.25,13.25,12.77,12.77,6583400,12.77
2016-09-07,13.15,13.15,13.15,13.15,000,13.15
2016-09-06,13.00,13.19,12.91,13.15,3495800,13.15
2016-09-05,13.03,13.08,12.80,12.94,1354000,12.94
2016-09-02,12.96,13.06,12.80,13.00,8937900,13.00
2016-09-01,12.35,12.90,12.24,12.87,5393500,12.87
2016-08-31,12.45,12.53,12.07,12.34,3886900,12.34
2016-08-30,12.43,12.53,12.21,12.41,3133000,12.41
2016-08-29,12.16,12.60,11.95,12.41,3673800,12.41
2016-08-26,12.19,12.45,12.00,12.17,3444100,12.17
2016-08-25,12.50,12.52,12.17,12.23,3182500,12.23
2016-08-24,12.47,12.56,12.21,12.40,2301600,12.40
2016-08-23,12.85,12.90,12.40,12.43,4751100,12.43
2016-08-22,12.94,12.94,12.55,12.70,5586400,12.70
2016-08-19,12.39,12.90,12.39,12.80,7362800,12.80
2016-08-18,12.38,12.72,12.28,12.30,7032500,12.30
2016-08-17,12.40,12.48,12.30,12.40,3423000,12.40
2016-08-16,12.80,12.83,12.34,12.40,6494100,12.40
2016-08-15,13.17,13.24,12.73,12.80,7719900,12.80
2016-08-12,13.65,13.66,12.65,13.09,13727800,13.09
2016-08-11,13.63,13.85,13.35,13.83,3175100,13.83
2016-08-10,14.13,14.13,13.33,13.63,5596000,13.63
2016-08-09,13.98,14.17,13.88,14.04,2022400,14.04
2016-08-08,14.35,14.43,13.80,13.91,2819400,13.91
2016-08-05,14.30,14.53,14.15,14.30,7780000,14.30
2016-08-04,13.94,14.48,13.79,14.17,4398800,14.17
2016-08-03,13.90,13.91,13.66,13.86,2966800,13.86
2016-08-02,14.16,14.16,13.68,13.92,2130600,13.92
2016-08-01,14.20,14.42,14.12,14.18,2986300,14.18
2016-07-29,13.75,14.20,13.75,14.06,4340900,14.06
2016-07-28,13.67,13.89,13.46,13.78,2036300,13.78
2016-07-27,13.70,13.87,13.64,13.70,1512200,13.70
2016-07-26,13.91,14.08,13.65,13.77,1741000,13.77
2016-07-25,14.06,14.14,13.65,13.92,4186400,13.92
2016-07-22,14.06,14.13,13.93,14.05,4412500,14.05
2016-07-21,14.09,14.21,13.88,14.06,3015100,14.06
2016-07-20,13.79,14.25,13.67,14.15,7434600,14.15
2016-07-19,13.76,13.79,13.53,13.79,2855200,13.79
2016-07-18,13.36,13.87,13.35,13.77,8843200,13.77
2016-07-15,13.12,13.35,13.02,13.35,3378700,13.35
2016-07-14,12.85,13.19,12.70,13.09,6895100,13.09
2016-07-13,12.57,12.73,12.38,12.63,3680700,12.63
2016-07-12,12.60,12.73,12.31,12.48,9279600,12.48
2016-07-11,13.01,13.05,12.30,12.49,7088700,12.49
2016-07-08,12.71,13.01,12.71,12.90,8736500,12.90
2016-07-07,12.75,12.84,12.59,12.71,5264400,12.71
2016-07-06,12.75,12.94,12.45,12.62,1836000,12.62
2016-07-05,12.75,13.22,12.67,12.95,3763700,12.95
2016-07-04,12.86,13.06,12.84,12.85,1224800,12.85
2016-07-01,12.87,13.19,12.85,12.86,6459400,12.86
2016-06-30,12.71,13.03,12.62,12.85,4554000,12.85
2016-06-29,12.20,12.98,12.20,12.72,5120600,12.72
2016-06-28,12.00,12.28,11.91,12.10,4321200,12.10
2016-06-27,11.98,12.05,11.70,11.89,1331300,11.89
2016-06-24,11.82,12.03,11.72,12.00,3223200,12.00
2016-06-23,11.99,12.37,11.97,12.31,6280700,12.31
2016-06-22,12.00,12.36,11.84,11.90,3492300,11.90
2016-06-21,12.05,12.36,11.96,12.15,4809800,12.15
2016-06-20,11.85,12.19,11.80,12.00,3123800,12.00
2016-06-17,11.78,11.87,11.59,11.69,3229900,11.69
2016-06-16,11.62,11.84,11.35,11.78,2010400,11.78
2016-06-15,11.55,11.91,11.46,11.75,6093700,11.75
2016-06-14,11.91,11.91,11.39,11.55,3261400,11.55
2016-06-13,11.61,11.94,11.52,11.90,2118400,11.90
2016-06-10,12.22,12.27,11.82,11.82,1859400,11.82
2016-06-09,12.35,12.46,12.08,12.18,3351700,12.18
2016-06-08,12.19,12.68,12.15,12.36,4043000,12.36
2016-06-07,11.99,12.16,11.94,12.08,3055300,12.08
2016-06-06,12.03,12.24,11.95,12.06,1898000,12.06
2016-06-03,12.03,12.41,11.98,12.06,3613200,12.06
2016-06-02,11.57,12.06,11.57,11.93,6312400,11.93
2016-06-01,11.44,11.74,11.37,11.55,2908100,11.55
2016-05-31,11.76,11.76,11.52,11.55,4071800,11.55
2016-05-30,11.60,11.84,11.60,11.71,690800,11.71
2016-05-27,12.08,12.15,11.67,11.75,2314300,11.75
2016-05-26,11.98,11.98,11.98,11.98,000,11.98
