Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,7.73,7.99,7.66,7.79,2088600,7.79
2017-01-23,7.65,7.80,7.55,7.71,1016700,7.71
2017-01-20,7.54,7.69,7.45,7.65,3717000,7.65
2017-01-19,7.65,7.68,7.50,7.52,1138500,7.52
2017-01-18,7.95,7.99,7.62,7.75,464200,7.75
2017-01-17,7.92,8.10,7.80,7.90,488200,7.90
2017-01-16,7.99,8.00,7.81,7.91,267700,7.91
2017-01-13,8.04,8.05,7.87,7.99,214800,7.99
2017-01-12,7.93,8.05,7.93,8.04,841900,8.04
2017-01-11,7.89,7.89,7.69,7.80,195400,7.80
2017-01-10,7.91,7.93,7.78,7.79,272100,7.79
2017-01-09,8.00,8.00,7.62,7.91,451400,7.91
2017-01-06,8.06,8.11,7.90,7.97,260700,7.97
2017-01-05,8.02,8.18,8.01,8.05,606100,8.05
2017-01-04,7.70,8.11,7.63,8.00,1500800,8.00
2017-01-03,7.55,7.77,7.50,7.67,1176700,7.67
2017-01-02,7.51,7.65,7.47,7.47,138100,7.47
2016-12-30,7.50,7.50,7.50,7.50,000,7.50
2016-12-29,7.48,7.51,7.40,7.50,638800,7.50
2016-12-28,7.56,7.60,7.45,7.46,160200,7.46
2016-12-27,7.73,7.73,7.55,7.55,239200,7.55
2016-12-26,7.67,7.72,7.58,7.72,139700,7.72
2016-12-23,7.56,7.62,7.48,7.62,159100,7.62
2016-12-22,7.53,7.57,7.44,7.52,237200,7.52
2016-12-21,7.53,7.53,7.53,7.53,306800,7.53
2016-12-20,7.67,7.68,7.45,7.51,463900,7.51
2016-12-19,7.59,7.69,7.48,7.61,403300,7.61
2016-12-16,7.46,7.80,7.41,7.55,768500,7.55
2016-12-15,7.50,7.51,7.40,7.40,215600,7.40
2016-12-14,7.64,7.70,7.45,7.53,636700,7.53
2016-12-13,7.60,7.87,7.53,7.60,695200,7.60
2016-12-12,7.74,7.83,7.60,7.60,538100,7.60
2016-12-09,7.80,8.00,7.67,7.73,365500,7.73
2016-12-08,7.93,8.22,7.65,7.75,839900,7.75
2016-12-07,7.79,7.97,7.71,7.86,261200,7.86
2016-12-06,7.60,7.78,7.55,7.68,154200,7.68
2016-12-05,7.66,7.71,7.51,7.64,395100,7.64
2016-12-02,7.69,7.69,7.47,7.60,795800,7.60
2016-12-01,7.90,7.90,7.65,7.68,642200,7.68
2016-11-30,7.75,8.13,7.71,7.90,874500,7.90
2016-11-29,7.74,7.86,7.68,7.72,186500,7.72
2016-11-28,7.68,7.85,7.61,7.80,195100,7.80
2016-11-25,7.70,7.74,7.60,7.72,680200,7.72
2016-11-24,7.83,7.83,7.61,7.70,338800,7.70
2016-11-23,7.60,7.84,7.50,7.80,2401300,7.80
2016-11-22,7.69,8.10,7.51,7.61,1316800,7.61
2016-11-21,7.75,7.78,7.61,7.68,691900,7.68
2016-11-18,7.65,7.70,7.54,7.68,593900,7.68
2016-11-17,7.93,7.93,7.59,7.65,1318000,7.65
2016-11-16,7.63,7.90,7.47,7.90,416800,7.90
2016-11-15,7.56,7.56,7.56,7.56,000,7.56
2016-11-14,7.80,7.80,7.51,7.56,538800,7.56
2016-11-11,8.25,8.25,7.80,7.80,955300,7.80
2016-11-10,8.96,8.98,8.14,8.25,591100,8.25
2016-11-09,8.91,9.12,8.69,8.93,442100,8.93
2016-11-08,8.77,9.20,8.71,9.20,1096500,9.20
2016-11-07,8.63,8.75,8.57,8.75,400400,8.75
2016-11-04,8.45,8.56,8.41,8.54,241000,8.54
2016-11-03,8.60,8.60,8.41,8.41,253500,8.41
2016-11-02,8.58,8.58,8.58,8.58,000,8.58
2016-11-01,8.54,8.62,8.52,8.58,433300,8.58
2016-10-31,8.58,8.59,8.46,8.59,305600,8.59
2016-10-28,8.60,8.60,8.45,8.54,248600,8.54
2016-10-27,8.71,8.72,8.51,8.57,262300,8.57
2016-10-26,8.53,8.75,8.46,8.67,415000,8.67
2016-10-25,8.63,8.63,8.51,8.53,189800,8.53
2016-10-24,8.59,8.69,8.57,8.62,335500,8.62
2016-10-21,8.56,8.61,8.53,8.54,151200,8.54
2016-10-20,8.65,8.65,8.54,8.56,217600,8.56
2016-10-19,8.53,8.70,8.48,8.65,304700,8.65
2016-10-18,8.55,8.55,8.42,8.53,596500,8.53
2016-10-17,8.51,8.54,8.35,8.50,393800,8.50
2016-10-14,8.61,8.61,8.45,8.51,328600,8.51
2016-10-13,8.55,8.58,8.41,8.54,438200,8.54
2016-10-12,8.55,8.55,8.55,8.55,000,8.55
2016-10-11,8.59,8.64,8.49,8.55,390200,8.55
2016-10-10,8.58,8.72,8.53,8.55,411300,8.55
2016-10-07,8.49,8.58,8.49,8.54,191600,8.54
2016-10-06,8.58,8.58,8.38,8.50,292400,8.50
2016-10-05,8.53,8.53,8.42,8.53,144400,8.53
2016-10-04,8.55,8.55,8.36,8.45,213900,8.45
2016-10-03,8.54,8.55,8.34,8.45,559100,8.45
2016-09-30,8.36,8.56,8.22,8.55,413500,8.55
2016-09-29,8.15,8.47,8.15,8.27,1158800,8.27
2016-09-28,8.29,8.29,8.03,8.13,481100,8.13
2016-09-27,8.35,8.35,8.13,8.22,481000,8.22
2016-09-26,8.37,8.42,8.26,8.32,322800,8.32
2016-09-23,8.45,8.54,8.34,8.46,379600,8.46
2016-09-22,8.66,8.85,8.47,8.51,431900,8.51
2016-09-21,8.42,8.67,8.42,8.57,422700,8.57
2016-09-20,8.55,8.55,8.38,8.46,211500,8.46
2016-09-19,8.45,8.55,8.42,8.48,244500,8.48
2016-09-16,8.65,8.65,8.32,8.32,533600,8.32
2016-09-15,8.56,8.61,8.46,8.55,309900,8.55
2016-09-14,8.60,8.60,8.43,8.47,149400,8.47
2016-09-13,8.43,8.50,8.39,8.50,270300,8.50
2016-09-12,8.50,8.69,8.37,8.54,2232400,8.54
2016-09-09,8.60,8.65,8.43,8.51,360000,8.51
