Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,46.73,47.22,46.12,46.92,2472700,46.92
2017-01-23,46.02,46.76,45.89,46.74,1228100,46.74
2017-01-20,45.66,46.41,45.18,45.96,1644200,45.96
2017-01-19,45.34,45.90,44.86,45.28,2804300,45.28
2017-01-18,46.46,46.50,45.10,45.30,1792500,45.30
2017-01-17,45.86,46.35,45.65,46.35,1560200,46.35
2017-01-16,45.76,46.40,45.50,45.80,1040100,45.80
2017-01-13,46.93,47.14,45.46,45.79,1603200,45.79
2017-01-12,46.50,47.39,46.29,47.05,2152700,47.05
2017-01-11,46.01,46.51,45.52,45.86,1233300,45.86
2017-01-10,46.77,46.85,45.70,45.92,2354400,45.92
2017-01-09,46.05,46.25,45.10,45.70,2382000,45.70
2017-01-06,48.53,48.53,46.00,46.22,4157700,46.22
2017-01-05,49.41,49.68,48.46,48.53,1618000,48.53
2017-01-04,49.50,49.70,48.25,48.91,1317200,48.91
2017-01-03,48.01,49.50,48.01,49.50,1725000,49.50
2017-01-02,48.03,48.15,47.64,47.90,600200,47.90
2016-12-30,48.25,48.25,48.25,48.25,000,48.25
2016-12-29,47.85,48.40,47.40,48.25,2908700,48.25
2016-12-28,47.39,47.94,47.23,47.66,1025700,47.66
2016-12-27,47.49,47.90,46.87,47.25,1085400,47.25
2016-12-26,46.75,47.36,46.62,47.15,352300,47.15
2016-12-23,46.78,46.97,46.30,46.48,644600,46.48
2016-12-22,46.46,47.13,45.83,46.47,1350500,46.47
2016-12-21,46.46,46.46,46.46,46.46,1258200,46.46
2016-12-20,46.71,47.20,45.90,46.40,1577100,46.40
2016-12-19,47.90,48.00,46.28,46.33,2262900,46.33
2016-12-16,49.94,49.98,47.81,47.81,3574800,47.81
2016-12-15,49.49,49.70,49.00,49.66,1892300,49.66
2016-12-14,49.68,51.35,49.65,49.93,3428300,49.93
2016-12-13,48.86,49.85,48.62,49.76,2318100,49.76
2016-12-12,49.00,49.51,48.91,49.24,1217100,49.24
2016-12-09,49.40,50.40,48.73,49.65,1945500,49.65
2016-12-08,51.11,51.17,48.72,49.16,2062200,49.16
2016-12-07,50.60,51.20,50.08,50.46,2436600,50.46
2016-12-06,48.30,50.35,48.02,50.22,1862300,50.22
2016-12-05,48.80,49.75,48.38,48.49,1558700,48.49
2016-12-02,48.50,49.51,48.06,48.80,1725200,48.80
2016-12-01,50.93,51.05,48.52,48.89,4094600,48.89
2016-11-30,53.05,53.35,51.65,51.65,2632700,51.65
2016-11-29,53.57,53.68,52.34,52.34,1321700,52.34
2016-11-28,52.77,53.98,52.37,53.57,1534900,53.57
2016-11-25,51.61,53.39,51.60,52.96,717800,52.96
2016-11-24,53.30,53.35,52.21,52.60,579300,52.60
2016-11-23,52.49,53.38,52.45,53.11,1194800,53.11
2016-11-22,53.37,53.63,52.36,52.90,1859500,52.90
2016-11-21,52.82,53.40,52.45,52.88,1828800,52.88
2016-11-18,52.82,53.36,52.50,53.00,1019700,53.00
2016-11-17,52.77,53.42,52.50,53.00,2138300,53.00
2016-11-16,50.33,52.34,49.88,52.34,2558900,52.34
2016-11-15,50.32,50.32,50.32,50.32,000,50.32
2016-11-14,48.52,50.32,48.52,50.32,3978800,50.32
2016-11-11,50.05,50.73,48.35,48.88,5093100,48.88
2016-11-10,52.82,54.08,50.00,50.62,4794200,50.62
2016-11-09,52.00,53.80,52.00,53.20,1964900,53.20
2016-11-08,52.84,54.38,52.82,53.83,2108400,53.83
2016-11-07,51.58,52.98,51.31,52.87,1915800,52.87
2016-11-04,51.90,52.49,51.15,51.15,1892500,51.15
2016-11-03,52.24,52.97,51.76,51.96,2476000,51.96
2016-11-02,52.23,52.23,52.23,52.23,000,52.23
2016-11-01,53.51,53.63,52.00,52.23,1857400,52.23
2016-10-31,53.80,54.05,53.10,53.40,2453700,53.40
2016-10-28,52.15,54.75,51.53,54.09,4382000,54.09
2016-10-27,52.50,53.38,52.25,52.48,1492800,52.48
2016-10-26,52.57,52.70,51.74,52.50,2962800,52.50
2016-10-25,53.13,53.54,52.50,52.70,1123400,52.70
2016-10-24,53.87,53.92,53.08,53.22,1344600,53.22
2016-10-21,53.67,54.28,53.24,53.44,1153500,53.44
2016-10-20,53.30,53.96,52.57,53.76,2128800,53.76
2016-10-19,54.27,54.44,53.29,53.29,1771600,53.29
2016-10-18,54.61,54.80,53.53,54.27,3000400,54.27
2016-10-17,55.16,55.18,54.35,54.35,1706500,54.35
2016-10-14,55.41,55.65,54.95,55.00,2686800,55.00
2016-10-13,56.54,56.86,54.89,55.27,4098400,55.27
2016-10-12,56.98,56.98,56.98,56.98,000,56.98
2016-10-11,57.93,57.94,56.93,56.98,2256700,56.98
2016-10-10,57.70,58.09,57.58,57.98,1532400,57.98
2016-10-07,57.54,58.27,57.01,57.61,2974600,57.61
2016-10-06,56.98,57.75,56.51,57.32,2185500,57.32
2016-10-05,56.10,57.14,55.83,56.90,2625300,56.90
2016-10-04,56.32,56.32,55.22,55.97,1826600,55.97
2016-10-03,55.05,56.40,54.88,56.10,1983500,56.10
2016-09-30,54.66,55.65,54.37,55.32,2641200,55.32
2016-09-29,54.89,55.22,54.36,54.61,1239500,54.61
2016-09-28,55.00,55.30,54.56,55.17,1836800,55.17
2016-09-27,54.43,55.28,54.08,55.02,1937800,55.02
2016-09-26,54.30,54.72,53.87,54.42,1562100,54.42
2016-09-23,55.20,55.26,54.51,54.81,1493300,54.81
2016-09-22,54.65,55.31,54.48,54.85,1572800,54.85
2016-09-21,53.45,54.49,53.30,54.20,1620600,54.20
2016-09-20,53.83,54.15,53.35,53.55,1119500,53.55
2016-09-19,53.58,54.56,53.21,53.59,1930800,53.59
2016-09-16,52.30,53.46,51.35,53.46,5803700,53.46
2016-09-15,53.60,53.84,53.00,53.20,2538800,53.20
2016-09-14,53.01,53.49,52.93,53.31,1438300,53.31
2016-09-13,53.41,53.88,52.75,53.31,2181400,53.31
2016-09-12,54.27,54.49,53.35,53.94,2087200,53.94
2016-09-09,55.31,55.64,54.55,54.78,2369300,54.78
2016-09-08,55.40,56.36,55.07,56.04,3359900,56.04
2016-09-07,55.47,55.47,55.47,55.47,000,55.47
2016-09-06,54.98,55.48,54.64,55.47,1858900,55.47
2016-09-05,55.00,55.23,54.25,54.79,923700,54.79
2016-09-02,53.26,54.75,53.23,54.75,2566100,54.75
2016-09-01,53.49,53.73,52.96,53.18,3660300,53.18
2016-08-31,53.96,54.18,53.66,53.85,2046600,53.85
2016-08-30,54.17,54.17,53.55,53.91,1652400,53.91
2016-08-29,54.00,54.29,53.59,53.95,1877700,53.95
2016-08-26,53.90,54.93,53.37,53.79,3057900,53.79
2016-08-25,54.04,55.40,53.87,53.87,3190900,53.87
2016-08-24,52.85,54.36,52.85,53.82,2216000,53.82
2016-08-23,53.40,53.90,52.75,53.52,1444100,53.52
2016-08-22,53.87,54.17,53.00,53.18,1349900,53.18
2016-08-19,53.73,54.07,53.25,53.80,1609600,53.80
2016-08-18,53.95,54.20,53.23,53.85,2114300,53.85
2016-08-17,54.56,54.80,53.02,53.99,3218700,53.99
2016-08-16,54.60,55.20,54.09,54.88,2057800,54.88
2016-08-15,53.87,54.87,53.27,54.60,1625800,54.60
2016-08-12,53.25,53.98,53.14,53.87,2366000,53.87
2016-08-11,52.17,53.23,52.00,52.97,2074700,52.97
2016-08-10,53.69,53.92,52.18,52.69,1808400,52.69
2016-08-09,53.10,54.60,53.10,53.64,1785100,53.64
2016-08-08,52.29,53.98,52.05,53.30,1105500,53.30
2016-08-05,52.20,52.74,52.11,52.45,2199900,52.45
2016-08-04,52.52,52.57,51.45,52.29,2170700,52.29
2016-08-03,51.80,52.66,51.18,52.00,1996700,52.00
2016-08-02,52.66,52.99,51.96,52.50,3166500,52.50
2016-08-01,54.30,54.76,53.00,53.23,2421900,53.23
2016-07-29,50.01,54.42,50.01,54.30,6004200,54.30
2016-07-28,50.36,51.15,49.88,51.00,1900900,51.00
2016-07-27,51.37,51.42,50.55,50.73,1876700,50.73
2016-07-26,51.57,51.80,51.12,51.23,1203000,51.23
2016-07-25,51.75,51.94,50.47,51.55,934400,51.55
2016-07-22,52.70,53.46,51.35,51.65,2225700,51.65
2016-07-21,50.51,50.83,50.15,50.55,2193400,50.55
2016-07-20,50.98,51.30,50.40,50.70,2169800,50.70
2016-07-19,50.85,50.96,50.36,50.96,1395900,50.96
2016-07-18,50.20,50.97,49.83,50.97,1648300,50.97
2016-07-15,50.79,51.08,50.25,50.41,2122600,50.41
2016-07-14,51.15,51.28,50.10,50.92,1587400,50.92
2016-07-13,50.54,50.98,49.78,50.51,1921300,50.51
2016-07-12,51.30,51.50,50.69,51.20,2461700,50.55765
2016-07-11,49.72,50.87,49.69,50.62,1838800,49.98493
2016-07-08,49.14,49.71,48.80,49.50,1691600,48.87898
2016-07-07,48.76,49.39,48.37,49.01,1539900,48.39513
2016-07-06,47.70,48.76,47.45,48.76,1705200,48.14826
2016-07-05,48.43,48.69,47.59,48.13,3043800,47.52617
2016-07-04,47.05,49.68,47.05,48.92,2903300,48.30626
2016-07-01,45.40,47.44,45.29,47.02,4635100,46.4301
2016-06-30,44.74,45.13,43.96,45.13,3088500,44.56381
2016-06-29,43.90,44.90,43.60,44.86,3256600,44.29719
2016-06-28,44.04,44.42,43.13,43.26,1329400,42.71727
2016-06-27,43.65,43.75,42.81,43.67,1900900,43.12212
2016-06-24,43.96,44.34,43.02,43.80,3810900,43.25049
2016-06-23,44.59,45.43,44.07,45.19,1095700,44.62305
2016-06-22,45.85,46.35,43.98,44.10,2617500,43.54673
2016-06-21,45.56,46.31,45.01,45.80,1211000,45.2254
2016-06-20,45.48,46.00,45.18,45.55,1088700,44.97854
2016-06-17,45.62,45.64,44.66,45.00,3464900,44.43544
2016-06-16,45.16,45.27,44.45,45.02,3295900,44.45519
2016-06-15,45.36,45.67,44.81,45.48,4038900,44.90942
2016-06-14,46.77,46.78,45.06,45.42,3870600,44.85017
2016-06-13,46.19,47.12,46.19,46.77,2387300,46.18323
2016-06-10,47.99,48.17,47.09,47.09,2613300,46.49922
2016-06-09,48.70,48.80,48.09,48.14,1593800,47.53604
2016-06-08,47.94,48.91,47.81,48.70,2467300,48.08902
2016-06-07,47.50,47.98,47.20,47.88,2257800,47.27931
2016-06-06,48.50,48.89,47.89,47.90,1572200,47.29906
2016-06-03,48.50,48.91,47.88,48.83,2272400,48.21739
2016-06-02,46.40,48.21,46.15,48.15,2947200,47.54592
2016-06-01,45.79,46.34,45.24,46.34,2581200,45.75863
2016-05-31,46.00,46.12,44.90,45.67,8604400,45.09703
2016-05-30,46.00,46.49,45.50,45.50,815500,44.92917
2016-05-27,45.70,47.62,45.68,46.00,2193900,45.42289
2016-05-26,46.02,46.02,46.02,46.02,000,45.44264
2016-05-25,45.50,46.79,45.50,46.02,1898700,45.44264
2016-05-24,44.90,45.73,44.70,45.50,3046200,44.92917
2016-05-23,45.79,45.94,44.72,44.90,3362900,44.33669
2016-05-20,46.47,46.77,45.86,45.86,2902500,45.28465
2016-05-19,46.43,46.82,45.89,46.23,2065900,45.65001
2016-05-18,46.37,47.12,46.14,46.54,3199300,45.95612
2016-05-17,46.50,47.27,46.47,46.52,2015100,45.93637
2016-05-16,46.95,47.91,46.91,47.26,1732600,46.66708
2016-05-13,47.27,47.77,46.88,47.55,3169000,46.95345
