Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,32.37,32.59,31.83,32.32,1145700,32.32
2017-01-23,31.65,32.49,31.43,32.38,1389400,32.38
2017-01-20,31.77,31.77,31.28,31.51,1025600,31.51
2017-01-19,31.20,31.40,30.78,31.40,1857900,31.40
2017-01-18,31.70,31.70,31.07,31.20,932200,31.20
2017-01-17,30.68,31.74,30.68,31.54,1480500,31.54
2017-01-16,30.54,30.99,30.53,30.88,583000,30.88
2017-01-13,30.65,31.24,30.56,30.76,3968300,30.76
2017-01-12,31.15,31.39,30.76,30.92,2263900,30.92
2017-01-11,30.67,30.70,30.09,30.20,1742600,30.20
2017-01-10,30.50,30.69,30.25,30.50,723500,30.50
2017-01-09,30.15,30.57,30.08,30.50,749800,30.50
2017-01-06,30.30,30.48,30.08,30.36,566000,30.36
2017-01-05,29.82,30.31,29.82,30.13,1368100,30.13
2017-01-04,29.68,30.10,29.68,29.96,771500,29.96
2017-01-03,29.15,30.04,29.09,29.97,1290100,29.97
2017-01-02,28.82,29.28,28.64,28.82,551400,28.82
2016-12-30,29.14,29.14,29.14,29.14,000,29.14
2016-12-29,28.70,29.14,28.36,29.14,1215800,29.14
2016-12-28,27.85,28.97,27.80,28.62,1235200,28.62
2016-12-27,28.19,28.30,27.60,27.97,606400,27.97
2016-12-26,27.36,28.00,27.36,27.90,474300,27.90
2016-12-23,26.88,27.56,26.87,27.34,1191300,27.34
2016-12-22,26.88,26.98,26.41,26.70,1882200,26.70
2016-12-21,27.68,27.78,26.95,27.00,2735600,26.74328
2016-12-20,27.51,27.77,27.22,27.50,1055300,27.23852
2016-12-19,27.84,28.05,27.13,27.29,1264600,27.03052
2016-12-16,27.55,28.28,27.55,27.86,2076900,27.5951
2016-12-15,27.50,27.77,27.23,27.50,2057500,27.23852
2016-12-14,27.97,28.19,27.45,27.48,1838500,27.21871
2016-12-13,27.50,28.18,27.44,27.84,1421300,27.57529
2016-12-12,27.40,28.00,27.32,27.75,1995000,27.48615
2016-12-09,28.00,28.15,27.51,28.08,1407800,27.81301
2016-12-08,27.95,28.10,27.49,27.78,1503700,27.51586
2016-12-07,28.41,28.41,27.60,27.60,2662000,27.33757
2016-12-06,27.45,28.09,27.09,27.99,1722900,27.72386
2016-12-05,27.75,27.83,27.22,27.59,1025700,27.32767
2016-12-02,26.88,27.89,26.42,27.57,2147700,27.30786
2016-12-01,28.21,28.36,27.10,27.44,3847800,27.16201
2016-11-30,29.12,29.53,28.65,29.14,2596200,28.84479
2016-11-29,28.99,29.29,28.58,28.60,1090900,28.31026
2016-11-28,28.84,29.37,28.51,29.21,1064600,28.91408
2016-11-25,28.70,29.04,28.28,28.94,694600,28.64681
2016-11-24,29.19,29.20,28.66,28.86,400900,28.56762
2016-11-23,28.92,29.19,28.71,29.19,1103700,28.89428
2016-11-22,29.10,29.23,28.42,29.00,1553600,28.7062
2016-11-21,28.40,28.92,28.07,28.47,1228800,28.18157
2016-11-18,27.76,28.56,27.76,28.31,848500,28.02319
2016-11-17,28.70,28.70,27.71,27.87,1091700,27.58765
2016-11-16,28.25,28.76,27.44,28.35,1949000,28.06279
2016-11-15,27.78,27.78,27.78,27.78,000,27.49856
2016-11-14,27.67,28.16,27.23,27.78,2013100,27.49856
2016-11-11,28.41,29.27,27.50,27.87,2709600,27.58765
2016-11-10,30.32,30.32,27.97,28.79,2792900,28.49833
2016-11-09,30.30,31.46,29.86,30.71,1627400,30.39888
2016-11-08,31.23,31.86,31.01,31.37,723300,31.0522
