Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,30.70,31.10,29.80,30.10,8073200,30.10
2017-01-23,29.50,30.72,29.41,30.68,8134300,30.68
2017-01-20,28.76,29.45,28.76,29.35,9854700,29.35
2017-01-19,28.74,29.00,28.31,28.71,4024100,28.71
2017-01-18,29.06,29.10,28.68,28.68,4305300,28.68
2017-01-17,28.45,29.06,28.38,28.92,4969400,28.92
2017-01-16,28.50,28.85,28.28,28.46,3489000,28.46
2017-01-13,28.99,29.26,28.33,28.44,5499200,28.44
2017-01-12,29.12,29.49,28.98,29.20,9465100,29.20
2017-01-11,28.35,28.49,27.62,28.48,5684200,28.48
2017-01-10,28.26,28.49,28.02,28.18,5447600,28.18
2017-01-09,27.79,28.44,27.55,27.80,15490200,27.80
2017-01-06,28.58,28.93,28.54,28.89,3692400,28.89
2017-01-05,28.72,28.90,28.43,28.58,5457100,28.58
2017-01-04,28.65,29.00,28.55,28.65,4156300,28.65
2017-01-03,27.76,28.80,27.76,28.80,7578900,28.80
2017-01-02,27.90,27.96,27.44,27.54,1968200,27.54
2016-12-30,28.09,28.09,28.09,28.09,000,28.09
2016-12-29,27.69,28.09,27.48,28.09,4695500,28.09
2016-12-28,27.35,27.95,27.27,27.69,3454300,27.69
2016-12-27,27.32,27.59,27.04,27.35,3565200,27.35
2016-12-26,26.79,27.25,26.79,27.16,1404900,27.16
2016-12-23,26.06,26.92,26.06,26.74,5261100,26.74
2016-12-22,26.28,26.28,25.81,26.00,8083100,26.00
2016-12-21,26.50,26.67,26.09,26.25,3974600,26.25
2016-12-20,26.02,26.74,25.65,26.25,7630900,26.25
2016-12-19,26.50,26.72,25.61,25.83,6133900,25.83
2016-12-16,26.39,26.95,26.35,26.42,8167700,26.42
2016-12-15,25.28,26.25,25.02,26.25,10540600,26.25
2016-12-14,25.95,26.18,25.28,25.28,9318300,25.28
2016-12-13,25.70,26.38,25.70,25.91,7364900,25.91
2016-12-12,26.51,26.69,25.61,25.75,10960000,25.67307
2016-12-09,27.02,27.25,26.62,27.04,6278700,26.95922
2016-12-08,27.21,27.33,26.61,26.80,5186000,26.71993
2016-12-07,27.08,27.15,26.80,27.00,7421000,26.91933
2016-12-06,26.53,27.19,26.21,26.68,9030600,26.60029
2016-12-05,27.17,27.39,26.35,26.65,8078000,26.57038
2016-12-02,26.62,27.45,25.90,27.17,9316300,27.08883
2016-12-01,26.62,26.62,26.62,26.62,11764200,26.54047
2016-11-30,28.55,28.98,28.28,28.50,8596800,28.41485
2016-11-29,28.53,28.89,27.85,27.85,5046100,27.7668
2016-11-28,27.63,28.97,27.42,28.90,7214700,28.81366
2016-11-25,27.29,27.90,27.00,27.63,4773200,27.54745
2016-11-24,28.40,28.47,27.69,27.69,2784000,27.60727
2016-11-23,28.22,28.80,28.14,28.45,7272000,28.365
2016-11-22,28.75,29.23,28.13,28.58,13231600,28.49461
2016-11-21,27.76,28.33,27.36,28.33,13946200,28.13582
2016-11-18,25.45,26.31,25.42,26.27,7386300,26.08994
2016-11-17,26.29,26.78,25.40,25.52,9529900,25.34508
2016-11-16,25.00,26.33,24.55,26.00,16219400,25.82179
2016-11-15,24.42,24.42,24.42,24.42,000,24.25262
2016-11-14,23.70,24.75,23.07,24.42,12833800,24.25262
2016-11-11,25.05,25.50,23.50,23.76,20621500,23.59714
