Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,22.45,22.70,21.42,22.27,4031600,22.27
2017-01-23,20.60,21.88,20.48,21.88,2624100,21.88
2017-01-20,19.68,20.89,19.50,20.80,3236500,20.80
2017-01-19,20.64,20.64,19.35,19.81,3296600,19.81
2017-01-18,19.50,20.84,19.50,20.54,5624500,20.54
2017-01-17,19.49,19.49,18.48,19.26,2769800,19.26
2017-01-16,19.10,19.85,19.10,19.60,2824800,19.60
2017-01-13,17.65,19.33,17.62,18.30,4283100,18.30
2017-01-12,17.53,17.87,17.52,17.79,1811400,17.79
2017-01-11,16.64,17.05,16.44,17.05,1562900,17.05
2017-01-10,16.00,16.49,15.98,16.48,2110900,16.48
2017-01-09,15.39,15.80,15.39,15.62,1667200,15.62
2017-01-06,15.26,15.38,15.01,15.25,2839200,15.25
2017-01-05,14.99,15.57,14.81,15.52,2245700,15.52
2017-01-04,15.15,15.15,14.57,14.78,1700000,14.78
2017-01-03,14.78,15.11,14.72,15.11,1174200,15.11
2017-01-02,14.70,14.70,14.41,14.50,352500,14.50
2016-12-30,14.85,14.85,14.85,14.85,000,14.85
2016-12-29,15.15,15.25,14.71,14.85,2186500,14.85
2016-12-28,14.84,15.19,14.84,15.18,1029700,15.18
2016-12-27,14.99,15.20,14.66,14.72,1232100,14.72
2016-12-26,14.44,14.92,14.34,14.85,465500,14.85
2016-12-23,14.37,14.45,13.96,14.32,1301900,14.32
2016-12-22,14.74,14.79,14.07,14.32,1568900,14.209
2016-12-21,14.90,15.05,14.72,14.95,1074400,14.834
2016-12-20,14.68,14.89,14.44,14.82,2886800,14.705
2016-12-19,15.06,15.44,14.35,14.49,4820300,14.378
2016-12-16,15.35,15.86,15.00,15.14,3764800,15.023
2016-12-15,14.68,15.36,14.48,15.24,2538300,15.122
2016-12-14,14.74,14.80,14.18,14.64,3203800,14.527
2016-12-13,15.30,15.47,14.57,14.79,3239000,14.675
2016-12-12,15.84,16.03,15.38,15.55,2102700,15.429
2016-12-09,16.27,16.28,15.74,15.90,2971800,15.777
2016-12-08,16.80,16.98,16.05,16.19,2087800,16.065
2016-12-07,16.50,16.75,16.35,16.55,11515900,16.422
2016-12-06,15.80,16.16,15.71,16.06,1797200,15.936
2016-12-05,15.65,16.22,15.65,16.00,2596000,15.876
2016-12-02,14.78,15.54,14.33,15.50,3083200,15.38
2016-12-01,14.78,14.78,14.78,14.78,5999700,14.665
2016-11-30,15.30,15.45,14.85,14.95,3238700,14.834
2016-11-29,16.20,16.25,15.30,15.30,3529700,15.181
2016-11-28,15.79,16.49,15.61,16.49,3011300,16.362
2016-11-25,14.83,15.70,14.83,15.70,1910900,15.578
2016-11-24,15.47,15.52,15.08,15.14,599100,15.023
2016-11-23,15.24,15.67,15.01,15.33,3931900,15.211
2016-11-22,14.86,15.28,14.82,15.24,2521600,15.122
2016-11-21,13.70,14.29,13.64,14.27,3394100,14.159
2016-11-18,13.70,13.77,12.83,13.62,4358600,13.514
2016-11-17,14.31,14.50,13.80,13.80,1926100,13.693
2016-11-16,14.43,14.49,13.74,14.20,3402400,14.09
2016-11-15,15.04,15.04,15.04,15.04,000,14.923
2016-11-14,14.11,15.10,13.87,15.04,2111400,14.923
2016-11-11,15.56,16.08,14.19,14.30,5161200,14.189
2016-11-10,14.74,15.37,14.58,15.30,5947600,15.181
2016-11-09,13.45,14.64,13.32,14.41,4125200,14.298
2016-11-08,13.26,13.97,13.22,13.90,2719700,13.792
2016-11-07,12.92,13.45,12.91,13.45,1680700,13.346
2016-11-04,12.60,12.88,12.41,12.54,1910100,12.443
2016-11-03,12.75,13.08,12.59,12.67,1561200,12.572
2016-11-02,12.88,12.88,12.88,12.88,000,12.78
