Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,35.47,35.60,34.27,34.37,1972400,34.37
2017-01-23,35.07,35.65,34.84,35.25,875900,35.25
2017-01-20,34.65,35.10,34.61,34.79,892300,34.79
2017-01-19,35.51,35.55,34.35,34.65,861400,34.65
2017-01-18,35.58,35.60,35.06,35.20,1383200,35.20
2017-01-17,35.57,35.79,34.86,35.19,903200,35.19
2017-01-16,35.54,36.29,35.23,35.29,762100,35.29
2017-01-13,36.52,36.70,35.36,35.54,964100,35.54
2017-01-12,36.45,36.99,36.25,36.42,1376900,36.42
2017-01-11,35.89,36.85,35.75,35.85,1287000,35.85
2017-01-10,35.64,36.14,35.19,35.49,987900,35.49
2017-01-09,35.25,35.45,34.90,35.17,642200,35.17
2017-01-06,35.75,35.89,34.80,35.05,755300,35.05
2017-01-05,35.66,36.60,35.35,35.75,997600,35.75
2017-01-04,35.77,36.75,35.00,35.33,1573000,35.33
2017-01-03,34.29,35.98,34.07,35.94,1377000,35.94
2017-01-02,34.04,34.10,33.33,34.00,486500,34.00
2016-12-30,34.25,34.25,34.25,34.25,000,34.25
2016-12-29,34.31,34.56,33.41,34.25,1435600,34.25
2016-12-28,33.59,34.40,33.30,34.39,1020200,34.39
2016-12-27,33.20,33.59,32.89,33.33,925200,33.33
2016-12-26,32.80,33.21,32.80,32.90,286900,32.90
2016-12-23,33.27,33.27,31.58,33.12,1515000,33.12
2016-12-22,34.11,34.11,33.00,33.30,978300,33.30
2016-12-21,34.11,34.11,34.11,34.11,1514300,34.11
2016-12-20,33.59,33.63,32.90,33.03,886700,33.03
2016-12-19,33.60,33.60,32.75,33.40,1808800,33.40
2016-12-16,33.50,33.80,33.06,33.45,1610500,33.45
2016-12-15,34.31,34.71,33.06,33.40,2283500,33.40
2016-12-14,32.95,33.20,32.35,33.04,1708500,33.04
2016-12-13,32.56,32.95,31.99,32.95,1515400,32.95
2016-12-12,31.90,33.00,31.55,32.52,1749400,32.52
2016-12-09,32.90,32.97,31.61,32.20,1961400,32.20
2016-12-08,33.00,33.28,32.25,32.74,1445500,32.74
2016-12-07,33.13,33.61,32.62,32.76,1878400,32.76
2016-12-06,31.90,33.49,31.60,32.93,2629000,32.93
2016-12-05,31.11,33.00,30.82,32.10,3940300,32.10
2016-12-02,26.57,30.95,26.56,30.49,3792500,30.49
2016-12-01,27.50,27.70,26.37,27.12,2001300,27.12
2016-11-30,28.20,28.44,27.37,27.50,1326600,27.50
2016-11-29,27.65,28.31,27.30,27.58,1087300,27.58
2016-11-28,26.56,27.79,26.28,27.79,1207700,27.79
2016-11-25,26.80,27.10,26.21,26.55,1300600,26.55
2016-11-24,26.90,27.26,26.82,26.97,253400,26.97
2016-11-23,27.95,28.08,26.55,26.85,2999700,26.85
2016-11-22,27.85,28.78,27.61,27.86,1338000,27.86
2016-11-21,26.52,27.78,26.03,27.67,1154300,27.67
2016-11-18,27.24,27.60,26.56,26.59,1338700,26.59
2016-11-17,27.54,27.81,27.04,27.24,707000,27.24
2016-11-16,27.91,28.03,26.37,27.24,1759100,27.24
2016-11-15,27.67,27.67,27.67,27.67,000,27.67
2016-11-14,28.19,28.19,26.41,27.67,1710300,27.67
2016-11-11,28.21,29.55,27.56,28.13,2902800,28.13
2016-11-10,27.30,28.65,27.24,28.35,2502600,28.35
2016-11-09,26.12,28.05,26.05,27.36,1322400,27.36
2016-11-08,27.50,28.25,27.43,27.72,1132900,27.72
2016-11-07,26.70,27.54,26.11,27.42,1053400,27.42
2016-11-04,26.59,26.82,25.99,26.15,1462200,26.15
2016-11-03,28.50,28.61,26.50,26.60,2297100,26.60
2016-11-02,28.64,28.64,28.64,28.64,000,28.64
