Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,15.94,15.94,15.41,15.44,5091500,15.44
2017-01-23,15.64,16.14,15.41,15.94,4659600,15.94
2017-01-20,15.51,15.69,15.24,15.55,3379500,15.55
2017-01-19,15.15,15.48,15.04,15.48,4802100,15.48
2017-01-18,15.83,15.95,15.17,15.20,5589200,15.20
2017-01-17,16.00,16.20,15.73,15.75,5529800,15.75
2017-01-16,16.23,16.30,15.87,15.90,3121600,15.90
2017-01-13,16.14,16.63,16.00,16.14,9256200,16.14
2017-01-12,16.48,16.66,15.91,16.16,10253200,16.16
2017-01-11,16.40,16.48,15.71,15.85,5362200,15.85
2017-01-10,16.59,16.70,16.33,16.43,3873000,16.43
2017-01-09,16.24,16.53,16.14,16.40,2841300,16.40
2017-01-06,16.48,16.48,16.13,16.23,4004100,16.23
2017-01-05,16.51,16.65,16.40,16.47,6079400,16.47
2017-01-04,16.40,16.68,16.29,16.50,8642800,16.50
2017-01-03,15.86,16.49,15.86,16.39,6089300,16.39
2017-01-02,15.96,15.97,15.48,15.79,1892700,15.79
2016-12-30,15.96,15.96,15.96,15.96,000,15.96
2016-12-29,15.44,16.11,15.44,15.96,3725400,15.96
2016-12-28,15.31,15.68,15.30,15.43,2026300,15.43
2016-12-27,15.53,15.59,15.23,15.30,2100100,15.30
2016-12-26,15.36,15.52,15.31,15.42,594800,15.42
2016-12-23,15.39,15.40,15.10,15.29,2791200,15.29
2016-12-22,15.12,15.62,14.89,15.33,6512500,15.33
2016-12-21,15.12,15.12,15.12,15.12,5753100,15.12
2016-12-20,14.81,14.81,14.18,14.49,5806100,14.49
2016-12-19,14.64,14.77,14.47,14.47,7261600,14.47
2016-12-16,14.65,14.90,14.42,14.61,5100700,14.61
2016-12-15,14.60,14.76,14.51,14.70,5705200,14.70
2016-12-14,14.99,15.00,14.70,14.71,6014100,14.71
2016-12-13,14.61,14.95,14.51,14.93,8419900,14.93
2016-12-12,14.55,14.78,14.29,14.61,7349900,14.61
2016-12-09,14.60,14.87,14.53,14.82,4877900,14.82
2016-12-08,15.00,15.13,14.45,14.53,7964900,14.53
2016-12-07,14.25,14.98,14.23,14.91,8800400,14.91
2016-12-06,13.75,14.23,13.59,14.07,9046000,14.07
2016-12-05,13.70,14.19,13.69,13.83,8277700,13.83
2016-12-02,13.36,13.86,13.22,13.67,7715800,13.67
2016-12-01,14.35,14.55,13.37,13.54,8091000,13.54
2016-11-30,14.55,14.96,14.42,14.71,6945100,14.71
2016-11-29,14.85,14.91,14.34,14.34,3868300,14.34
2016-11-28,14.95,14.97,14.72,14.97,3735900,14.97
2016-11-25,14.71,15.14,14.71,14.96,4478200,14.96
2016-11-24,14.96,15.02,14.85,15.00,2774700,15.00
2016-11-23,15.32,15.35,14.77,14.85,3918200,14.85
2016-11-22,15.25,15.73,15.09,15.40,4311600,15.40
2016-11-21,14.86,15.10,14.66,15.00,3776000,15.00
2016-11-18,14.85,14.92,14.65,14.80,4175500,14.80
