Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,17.05,17.27,16.69,17.10,1311300,17.10
2017-01-23,16.61,17.18,16.28,17.02,1674300,17.02
2017-01-20,15.91,16.48,15.91,16.44,1091200,16.44
2017-01-19,16.09,16.17,15.51,16.00,4500000,16.00
2017-01-18,16.13,16.36,15.79,16.15,2659300,16.15
2017-01-17,15.11,16.58,15.01,16.10,5659300,16.10
2017-01-16,14.98,15.19,14.96,15.12,1145500,15.12
2017-01-13,13.94,15.12,13.83,15.10,3659400,15.10
2017-01-12,13.93,14.14,13.77,13.93,3230900,13.93
2017-01-11,13.78,13.89,13.55,13.65,568200,13.65
2017-01-10,13.84,13.85,13.52,13.78,1072600,13.78
2017-01-09,13.68,13.90,13.59,13.76,1180800,13.76
2017-01-06,13.50,13.66,13.26,13.62,2579400,13.62
2017-01-05,13.49,13.68,13.37,13.43,934700,13.43
2017-01-04,13.64,13.65,13.38,13.60,1221300,13.60
2017-01-03,13.47,13.70,13.35,13.68,1706900,13.68
2017-01-02,13.40,13.46,13.20,13.35,432900,13.35
2016-12-30,13.49,13.49,13.49,13.49,000,13.49
2016-12-29,13.36,13.50,13.13,13.49,1380100,13.49
2016-12-28,13.12,13.36,13.05,13.36,543000,13.36
2016-12-27,13.20,13.23,13.00,13.10,381200,13.10
2016-12-26,13.11,13.20,13.05,13.15,128700,13.15
2016-12-23,13.09,13.15,12.87,13.10,463300,13.10
2016-12-22,12.95,13.09,12.80,13.00,1482400,13.00
2016-12-21,12.95,12.95,12.95,12.95,1567900,12.95
2016-12-20,12.90,13.05,12.69,13.00,2178300,13.00
2016-12-19,13.10,13.21,12.85,12.90,1008500,12.90
2016-12-16,13.36,13.36,13.06,13.06,1177900,13.06
2016-12-15,12.87,13.35,12.82,13.25,1253500,13.25
2016-12-14,13.00,13.04,12.78,12.92,2347400,12.92
2016-12-13,12.64,12.90,12.52,12.86,1282500,12.86
2016-12-12,12.80,12.80,12.52,12.65,1781100,12.65
2016-12-09,12.66,12.94,12.66,12.85,1492500,12.85
2016-12-08,12.93,13.16,12.62,12.66,1138100,12.66
2016-12-07,12.83,12.99,12.74,12.91,2788300,12.91
2016-12-06,12.76,12.83,12.55,12.81,1165900,12.81
2016-12-05,13.00,13.05,12.73,12.76,935300,12.76
2016-12-02,12.50,13.08,12.38,12.90,2255500,12.90
2016-12-01,13.15,13.19,12.33,12.53,2078300,12.53
2016-11-30,13.05,13.40,13.01,13.09,24340400,13.09
2016-11-29,13.08,13.30,13.00,13.00,1801000,13.00
2016-11-28,13.13,13.27,13.01,13.01,2576800,13.01
2016-11-25,13.30,13.31,13.03,13.23,1562900,13.23
2016-11-24,13.42,13.68,13.28,13.30,965300,13.30
2016-11-23,13.29,13.75,13.17,13.56,2699000,13.56
2016-11-22,14.50,14.70,13.83,13.85,5234000,13.45
2016-11-21,14.29,14.51,14.22,14.40,1394800,13.99
2016-11-18,13.91,14.28,13.85,14.13,1560500,13.73
