Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,46.73,46.90,46.39,46.39,1419900,46.39
2017-01-23,46.70,47.20,46.47,46.78,1237200,46.78
2017-01-20,46.40,46.75,46.40,46.55,1409800,46.55
2017-01-19,46.49,46.67,46.30,46.40,2204100,46.40
2017-01-18,46.65,46.94,46.31,46.49,1393900,46.49
2017-01-17,46.53,46.79,46.30,46.65,1177800,46.65
2017-01-16,46.70,46.75,46.26,46.53,564100,46.53
2017-01-13,46.84,47.06,46.39,46.70,1024200,46.70
2017-01-12,46.94,47.54,46.09,46.44,2320000,46.44
2017-01-11,46.04,46.50,45.88,46.09,1335200,46.09
2017-01-10,45.87,46.03,45.50,46.03,1320600,46.03
2017-01-09,45.65,45.94,44.68,45.64,1149800,45.64
2017-01-06,45.86,45.97,45.52,45.65,1498600,45.65
2017-01-05,45.62,45.85,45.31,45.76,1538200,45.76
2017-01-04,44.81,45.61,44.78,45.47,1057500,45.47
2017-01-03,44.40,45.00,44.40,45.00,3295300,45.00
2017-01-02,44.19,44.64,44.19,44.40,323100,44.40
2016-12-30,44.60,44.60,44.60,44.60,000,44.60
2016-12-29,44.59,44.65,44.35,44.60,2164900,44.60
2016-12-28,44.29,44.59,44.12,44.59,1667700,44.59
2016-12-27,44.30,44.35,43.98,44.30,412400,44.30
2016-12-26,43.95,44.23,43.89,44.15,349500,44.15
2016-12-23,43.40,44.05,43.32,43.99,801800,43.8771
2016-12-22,43.16,43.48,43.16,43.37,637000,43.2587
2016-12-21,43.60,43.65,43.17,43.25,1458500,43.139
2016-12-20,43.80,43.95,43.37,43.60,1760400,43.4881
2016-12-19,43.64,43.96,43.46,43.63,2627300,43.518
2016-12-16,43.28,44.14,43.10,43.83,3236000,43.7175
2016-12-15,43.14,43.42,42.90,43.12,974100,43.0093
2016-12-14,43.75,43.75,43.15,43.15,2339800,43.0393
2016-12-13,43.40,43.76,43.35,43.70,2638600,43.5879
2016-12-12,44.00,44.00,43.21,43.51,1494100,43.3983
2016-12-09,43.98,44.01,43.56,43.85,2717500,43.7375
2016-12-08,43.80,43.97,43.45,43.88,1395900,43.7674
2016-12-07,43.85,43.95,43.34,43.70,1051000,43.5879
2016-12-06,43.10,43.69,43.10,43.68,2168300,43.5679
2016-12-05,43.52,43.58,43.21,43.27,657400,43.159
