Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,15.54,15.81,15.54,15.65,413200,15.65
2017-01-23,15.83,15.90,15.55,15.59,462100,15.59
2017-01-20,15.66,15.95,15.26,15.83,626000,15.83
2017-01-19,16.25,16.25,15.57,15.64,1176200,15.64
2017-01-18,16.52,16.79,16.43,16.63,347600,16.63
2017-01-17,16.62,16.74,16.29,16.33,469200,16.33
2017-01-16,16.78,16.79,16.52,16.62,210100,16.62
2017-01-13,16.84,16.89,16.47,16.60,297700,16.60
2017-01-12,16.42,16.95,16.41,16.63,348100,16.63
2017-01-11,16.34,16.57,16.10,16.10,309100,16.10
2017-01-10,16.30,16.38,16.26,16.34,198800,16.34
2017-01-09,16.41,16.49,16.10,16.10,221700,16.10
2017-01-06,16.68,16.70,16.28,16.31,248500,16.31
2017-01-05,16.56,16.85,16.45,16.56,143800,16.56
2017-01-04,16.20,16.67,16.10,16.53,438300,16.53
2017-01-03,15.85,16.41,15.70,16.20,677300,16.20
2017-01-02,15.20,15.80,15.15,15.80,262000,15.80
2016-12-30,15.12,15.12,15.12,15.12,000,15.12
2016-12-29,15.17,15.32,15.09,15.12,284600,15.12
2016-12-28,15.22,15.45,15.15,15.17,321900,15.17
2016-12-27,15.22,15.25,14.95,15.11,300100,15.11
2016-12-26,15.35,15.35,15.03,15.09,436800,15.09
2016-12-23,14.99,15.31,14.89,15.31,335100,15.31
2016-12-22,15.39,15.45,14.82,14.86,496400,14.86
2016-12-21,15.39,15.39,15.39,15.39,216200,15.39
2016-12-20,15.83,15.90,15.47,15.75,360600,15.75
2016-12-19,15.91,15.92,15.70,15.76,147700,15.76
2016-12-16,15.68,15.98,15.68,15.85,278400,15.85
2016-12-15,15.66,15.73,15.46,15.67,200100,15.67
2016-12-14,15.85,15.88,15.58,15.63,366900,15.63
2016-12-13,15.75,15.96,15.53,15.80,346200,15.80
2016-12-12,15.74,15.80,15.48,15.73,361800,15.73
2016-12-09,15.89,15.90,15.67,15.73,605600,15.73
2016-12-08,15.82,15.85,15.58,15.80,448100,15.80
2016-12-07,15.97,16.21,15.83,15.90,705400,15.64
2016-12-06,15.65,16.02,15.63,15.91,595000,15.65
2016-12-05,16.14,16.23,15.75,15.81,808600,15.55
2016-12-02,16.27,16.58,16.00,16.14,1154000,15.88
2016-12-01,16.89,16.89,16.15,16.25,529400,15.98
2016-11-30,16.95,17.24,16.76,16.79,292700,16.51
2016-11-29,17.12,17.28,16.88,16.88,226600,16.60
2016-11-28,17.21,17.34,16.89,17.12,248800,16.84
2016-11-25,17.00,17.31,16.99,17.20,164000,16.92
2016-11-24,17.16,17.40,17.05,17.24,107100,16.96
2016-11-23,17.17,17.45,16.96,17.11,198300,16.83
2016-11-22,17.47,17.92,17.11,17.35,456100,17.07
2016-11-21,17.59,17.59,17.15,17.30,188900,17.02
2016-11-18,17.35,17.49,17.05,17.30,268900,17.02
2016-11-17,17.54,17.67,17.26,17.27,230900,16.99
2016-11-16,17.45,17.59,17.03,17.40,277200,17.11
2016-11-15,17.43,17.43,17.43,17.43,000,17.14
2016-11-14,16.86,17.50,16.33,17.43,654700,17.14
2016-11-11,17.79,17.79,16.70,16.86,814300,16.58
2016-11-10,18.71,18.75,17.20,17.77,734300,17.48
2016-11-09,17.80,18.68,17.50,18.44,412600,18.14
2016-11-08,18.69,18.89,18.35,18.68,312600,18.37
2016-11-07,18.32,18.85,17.90,18.70,313000,18.39
2016-11-04,18.50,18.77,18.04,18.32,386600,17.77
2016-11-03,18.83,19.10,18.41,18.49,418200,17.94
2016-11-02,18.80,18.80,18.80,18.80,000,18.24
2016-11-01,19.48,19.66,18.77,18.80,381800,18.24
2016-10-31,19.02,19.55,18.81,19.36,746500,18.78
2016-10-28,18.81,19.09,18.63,18.80,813300,18.24
2016-10-27,19.00,19.16,18.80,18.80,443800,18.24
2016-10-26,19.13,19.20,18.40,18.90,613500,18.34
2016-10-25,19.21,19.30,18.79,19.20,410800,18.63
2016-10-24,19.52,19.55,19.16,19.34,353500,18.76
2016-10-21,19.69,19.97,19.33,19.52,902400,18.94
2016-10-20,19.50,19.69,19.08,19.69,293700,19.10
2016-10-19,19.55,19.70,19.22,19.50,270200,18.92
2016-10-18,19.65,19.74,19.50,19.55,413900,18.97
2016-10-17,18.72,19.58,18.72,19.47,995900,18.89
2016-10-14,18.59,19.10,18.59,18.72,241500,18.16
2016-10-13,18.80,18.80,18.30,18.44,290300,17.89
2016-10-12,18.72,18.72,18.72,18.72,000,18.16
2016-10-11,18.80,19.14,18.69,18.72,637900,18.16
2016-10-10,18.69,18.79,18.65,18.77,143100,18.21
2016-10-07,18.60,18.80,18.10,18.50,348600,17.95
2016-10-06,18.52,18.64,18.40,18.60,129700,18.05
2016-10-05,18.45,18.80,18.21,18.50,251800,17.95
