Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,25.40,25.40,25.26,25.34,1426300,25.34
2017-01-23,25.31,25.44,25.25,25.39,2077600,25.39
2017-01-20,25.20,25.31,25.20,25.30,780400,25.30
2017-01-19,25.26,25.28,25.16,25.26,992300,25.26
2017-01-18,25.22,25.26,25.16,25.25,825500,25.25
2017-01-17,25.15,25.25,25.05,25.22,1015100,25.22
2017-01-16,25.18,25.20,25.12,25.17,357800,25.17
2017-01-13,25.14,25.20,25.00,25.18,1879300,25.18
2017-01-12,25.34,25.38,25.21,25.32,1938200,25.10212
2017-01-11,25.25,25.25,25.14,25.25,1084700,25.03273
2017-01-10,25.22,25.25,25.15,25.24,1098800,25.02281
2017-01-09,25.16,25.24,25.14,25.23,666500,25.0129
2017-01-06,25.20,25.25,25.15,25.23,988500,25.0129
2017-01-05,25.21,25.30,25.21,25.21,1355100,24.99307
2017-01-04,25.22,25.32,25.21,25.26,1154500,25.04264
2017-01-03,25.30,25.32,25.16,25.32,2060000,25.10212
2017-01-02,25.23,25.30,25.14,25.26,411000,25.04264
2016-12-30,25.21,25.21,25.21,25.21,000,24.99307
2016-12-29,25.08,25.34,25.08,25.21,1732200,24.99307
2016-12-28,25.11,25.24,25.08,25.11,1286600,24.89393
2016-12-27,25.20,25.20,25.12,25.12,1091000,24.90384
2016-12-26,25.15,25.20,25.05,25.10,633900,24.88402
2016-12-23,25.17,25.22,25.05,25.15,1555800,24.93359
2016-12-22,25.13,25.16,25.03,25.14,1086800,24.92367
2016-12-21,25.13,25.13,25.13,25.13,751700,24.91376
2016-12-20,25.18,25.18,25.05,25.09,1134700,24.8741
2016-12-19,25.07,25.18,25.06,25.16,1995300,24.9435
2016-12-16,25.17,25.17,25.03,25.13,1332900,24.91376
2016-12-15,25.00,25.17,24.99,25.12,1833700,24.90384
2016-12-14,25.10,25.16,24.96,25.12,1985700,24.90384
2016-12-13,24.80,25.15,24.80,25.12,3047600,24.90384
2016-12-12,24.61,24.95,24.49,24.79,1542300,24.57668
2016-12-09,24.41,24.79,24.24,24.74,5967400,24.52711
2016-12-08,24.41,24.42,24.25,24.29,1626300,24.08099
2016-12-07,24.42,24.42,24.27,24.40,1441000,24.19004
2016-12-06,24.20,24.41,24.10,24.39,1224900,24.18012
2016-12-05,24.41,24.41,24.20,24.34,1731900,24.13056
2016-12-02,24.25,24.40,24.09,24.35,1931000,24.14047
2016-12-01,24.45,24.58,24.26,24.32,2453100,24.11073
2016-11-30,24.63,24.68,24.36,24.66,3849300,24.4478
2016-11-29,24.60,24.62,24.43,24.54,1299900,24.32884
2016-11-28,24.44,24.72,24.33,24.59,1405400,24.3784
2016-11-25,24.27,24.53,24.23,24.45,848800,24.23961
2016-11-24,24.05,24.52,24.03,24.48,3380300,24.26935
2016-11-23,24.10,24.23,24.03,24.23,1078700,24.0215
2016-11-22,24.29,24.30,24.15,24.29,1208700,24.08099
2016-11-21,24.11,24.20,23.95,24.20,972100,23.99176
2016-11-18,23.80,24.10,23.75,24.10,1575000,23.89262
2016-11-17,24.05,24.05,23.68,23.88,1172800,23.67451
2016-11-16,23.51,23.95,23.41,23.95,3400600,23.74391
2016-11-15,23.60,23.60,23.60,23.60,000,23.39692
2016-11-14,23.40,23.87,23.04,23.60,2876800,23.39692
2016-11-11,23.60,23.75,23.20,23.64,3526700,23.43658
2016-11-10,24.00,24.09,23.54,23.84,15606700,23.63486
2016-11-09,23.90,24.13,23.80,24.13,1491100,23.92236
2016-11-08,24.08,24.17,24.00,24.08,2227700,23.87279
2016-11-07,24.13,24.23,24.03,24.14,1898300,23.93228
2016-11-04,24.07,24.17,23.94,24.10,1799200,23.89262
2016-11-03,24.19,24.22,23.92,24.01,1750000,23.8034
2016-11-02,24.10,24.10,24.10,24.10,000,23.89262
2016-11-01,24.29,24.29,23.93,24.10,1997100,23.89262
2016-10-31,24.21,24.30,24.12,24.22,699200,24.01159
2016-10-28,24.24,24.27,24.16,24.19,1013500,23.98185
2016-10-27,24.20,24.29,24.20,24.24,692000,24.03142
2016-10-26,24.15,24.28,24.15,24.20,968600,23.99176
2016-10-25,24.23,24.34,24.15,24.25,909300,24.04133
2016-10-24,24.35,24.39,24.21,24.25,1331700,24.04133
2016-10-21,24.21,24.32,24.19,24.27,736900,24.06116
2016-10-20,24.20,24.34,24.11,24.25,1609200,24.04133
2016-10-19,24.37,24.40,24.18,24.30,1196100,24.0909
2016-10-18,24.20,24.39,24.15,24.39,1340300,24.18012
2016-10-17,24.22,24.30,24.15,24.26,1533400,24.05124
2016-10-14,24.24,24.34,24.20,24.21,996500,24.00167
2016-10-13,24.08,24.25,24.07,24.12,2216100,23.91245
2016-10-12,24.18,24.18,24.18,24.18,000,23.97193
2016-10-11,24.34,24.34,24.15,24.18,5074100,23.97193
2016-10-10,24.15,24.30,24.13,24.29,1593600,24.08099
2016-10-07,24.25,24.29,24.12,24.13,1867600,23.92236
2016-10-06,24.13,24.25,24.05,24.22,1141500,24.01159
2016-10-05,24.18,24.24,24.05,24.14,1294400,23.93228
2016-10-04,24.12,24.27,24.12,24.20,4588600,23.99176
2016-10-03,24.07,24.32,24.05,24.23,1255100,24.0215
2016-09-30,24.27,24.33,24.13,24.19,1639600,23.98185
2016-09-29,24.31,24.39,24.16,24.19,1071900,23.98185
2016-09-28,24.33,24.33,24.15,24.31,1584300,24.10081
2016-09-27,24.40,24.45,24.19,24.26,1324400,24.05124
2016-09-26,24.35,24.45,24.25,24.30,2818000,24.0909
2016-09-23,24.20,24.35,24.20,24.30,1261900,24.0909
2016-09-22,24.49,24.55,24.14,24.30,5872500,24.0909
2016-09-21,24.30,24.45,24.07,24.32,1573700,24.11073
2016-09-20,24.10,24.35,24.00,24.19,1777200,23.98185
2016-09-19,24.06,24.27,24.02,24.16,1082500,23.9521
2016-09-16,23.80,24.05,23.74,24.04,1011100,23.83314
2016-09-15,23.77,24.05,23.70,24.00,931700,23.79348
2016-09-14,23.82,23.95,23.59,23.89,964900,23.68443
2016-09-13,23.67,23.80,23.52,23.70,1246800,23.49606
2016-09-12,23.70,23.91,23.49,23.81,1142700,23.60512
2016-09-09,23.75,24.00,23.50,23.82,1482400,23.61503
2016-09-08,24.20,24.20,23.77,23.95,1870500,23.74391
2016-09-07,24.01,24.01,24.01,24.01,000,23.8034
2016-09-06,23.97,24.14,23.83,24.01,905900,23.8034
2016-09-05,24.03,24.19,23.74,23.85,1266900,23.64477
2016-09-02,23.63,24.04,23.58,23.91,4046500,23.70426
2016-09-01,23.30,23.57,23.30,23.55,1557100,23.34735
2016-08-31,23.22,23.60,23.04,23.25,2003400,23.04994
2016-08-30,23.30,23.34,22.97,23.10,770500,22.90123
2016-08-29,23.14,23.25,22.88,23.17,607700,22.97062
2016-08-26,23.02,23.48,22.80,22.95,1254200,22.75252
2016-08-25,22.93,23.15,22.83,23.02,942400,22.82191
2016-08-24,22.80,23.17,22.79,23.04,681000,22.84174
2016-08-23,23.16,23.28,22.80,22.96,2055400,22.76243
2016-08-22,23.14,23.28,23.04,23.14,840600,22.94088
2016-08-19,23.20,23.37,23.08,23.30,694000,23.0995
2016-08-18,23.31,23.46,23.13,23.30,1801300,23.0995
2016-08-17,23.40,23.43,22.72,23.31,1630700,23.10942
2016-08-16,23.16,23.48,23.15,23.22,1111000,23.02019
2016-08-15,23.01,23.45,23.01,23.35,1807300,23.14907
2016-08-12,22.97,23.39,22.67,22.83,906700,22.63355
2016-08-11,22.36,22.88,22.32,22.87,1145500,22.67321
2016-08-10,22.51,22.66,22.25,22.40,1284200,22.20725
2016-08-09,22.51,22.57,22.31,22.40,1886600,22.20725
2016-08-08,22.49,22.71,22.40,22.50,1397700,22.30639
2016-08-05,22.81,22.95,22.46,22.60,1545500,22.40553
2016-08-04,22.51,22.98,22.51,22.71,1497000,22.51458
2016-08-03,22.70,22.70,22.31,22.62,909900,22.42536
2016-08-02,22.34,22.60,22.30,22.58,1285100,22.3857
2016-08-01,22.86,23.00,22.51,22.60,928500,22.40553
2016-07-29,22.57,22.93,22.44,22.84,1283300,22.64346
2016-07-28,22.47,22.56,22.22,22.55,2159700,22.35596
2016-07-27,22.66,22.71,22.37,22.48,1944900,22.28656
2016-07-26,22.66,22.72,22.50,22.55,1580400,22.35596
2016-07-25,22.78,22.88,22.53,22.66,803800,22.46501
2016-07-22,22.63,22.95,22.59,22.78,1101900,22.58398
2016-07-21,22.66,22.75,22.40,22.56,1821900,22.36587
2016-07-20,22.45,22.77,22.45,22.55,4037000,22.35596
2016-07-19,22.35,22.69,22.35,22.59,1876300,22.39561
2016-07-18,22.61,22.80,22.09,22.44,2722900,22.24691
2016-07-15,22.49,22.61,22.41,22.61,1275600,22.41544
2016-07-14,22.67,22.67,22.32,22.50,2217100,22.30639
2016-07-13,22.50,22.58,22.28,22.58,2062400,22.3857
2016-07-12,22.60,22.60,22.29,22.35,2152900,22.15768
2016-07-11,22.60,22.69,22.39,22.46,1593500,22.26673
2016-07-08,22.62,22.74,22.27,22.46,2527400,22.26673
2016-07-07,22.17,22.50,21.96,22.50,1981400,22.30639
2016-07-06,22.16,22.19,21.76,22.10,1813000,21.90983
2016-07-05,22.30,22.45,21.64,22.16,6218000,21.96931
2016-07-04,22.15,23.20,22.06,22.31,8641200,22.11802
2016-07-01,20.71,21.04,20.39,20.56,2107800,20.38308
2016-06-30,20.55,20.80,20.37,20.59,2015100,20.41282
2016-06-29,20.15,20.65,20.05,20.65,2852900,20.47231
2016-06-28,20.10,20.40,19.91,20.05,1928900,19.87747
2016-06-27,19.97,20.24,19.86,19.95,1735100,19.77833
2016-06-24,19.88,20.25,19.75,20.15,2430400,19.97661
2016-06-23,20.61,20.64,20.36,20.45,4162400,20.27403
2016-06-22,20.81,21.25,20.46,20.46,2960700,20.28394
2016-06-21,20.35,20.81,19.94,20.81,2085500,20.63093
2016-06-20,20.50,20.60,20.24,20.34,1833900,20.16498
2016-06-17,20.29,20.45,20.03,20.20,1775200,20.02618
2016-06-16,19.69,20.24,19.26,20.05,2385400,19.87747
2016-06-15,19.53,19.67,19.24,19.58,1795200,19.41152
2016-06-14,19.83,19.89,19.44,19.61,1283400,19.44126
2016-06-13,19.00,19.82,18.83,19.73,1359600,19.56022
2016-06-10,19.59,19.60,19.13,19.19,1135600,19.02487
2016-06-09,19.80,19.80,19.49,19.64,2639400,19.471
2016-06-08,18.98,20.00,18.98,19.85,1939200,19.67919
2016-06-07,18.90,19.04,18.80,19.01,1013700,18.84642
2016-06-06,19.30,19.30,18.82,19.00,1394900,18.83651
2016-06-03,19.00,19.30,18.80,19.15,2419300,18.98521
2016-06-02,18.57,18.88,18.37,18.88,2198900,18.71754
2016-06-01,18.41,18.53,18.18,18.53,2338800,18.37055
2016-05-31,18.10,18.44,18.10,18.28,2052700,18.1227
2016-05-30,18.44,18.55,18.10,18.33,461800,18.17227
2016-05-27,18.04,18.59,18.04,18.36,1101400,18.20201
2016-05-26,18.15,18.15,18.15,18.15,000,17.99382
2016-05-25,18.49,18.69,18.12,18.15,1306400,17.99382
2016-05-24,18.35,18.62,18.15,18.51,1158300,18.35072
2016-05-23,18.25,18.49,18.00,18.30,1692600,18.14253
2016-05-20,18.54,18.89,18.50,18.68,1840100,18.51926
2016-05-19,18.40,18.67,18.26,18.54,1367200,18.38047
2016-05-18,19.00,19.09,18.52,18.60,2985200,18.43995
2016-05-17,19.52,19.60,18.69,19.05,1757900,18.88608
2016-05-16,19.53,19.78,19.48,19.51,1912800,19.34212
