Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,22.97,23.10,22.50,22.53,710200,22.53
2017-01-23,22.35,23.13,22.35,22.97,835700,22.97
2017-01-20,21.75,22.68,21.66,22.13,1495400,22.13
2017-01-19,21.84,21.85,20.82,21.63,1429500,21.63
2017-01-18,22.90,22.91,21.68,21.82,1503900,21.82
2017-01-17,22.50,23.14,22.50,22.72,1465700,22.72
2017-01-16,23.01,23.11,22.36,22.69,766900,22.69
2017-01-13,23.20,23.40,22.92,23.19,1913600,23.19
2017-01-12,22.50,23.33,22.08,23.20,3039200,23.20
2017-01-11,22.10,22.11,21.20,21.53,964600,21.53
2017-01-10,22.20,22.30,21.70,21.98,1027900,21.98
2017-01-09,22.41,22.81,22.08,22.08,1236900,22.08
2017-01-06,22.57,22.58,22.06,22.47,624200,22.47
2017-01-05,22.60,22.79,22.46,22.50,733900,22.50
2017-01-04,22.29,22.66,22.27,22.59,1350900,22.59
2017-01-03,22.56,22.86,21.90,22.34,1846200,22.34
2017-01-02,22.50,22.80,22.21,22.50,602400,22.50
2016-12-30,22.81,22.81,22.81,22.81,000,22.81
2016-12-29,22.83,22.88,22.13,22.81,4205800,22.81
2016-12-28,22.39,22.74,22.20,22.74,568900,22.74
2016-12-27,22.84,22.87,22.04,22.41,578400,22.41
2016-12-26,22.37,22.84,22.16,22.80,300100,22.80
2016-12-23,22.14,22.51,21.87,22.34,788000,22.34
2016-12-22,22.40,22.63,21.75,22.00,986100,22.00
2016-12-21,22.40,22.40,22.40,22.40,1164600,22.40
2016-12-20,22.81,22.81,21.70,22.00,1897700,22.00
2016-12-19,22.69,22.84,22.50,22.78,1352200,22.78
2016-12-16,22.97,23.15,22.55,22.71,2603200,22.71
2016-12-15,22.45,22.87,22.24,22.85,1066300,22.85
2016-12-14,22.58,22.84,22.20,22.66,1711900,22.66
2016-12-13,23.03,23.03,22.42,22.73,1668100,22.73
2016-12-12,22.75,23.03,22.15,22.91,1421100,22.91
2016-12-09,23.05,23.15,22.47,22.90,1660900,22.90
2016-12-08,23.50,23.54,22.77,23.00,1474700,23.00
2016-12-07,24.10,24.10,23.10,23.59,1500000,23.59
2016-12-06,23.99,24.27,23.62,23.95,1125100,23.95
2016-12-05,24.12,24.43,23.32,23.99,1264500,23.99
2016-12-02,24.60,24.70,23.91,24.00,2817800,24.00
2016-12-01,25.65,25.87,24.29,24.84,3765300,24.84
2016-11-30,26.15,26.15,25.10,25.65,25555800,25.65
2016-11-29,25.41,25.94,25.40,25.76,2506300,25.76
2016-11-28,24.99,25.93,24.99,25.72,3591600,25.72
2016-11-25,24.50,25.00,24.09,24.99,3473900,24.99
2016-11-24,23.80,24.97,23.67,24.80,1498600,24.80
2016-11-23,24.20,24.30,23.15,23.80,1419200,23.80
2016-11-22,23.70,24.26,23.64,23.90,1330200,23.90
2016-11-21,22.56,23.65,22.40,23.55,1350100,23.55
2016-11-18,22.06,22.77,21.95,22.50,1781100,22.50
2016-11-17,23.03,23.50,21.68,22.24,2483200,22.24
2016-11-16,23.70,23.70,21.34,22.90,5762200,22.90
