Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,25.07,26.41,24.91,25.91,9404300,25.91
2017-01-23,24.69,25.03,24.55,24.85,10433200,24.85
2017-01-20,25.30,25.49,24.43,24.54,15851300,24.54
2017-01-19,25.16,25.45,25.04,25.21,5880700,25.21
2017-01-18,25.50,25.58,24.97,25.15,6186600,25.15
2017-01-17,25.58,25.74,25.45,25.46,4211500,25.46
2017-01-16,25.98,26.21,25.81,25.91,1668900,25.91
2017-01-13,25.99,26.30,25.60,25.98,5191800,25.98
2017-01-12,26.70,27.13,25.77,25.77,8449800,25.77
2017-01-11,26.67,26.80,26.00,26.18,10092400,26.18
2017-01-10,27.53,27.76,26.20,26.58,16438200,26.58
2017-01-09,27.36,28.10,27.25,27.50,5291800,27.50
2017-01-06,27.31,27.58,27.22,27.37,2972500,27.37
2017-01-05,27.65,27.84,27.31,27.31,3118100,27.31
2017-01-04,27.83,28.02,27.52,27.61,3010500,27.61
2017-01-03,27.54,28.39,27.48,28.01,4158200,27.90034
2017-01-02,27.85,27.94,27.17,27.25,1859300,27.14332
2016-12-30,27.89,27.89,27.89,27.89,000,27.78081
2016-12-29,27.56,28.21,27.43,27.89,5241600,27.78081
2016-12-28,27.37,27.69,26.26,27.56,6932100,27.4521
2016-12-27,28.00,28.13,27.23,27.40,4760900,27.29273
2016-12-26,28.00,28.18,27.96,28.00,2138800,27.89038
2016-12-23,28.22,28.58,27.76,27.95,12420400,27.84058
2016-12-22,27.68,28.47,27.68,28.20,8584100,28.0896
2016-12-21,27.21,28.33,26.96,28.10,9703800,27.98999
2016-12-20,26.24,27.25,26.01,27.19,12719200,27.08355
2016-12-19,26.49,26.77,25.76,25.90,5740900,25.7986
2016-12-16,24.81,26.52,24.78,26.49,17579500,26.38629
2016-12-15,25.81,26.38,24.49,24.49,6847600,24.39412
2016-12-14,26.67,26.75,25.87,26.03,8805300,25.92809
2016-12-13,26.80,27.69,26.54,26.67,6206700,26.56559
2016-12-12,27.97,27.97,26.86,26.95,8263300,26.84449
2016-12-09,28.85,28.89,27.94,27.97,4702700,27.8605
2016-12-08,29.60,29.68,28.28,28.47,3315500,28.35854
2016-12-07,28.48,29.59,28.44,29.24,5908500,29.12553
2016-12-06,28.30,28.87,27.96,28.34,4157600,28.22905
2016-12-05,28.45,28.84,28.06,28.46,4685400,28.34858
2016-12-02,28.90,29.10,28.40,28.60,7959200,28.48803
2016-12-01,28.90,28.90,28.90,28.90,9674700,28.78686
2016-11-30,30.01,30.27,29.60,29.72,5414200,29.60365
