Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,58.84,59.89,58.28,59.49,1383900,59.49
2017-01-23,57.21,59.01,57.21,58.84,845200,58.84
2017-01-20,56.89,57.70,56.62,57.21,655500,57.21
2017-01-19,57.18,57.26,56.04,56.58,1429500,56.58
2017-01-18,57.79,58.25,56.64,56.64,688400,56.64
2017-01-17,58.15,58.41,57.00,57.67,883200,57.67
2017-01-16,58.33,58.77,57.46,58.15,446000,58.15
2017-01-13,59.40,60.39,57.01,58.33,1156000,58.33
2017-01-12,57.50,60.21,57.30,59.33,1873000,59.33
2017-01-11,55.94,56.20,55.05,56.10,574700,56.10
2017-01-10,56.00,56.50,55.39,55.64,539400,55.64
2017-01-09,55.62,56.48,55.52,55.81,362200,55.81
2017-01-06,56.12,56.81,55.28,56.33,477700,56.33
2017-01-05,56.51,57.44,55.80,56.08,587900,56.08
2017-01-04,56.19,56.91,55.27,56.13,1024100,56.13
2017-01-03,54.97,57.78,54.68,56.72,1215900,56.72
2017-01-02,54.90,55.05,54.10,54.52,160300,54.52
2016-12-30,54.75,54.75,54.75,54.75,000,54.75
2016-12-29,54.15,54.97,53.92,54.75,677100,54.75
2016-12-28,53.02,54.99,53.02,54.14,572500,54.14
2016-12-27,53.60,53.75,52.50,53.00,493500,53.00
2016-12-26,53.50,53.83,53.23,53.32,150500,53.32
2016-12-23,52.85,53.45,52.85,53.08,445300,53.08
2016-12-22,52.22,53.37,51.69,52.60,601600,52.60
2016-12-21,52.22,52.22,52.22,52.22,476700,52.22
2016-12-20,53.31,53.84,51.01,51.66,715300,51.66
2016-12-19,53.99,55.00,52.71,53.09,760100,53.09
2016-12-16,52.48,55.53,52.40,53.94,1128400,53.94
2016-12-15,50.65,52.45,50.00,52.33,672200,52.33
2016-12-14,52.50,53.25,50.71,51.00,1032800,51.00
2016-12-13,50.56,52.82,50.20,52.51,890500,52.51
2016-12-12,51.60,53.49,50.70,51.00,1014900,51.00
2016-12-09,50.58,53.37,50.30,52.56,2096600,52.56
2016-12-08,51.12,51.50,50.01,50.05,1013200,50.05
2016-12-07,50.95,51.54,50.34,50.82,664600,50.82
2016-12-06,48.85,50.64,47.56,50.39,1021600,50.39
2016-12-05,49.51,49.91,48.85,49.01,707700,49.01
2016-12-02,50.14,50.50,48.80,49.30,1455800,49.30
2016-12-01,54.25,54.48,50.39,50.65,1503300,50.65
2016-11-30,54.96,55.99,53.90,54.60,857500,54.60
2016-11-29,55.95,56.58,54.15,54.50,718700,54.50
2016-11-28,56.50,56.78,55.06,56.65,636600,56.65
2016-11-25,57.50,57.50,55.76,56.46,517900,56.46
2016-11-24,55.05,57.79,55.05,57.70,553200,57.70
2016-11-23,53.92,54.87,53.50,54.42,852900,54.42
2016-11-22,53.87,55.00,53.71,53.92,805600,53.92
2016-11-21,53.65,54.64,52.62,53.15,864600,53.15
2016-11-18,53.38,54.99,52.79,53.38,699000,53.38
2016-11-17,56.02,56.02,53.31,53.35,541900,53.35
2016-11-16,54.23,56.48,52.84,55.62,1032300,55.62
2016-11-15,53.24,53.24,53.24,53.24,000,53.24
2016-11-14,52.86,55.36,52.41,53.24,1295800,53.24
2016-11-11,56.96,57.42,53.70,54.00,1531200,54.00
2016-11-10,61.64,62.13,56.02,57.82,1337500,57.82
2016-11-09,59.11,61.90,58.80,61.42,1311300,61.42
2016-11-08,61.90,62.74,61.05,61.50,986900,61.50
2016-11-07,60.71,62.40,60.71,61.86,735400,61.86
2016-11-04,58.90,61.80,58.80,59.88,1324300,59.88
2016-11-03,58.87,60.22,57.88,57.88,753300,57.88
2016-11-02,58.87,58.87,58.87,58.87,000,58.87
2016-11-01,60.75,62.74,58.64,58.87,1104200,58.87
2016-10-31,59.66,61.06,59.32,61.00,944600,61.00
2016-10-28,57.75,61.15,57.64,59.90,1278500,59.90
2016-10-27,57.32,58.28,57.13,57.88,765300,57.88
2016-10-26,57.62,58.29,56.84,57.07,627500,57.07
2016-10-25,59.00,59.28,57.68,58.00,505000,58.00
2016-10-24,58.92,60.63,58.92,59.21,909300,59.21
2016-10-21,58.24,59.52,57.36,58.86,740700,58.86
2016-10-20,56.62,58.48,55.77,57.84,759800,57.84
2016-10-19,56.65,57.79,56.53,56.69,442400,56.69
2016-10-18,55.60,56.93,55.04,56.65,879300,56.65
2016-10-17,54.58,55.25,54.03,55.25,454200,55.25
2016-10-14,53.45,55.06,53.44,54.85,894700,54.85
2016-10-13,52.60,53.95,52.15,53.23,1236900,53.23
2016-10-12,53.24,53.24,53.24,53.24,000,53.24
2016-10-11,54.23,54.64,52.75,53.24,1410500,53.24
2016-10-10,53.24,54.98,53.13,54.73,2269800,54.73
2016-10-07,53.72,53.90,51.65,53.03,1378100,53.03
2016-10-06,53.79,54.29,53.21,53.71,1788900,53.71
2016-10-05,52.79,53.96,52.63,53.71,854400,53.71
2016-10-04,53.20,53.30,51.76,52.23,640300,52.23
2016-10-03,52.61,53.66,52.61,53.38,375000,53.38
2016-09-30,53.15,53.96,52.63,53.10,574600,53.10
2016-09-29,54.50,55.12,52.91,52.94,758800,52.94
2016-09-28,55.29,55.94,54.20,54.47,625500,54.47
2016-09-27,55.69,55.90,53.89,54.94,949300,54.94
2016-09-26,55.70,56.22,55.32,55.88,994300,55.88
2016-09-23,54.00,56.56,54.00,56.00,1042600,56.00
2016-09-22,52.81,54.88,52.81,54.00,1286300,54.00
2016-09-21,51.44,52.97,50.00,52.49,1377900,52.49
2016-09-20,50.47,51.65,50.40,51.50,461800,51.50
2016-09-19,50.21,50.87,50.06,50.70,484800,50.70
2016-09-16,50.25,50.42,49.62,50.21,630100,50.21
2016-09-15,50.45,50.89,50.15,50.88,470700,50.88
2016-09-14,50.99,51.30,50.13,50.72,489400,50.72
2016-09-13,50.37,51.09,49.96,50.99,680900,50.99
2016-09-12,49.85,51.05,48.70,51.05,815500,51.05
2016-09-09,51.17,51.49,49.65,50.05,1068600,50.05
2016-09-08,52.23,52.40,51.65,52.07,742900,52.07
2016-09-07,52.40,52.40,52.40,52.40,000,52.40
2016-09-06,52.75,52.76,51.76,52.40,320600,52.40
2016-09-05,52.88,52.88,52.13,52.25,162700,52.25
2016-09-02,51.02,52.80,51.01,52.52,443000,52.52
2016-09-01,50.95,51.19,50.08,51.00,654800,51.00
2016-08-31,51.69,51.95,50.36,50.36,727100,50.36
2016-08-30,51.84,52.79,50.67,51.31,930300,51.31
2016-08-29,52.09,52.46,51.62,51.72,951900,51.72
2016-08-26,53.39,53.40,51.79,52.08,2020500,52.08
2016-08-25,53.10,54.28,52.65,53.09,486000,53.09
2016-08-24,52.60,53.67,51.36,53.05,977500,53.05
2016-08-23,51.99,53.51,51.71,52.67,786600,52.67
2016-08-22,52.49,52.49,51.71,51.81,610000,51.81
2016-08-19,52.49,53.14,52.12,52.53,395000,52.53
2016-08-18,52.70,53.20,52.09,52.78,402200,52.78
2016-08-17,52.94,52.94,51.15,52.48,725900,52.48
2016-08-16,53.90,54.06,52.57,52.62,541200,52.62
2016-08-15,53.06,54.14,53.06,53.89,687600,53.89
2016-08-12,50.99,53.44,50.50,53.02,1035900,53.02
2016-08-11,49.35,51.24,49.25,51.09,547600,51.09
2016-08-10,49.52,50.45,49.05,49.34,619700,49.34
2016-08-09,50.20,50.26,49.00,49.56,851300,49.56
2016-08-08,49.49,50.50,48.51,49.55,1039500,49.55
2016-08-05,48.93,49.83,48.65,49.40,1110000,49.40
2016-08-04,47.70,48.81,47.66,48.66,841000,48.66
2016-08-03,47.50,47.99,47.07,47.67,650300,47.67
2016-08-02,48.00,48.32,46.76,47.78,815900,47.78
2016-08-01,49.00,49.05,47.64,47.85,661100,47.85
2016-07-29,48.01,49.35,46.70,49.07,1606300,49.07
2016-07-28,52.00,52.00,48.16,48.20,3315800,48.20
2016-07-27,54.60,54.84,52.84,53.80,1040300,53.80
2016-07-26,55.42,55.95,54.60,54.60,2051600,54.60
2016-07-25,55.05,55.35,54.60,55.20,657200,55.20
2016-07-22,55.20,55.45,54.50,54.89,877300,54.89
2016-07-21,55.86,56.37,54.94,55.25,626600,55.25
2016-07-20,57.25,57.28,55.85,56.06,1111800,56.06
2016-07-19,56.70,57.43,56.03,57.25,1106200,57.25
2016-07-18,55.44,56.77,55.17,56.73,774800,56.73
2016-07-15,54.60,55.28,53.29,55.28,997200,55.28
2016-07-14,52.00,55.10,51.87,54.71,1584700,54.71
2016-07-13,51.76,51.89,50.91,51.75,953700,51.75
2016-07-12,50.75,52.11,50.65,51.32,1790500,51.32
2016-07-11,48.22,49.58,48.22,49.58,951500,49.58
2016-07-08,47.81,48.36,47.17,48.06,550500,48.06
2016-07-07,47.01,47.99,47.00,47.65,983500,47.65
2016-07-06,46.49,46.72,45.61,46.65,930500,46.65
2016-07-05,46.63,46.92,45.96,46.73,401200,46.73
2016-07-04,47.83,47.83,46.66,46.87,349500,46.87
2016-07-01,46.85,47.64,46.54,47.35,544800,47.35
2016-06-30,45.60,47.30,45.01,46.71,791400,46.71
2016-06-29,44.28,45.69,43.91,45.41,560400,45.41
2016-06-28,44.35,45.07,43.18,43.80,518900,43.80
2016-06-27,45.03,45.31,43.50,43.87,562000,43.87
2016-06-24,43.50,45.22,43.50,45.22,574700,45.22
2016-06-23,44.60,46.07,44.55,45.87,564100,45.87
2016-06-22,45.89,46.02,44.45,44.60,820800,44.60
2016-06-21,45.39,45.90,44.11,45.66,832000,45.66
2016-06-20,44.95,47.23,44.87,45.28,1375600,45.28
2016-06-17,42.97,44.57,42.91,43.84,1027400,43.84
2016-06-16,43.06,43.16,41.60,42.63,672800,42.63
2016-06-15,42.64,44.03,42.54,43.00,1268400,43.00
2016-06-14,43.23,43.23,42.17,42.74,1096200,42.74
2016-06-13,43.02,43.24,41.92,43.24,686700,43.24
2016-06-10,43.15,43.84,42.92,43.35,558300,43.35
2016-06-09,43.00,43.88,42.65,43.53,329400,43.53
2016-06-08,42.73,43.90,42.03,43.00,993000,43.00
2016-06-07,41.91,43.00,41.45,42.62,616700,42.62
2016-06-06,42.60,42.94,41.70,41.94,494300,41.94
2016-06-03,41.77,42.35,41.51,42.22,462000,42.22
2016-06-02,41.15,41.66,40.69,41.44,499200,41.44
2016-06-01,40.53,41.04,40.20,40.93,514200,40.93
2016-05-31,40.77,40.77,39.95,40.45,1368800,40.45
2016-05-30,40.90,40.97,40.45,40.71,153300,40.71
2016-05-27,41.30,41.52,40.59,40.76,465700,40.76
2016-05-26,40.95,40.95,40.95,40.95,000,40.95
2016-05-25,41.70,42.19,40.91,40.95,519900,40.95
2016-05-24,41.15,42.51,40.79,41.71,711100,41.71
2016-05-23,40.74,40.88,39.98,40.88,667200,40.88
2016-05-20,42.30,42.44,40.86,41.00,514500,41.00
2016-05-19,41.70,41.95,41.17,41.70,896000,41.70
2016-05-18,42.70,42.71,41.82,41.98,672600,41.98
2016-05-17,42.51,43.31,42.05,42.68,694500,42.68
2016-05-16,43.98,44.64,42.41,42.50,825100,42.50
2016-05-13,45.20,45.51,43.90,44.19,2197400,44.19
2016-05-12,47.59,47.72,45.22,45.24,2155000,45.24
2016-05-11,48.90,48.90,45.53,47.00,2541800,47.00
2016-05-10,48.17,49.45,47.94,49.45,634000,49.45
2016-05-09,49.18,49.18,47.70,47.84,1096800,47.84
2016-05-06,49.97,50.19,48.21,49.21,628700,49.21
2016-05-05,51.00,51.00,48.92,49.82,701300,49.82
2016-05-04,51.45,51.45,50.03,50.74,1268300,50.74
2016-05-03,51.69,51.70,50.75,51.50,1071800,51.50
2016-05-02,50.62,51.82,50.30,51.76,711800,51.76
2016-04-29,50.42,50.70,49.47,50.61,1032900,50.61
2016-04-28,50.04,51.00,49.90,50.35,923300,50.35
2016-04-27,50.31,50.89,50.00,50.05,689300,50.0349
2016-04-26,49.00,50.15,48.66,50.15,654400,50.1349
2016-04-25,49.98,49.98,48.88,48.90,1235400,48.8853
2016-04-22,50.65,51.52,49.56,49.98,792100,49.9649
2016-04-21,50.80,50.80,50.80,50.80,000,50.7847
2016-04-20,51.30,51.81,50.63,50.80,847700,50.7847
2016-04-19,51.49,52.20,51.21,51.28,707600,51.2646
2016-04-18,51.96,51.97,50.76,51.03,529700,51.0146
2016-04-15,52.60,53.15,51.41,51.90,870100,51.8844
2016-04-14,51.98,52.41,51.22,52.36,1149400,52.3442
2016-04-13,48.10,52.72,48.01,51.07,1871500,51.0546
2016-04-12,48.00,48.12,46.63,47.64,2706000,47.6257
2016-04-11,47.88,48.65,47.04,47.40,2953300,47.3857
2016-04-08,48.28,49.21,47.37,47.37,2570200,47.3557
2016-04-07,48.35,48.59,47.22,47.34,1088000,47.3257
2016-04-06,49.31,49.56,47.11,47.59,978200,47.5757
2016-04-05,49.32,49.96,48.13,49.78,710900,49.765
2016-04-04,50.19,50.45,48.85,49.32,467700,49.3051
2016-04-01,49.64,51.11,48.66,50.62,1166200,50.6048
2016-03-31,51.20,51.20,49.65,49.85,1307400,49.835
2016-03-30,52.08,52.60,51.42,51.42,934800,51.4045
2016-03-29,51.51,52.10,51.12,51.80,1258500,51.7844
2016-03-28,51.30,51.86,50.35,50.98,730500,50.9646
2016-03-25,50.20,50.20,50.20,50.20,000,50.1849
2016-03-24,49.20,50.40,48.50,50.20,825700,50.1849
2016-03-23,50.78,50.80,49.20,49.47,729500,49.4551
2016-03-22,50.20,51.20,49.95,50.92,1215300,50.9047
2016-03-21,49.49,51.10,49.49,49.84,1079600,49.825
2016-03-18,47.80,49.26,47.36,49.26,2084900,49.2452
2016-03-17,47.99,48.93,47.23,47.40,3499700,47.3857
2016-03-16,46.54,47.34,46.08,46.83,1738600,46.8159
2016-03-15,47.00,47.32,45.38,46.87,1103700,46.8559
2016-03-14,47.99,48.47,47.13,48.01,1228400,47.9955
2016-03-11,47.46,47.79,46.81,47.54,896900,47.5257
2016-03-10,47.46,47.99,45.88,47.26,1952400,47.2458
2016-03-09,46.80,47.35,46.42,47.35,1812000,47.3357
2016-03-08,46.80,47.50,46.01,46.35,2218100,46.336
2016-03-07,46.00,47.00,45.98,46.80,2232900,46.7859
2016-03-04,45.60,48.14,45.02,45.97,3019900,45.9562
2016-03-03,42.51,44.95,42.25,44.00,3527800,43.9867
2016-03-02,42.07,42.33,41.29,42.12,2251000,42.1073
2016-03-01,42.26,42.70,41.48,41.90,2463700,41.8874
2016-02-29,41.81,42.47,41.20,41.58,1808800,41.5675
2016-02-26,40.40,41.99,40.40,41.00,1565400,40.9877
2016-02-25,40.20,41.64,40.00,40.00,1218800,39.988
2016-02-24,42.00,42.00,40.27,41.29,1004500,41.2776
2016-02-23,43.54,43.99,42.35,42.40,744700,42.3872
2016-02-22,43.46,43.85,42.97,43.62,948800,43.6069
2016-02-19,42.60,42.89,42.14,42.20,570000,42.1873
2016-02-18,43.62,43.62,41.80,42.60,1105800,42.5872
2016-02-17,43.00,44.41,42.81,43.62,1022000,43.6069
2016-02-16,41.92,43.47,41.60,42.64,1344500,42.6272
2016-02-15,42.50,42.50,41.35,41.35,426900,41.3375
2016-02-12,39.43,41.40,39.11,40.99,815200,40.9777
2016-02-11,39.29,39.73,38.40,39.24,842400,39.2282
2016-02-10,41.00,41.25,39.73,40.10,746900,40.0879
2016-02-09,41.48,41.48,41.48,41.48,000,41.4675
2016-02-08,41.48,41.48,41.48,41.48,000,41.4675
2016-02-05,40.41,42.16,40.41,41.48,1040800,41.4675
