Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,12.49,12.92,12.24,12.39,4853600,12.39
2017-01-23,12.11,12.47,12.03,12.41,3454100,12.41
2017-01-20,11.55,12.05,11.53,11.96,3395400,11.96
2017-01-19,12.04,12.04,11.49,11.72,4945700,11.72
2017-01-18,12.30,12.67,11.79,11.92,4683200,11.92
2017-01-17,12.25,12.43,11.70,12.20,5129600,12.20
2017-01-16,12.23,12.41,12.23,12.35,2094600,12.35
2017-01-13,12.29,12.48,12.09,12.22,3448500,12.22
2017-01-12,12.32,12.50,12.12,12.38,6275800,12.38
2017-01-11,11.80,12.01,11.61,11.85,4993300,11.85
2017-01-10,11.64,11.85,11.58,11.70,3318400,11.70
2017-01-09,11.43,11.75,11.40,11.45,4969600,11.45
2017-01-06,11.71,11.74,11.22,11.28,4090800,11.28
2017-01-05,11.45,11.88,11.36,11.70,4523400,11.70
2017-01-04,11.35,11.55,11.14,11.31,5117300,11.31
2017-01-03,11.07,11.42,10.91,11.42,6602900,11.42
2017-01-02,10.70,10.94,10.61,10.86,1127100,10.86
2016-12-30,10.85,10.85,10.85,10.85,000,10.85
2016-12-29,10.85,10.93,10.52,10.85,3189900,10.85
2016-12-28,10.90,11.06,10.71,10.82,3868700,10.82
2016-12-27,10.27,10.75,10.27,10.73,3986800,10.73
2016-12-26,9.95,10.25,9.95,10.16,1091500,10.16
2016-12-23,9.65,9.95,9.63,9.95,3518900,9.95
2016-12-22,9.77,9.82,9.41,9.60,3419600,9.60
2016-12-21,9.95,10.05,9.69,9.83,4178300,9.83
2016-12-20,10.30,10.38,9.83,9.88,4643900,9.88
2016-12-19,10.75,10.84,10.09,10.09,4970200,10.09
2016-12-16,10.97,11.22,10.72,10.72,6860700,10.72
2016-12-15,10.61,11.05,10.51,10.93,4802300,10.93
2016-12-14,10.78,10.94,10.52,10.61,7137500,10.61
2016-12-13,11.00,11.27,10.66,10.96,4793500,10.96
2016-12-12,11.14,11.25,10.73,11.04,5229600,11.04
2016-12-09,11.70,11.81,11.15,11.30,5361700,11.30
2016-12-08,12.24,12.24,11.53,11.65,4680800,11.65
2016-12-07,12.22,12.30,12.01,12.03,4399000,12.03
2016-12-06,11.75,12.15,11.50,11.99,4533200,11.99
2016-12-05,12.20,12.20,11.67,11.84,5136600,11.84
2016-12-02,11.35,12.05,10.91,11.91,8190000,11.91
2016-12-01,12.45,12.59,11.35,11.66,9519300,11.66
2016-11-30,12.73,12.97,12.28,12.43,7690400,12.43
2016-11-29,13.16,13.25,12.57,12.73,5571500,12.73
2016-11-28,12.93,13.42,12.82,13.34,4191800,13.34
2016-11-25,12.40,12.94,12.38,12.89,4981500,12.89
2016-11-24,12.73,12.91,12.41,12.57,3813800,12.57
2016-11-23,12.06,12.80,11.92,12.79,9359200,12.79
2016-11-22,11.80,12.37,11.72,11.99,7847100,11.99
2016-11-21,10.90,11.46,10.90,11.46,6928200,11.46
2016-11-18,10.49,10.98,10.35,10.86,5724600,10.86
2016-11-17,10.60,10.82,10.39,10.57,4639100,10.57
2016-11-16,10.71,10.86,10.28,10.50,8248600,10.50
2016-11-15,10.96,10.96,10.96,10.96,000,10.96
2016-11-14,10.41,11.05,9.92,10.96,11332200,10.96
2016-11-11,11.40,11.49,10.27,10.42,8920900,10.42
2016-11-10,11.10,11.66,11.03,11.25,12942800,11.25
2016-11-09,10.00,11.09,9.83,10.84,11297100,10.84
2016-11-08,10.16,10.64,10.06,10.55,5799800,10.55
2016-11-07,10.03,10.32,9.99,10.31,4634100,10.31
2016-11-04,9.69,9.99,9.43,9.66,5540700,9.66
2016-11-03,10.10,10.19,9.67,9.72,7293400,9.72
2016-11-02,10.24,10.24,10.24,10.24,000,10.24
2016-11-01,10.90,10.92,10.05,10.24,7624100,10.24
2016-10-31,10.95,11.07,10.60,10.74,7237800,10.74
2016-10-28,10.85,11.12,10.77,10.84,5083300,10.84
2016-10-27,10.65,10.88,10.63,10.82,4588000,10.82
2016-10-26,10.58,10.72,10.36,10.57,7561900,10.57
2016-10-25,10.60,10.85,10.20,10.69,9326800,10.69
2016-10-24,10.40,10.62,10.30,10.42,8071700,10.42
2016-10-21,10.19,10.40,9.96,10.20,16145300,10.20
2016-10-20,10.19,10.35,10.00,10.19,6319700,10.19
2016-10-19,10.65,10.76,10.22,10.32,6973400,10.32
2016-10-18,10.37,10.68,10.37,10.61,5550100,10.61
2016-10-17,10.29,10.38,10.17,10.30,4896300,10.30
2016-10-14,10.02,10.29,10.00,10.22,5136900,10.22
2016-10-13,10.05,10.05,9.73,9.88,8210300,9.88
2016-10-12,10.20,10.20,10.20,10.20,000,10.20
2016-10-11,10.10,10.31,10.07,10.20,7160700,10.20
2016-10-10,10.04,10.24,10.03,10.20,4672800,10.20
2016-10-07,9.96,10.14,9.89,9.95,7606800,9.95
2016-10-06,9.60,9.95,9.57,9.83,5804600,9.83
2016-10-05,9.54,9.78,9.50,9.66,6627500,9.66
2016-10-04,9.51,9.70,9.26,9.42,10811200,9.42
2016-10-03,9.09,9.59,9.09,9.51,8419300,9.51
2016-09-30,9.12,9.27,8.94,9.09,5968300,9.09
2016-09-29,9.35,9.48,8.91,9.06,7693700,9.06
2016-09-28,8.68,9.45,8.67,9.30,9752900,9.30
2016-09-27,8.75,8.82,8.41,8.61,5731500,8.61
2016-09-26,8.60,8.88,8.54,8.67,5196700,8.67
2016-09-23,8.92,8.99,8.65,8.71,6889100,8.71
2016-09-22,8.98,9.13,8.86,8.90,7525400,8.90
