Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,32.11,32.80,32.03,32.61,1068200,32.61
2017-01-23,32.25,32.27,31.80,32.00,1408600,32.00
2017-01-20,31.91,32.27,31.67,32.01,2753000,32.01
2017-01-19,31.42,31.90,31.12,31.75,2647900,31.75
2017-01-18,31.70,31.95,31.27,31.28,1506500,31.28
2017-01-17,30.81,31.80,30.63,31.70,1831000,31.70
2017-01-16,30.88,30.96,30.59,30.81,468600,30.81
2017-01-13,31.30,31.30,30.48,30.86,975300,30.86
2017-01-12,30.38,31.40,30.01,31.14,2178500,31.14
2017-01-11,29.10,29.78,28.90,29.42,1129300,29.42
2017-01-10,29.49,29.55,28.85,29.25,1284200,29.25
2017-01-09,29.45,29.96,29.08,29.31,998700,29.31
2017-01-06,29.61,29.66,28.85,29.18,828700,29.18
2017-01-05,29.72,29.87,29.17,29.61,1281100,29.61
2017-01-04,28.46,29.74,28.46,29.53,1305700,29.53
2017-01-03,28.67,28.85,28.39,28.70,1317900,28.70
2017-01-02,28.45,28.66,27.27,28.37,536100,28.37
2016-12-30,28.79,28.79,28.79,28.79,000,28.79
2016-12-29,28.06,28.85,27.73,28.79,1106500,28.79
2016-12-28,27.35,28.19,27.31,28.06,539100,28.06
2016-12-27,28.25,28.25,27.12,27.56,702700,27.56
2016-12-26,27.58,27.97,27.12,27.97,190200,27.97
2016-12-23,27.43,27.70,26.86,27.43,849600,27.43
2016-12-22,26.60,27.35,26.26,27.35,908900,27.35
2016-12-21,26.60,26.60,26.60,26.60,1268000,26.60
2016-12-20,27.14,27.33,26.21,26.58,1039700,26.58
2016-12-19,27.84,27.84,26.91,26.91,1541700,26.91
2016-12-16,27.90,28.47,27.47,27.84,2134400,27.84
2016-12-15,27.47,27.76,27.16,27.66,1584700,27.66
2016-12-14,28.39,28.43,27.69,27.70,1649000,27.70
2016-12-13,27.55,28.31,27.23,28.31,1103500,28.31
2016-12-12,27.30,27.88,27.23,27.69,2853200,27.69
2016-12-09,27.82,28.23,27.25,27.70,1490000,27.70
2016-12-08,28.26,28.51,27.43,27.68,1585100,27.68
2016-12-07,28.60,28.66,27.77,27.87,2623800,27.87
2016-12-06,28.42,28.70,27.88,28.29,1234000,28.29
2016-12-05,28.86,28.99,27.71,28.42,1307800,28.42
2016-12-02,28.00,29.15,27.34,28.78,2220700,28.78
2016-12-01,28.98,29.29,28.08,28.20,2201000,28.20
2016-11-30,29.75,30.61,29.75,29.96,2341300,29.96
2016-11-29,30.30,30.66,29.60,29.60,1427900,29.60
2016-11-28,29.66,30.58,29.38,30.50,916800,30.50
2016-11-25,29.10,29.74,28.61,29.64,674000,29.64
2016-11-24,29.71,29.86,29.47,29.71,302900,29.71
2016-11-23,29.90,29.99,29.24,29.68,782500,29.68
2016-11-22,30.11,30.20,29.03,30.03,4095800,30.03
2016-11-21,28.42,29.74,28.41,29.53,1841900,29.53
2016-11-18,28.45,28.60,27.76,28.42,1974500,28.42
2016-11-17,29.45,29.46,28.33,28.45,1915600,28.45
2016-11-16,27.99,29.24,27.46,29.24,6142300,29.24
2016-11-15,27.50,27.50,27.50,27.50,000,27.50
2016-11-14,27.16,28.16,26.27,27.50,3821900,27.50
2016-11-11,29.55,29.79,26.69,27.11,7751200,27.11
2016-11-10,32.70,32.82,29.71,30.25,3775900,30.25
2016-11-09,32.12,32.68,31.70,32.43,1792900,32.43
2016-11-08,33.01,33.50,32.89,33.25,1255500,33.25
2016-11-07,32.40,33.42,32.39,33.24,941600,33.24
2016-11-04,32.40,33.03,32.10,32.34,1198800,32.34
2016-11-03,32.96,33.04,32.12,32.23,1918400,32.23
2016-11-02,32.75,32.75,32.75,32.75,000,32.75
2016-11-01,34.00,34.00,32.70,32.75,1414300,32.75
2016-10-31,32.88,33.82,32.87,33.70,1690200,33.70
2016-10-28,32.75,33.20,32.55,32.87,1620600,32.87
2016-10-27,32.89,33.04,32.58,32.75,1690800,32.75
2016-10-26,32.13,33.12,31.94,32.59,2619500,32.59
2016-10-25,31.92,32.38,31.42,32.29,836200,32.29
2016-10-24,32.30,32.30,31.61,31.90,918400,31.90
