Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,40.32,41.07,40.12,40.82,1276300,40.82
2017-01-23,40.38,40.54,39.66,40.32,685000,40.32
2017-01-20,39.75,40.41,39.51,40.27,795100,40.27
2017-01-19,39.32,39.61,38.89,39.58,669400,39.58
2017-01-18,39.86,40.00,38.64,39.22,730500,39.22
2017-01-17,38.23,39.84,38.23,39.74,1105600,39.74
2017-01-16,38.50,38.87,38.20,38.36,389300,38.36
2017-01-13,38.50,38.80,38.18,38.62,1096000,38.62
2017-01-12,38.80,39.23,38.10,38.54,848900,38.54
2017-01-11,37.90,37.96,36.85,37.96,910300,37.96
2017-01-10,38.65,39.03,37.56,37.58,842400,37.58
2017-01-09,37.95,38.70,37.60,38.51,594900,38.51
2017-01-06,38.40,38.73,37.84,37.93,755300,37.93
2017-01-05,38.86,39.68,37.73,38.83,1308300,38.83
2017-01-04,38.69,38.98,38.38,38.90,612300,38.90
2017-01-03,37.40,39.28,37.40,38.88,878800,38.88
2017-01-02,37.62,37.86,36.97,37.15,520200,37.15
2016-12-30,38.15,38.15,38.15,38.15,000,38.15
2016-12-29,37.71,38.17,37.04,38.15,729400,38.15
2016-12-28,35.67,38.15,35.01,37.76,1160600,37.76
2016-12-27,36.88,37.06,35.64,35.71,943000,35.71
2016-12-26,37.08,37.08,36.45,36.50,308500,36.50
2016-12-23,37.21,37.25,36.84,36.89,191800,36.89
2016-12-22,36.52,37.24,36.17,37.12,532100,37.12
2016-12-21,36.52,36.52,36.52,36.52,350300,36.52
2016-12-20,36.68,36.86,35.90,36.35,550800,36.35
2016-12-19,37.17,37.60,36.15,36.15,609100,36.15
2016-12-16,37.49,37.76,36.38,37.15,793800,37.15
2016-12-15,36.45,37.56,35.61,37.23,827800,37.23
2016-12-14,37.05,37.91,36.46,36.46,932600,36.46
2016-12-13,37.20,37.69,36.70,37.15,884700,37.15
2016-12-12,38.11,38.52,37.92,38.18,500400,37.44338
2016-12-09,38.64,38.99,37.82,38.76,623000,38.01219
2016-12-08,39.45,39.78,37.53,38.30,1051100,37.56106
2016-12-07,39.50,39.72,37.92,38.90,954500,37.42708
2016-12-06,37.00,39.11,36.79,39.01,939400,37.53291
2016-12-05,38.30,38.45,36.56,37.00,1553100,35.59902
2016-12-02,37.68,38.77,36.31,38.19,933600,36.74396
2016-12-01,38.99,39.41,37.62,38.13,1580400,36.68623
2016-11-30,38.66,39.97,38.61,39.48,1307000,37.98512
2016-11-29,38.50,38.50,37.80,38.19,666900,36.74396
2016-11-28,38.45,38.83,37.63,38.50,786700,37.04222
2016-11-25,37.57,38.90,37.25,38.45,1161100,36.99412
2016-11-24,37.82,38.25,37.11,37.92,534400,36.48418
2016-11-23,38.00,38.39,36.62,37.52,1058900,36.09933
2016-11-22,38.42,38.63,37.39,38.05,1549500,36.60926
2016-11-21,37.04,38.82,36.08,37.67,1444000,36.24365
2016-11-18,35.50,38.10,35.17,36.95,1388300,35.55091
2016-11-17,37.54,37.54,35.50,35.50,1379600,34.15582
2016-11-16,38.03,38.58,36.60,37.00,2469800,35.59902
2016-11-15,38.00,38.00,38.00,38.00,000,36.56116
2016-11-14,36.90,38.30,35.98,38.00,1455700,36.56116
2016-11-11,39.99,40.28,36.75,37.00,2602600,35.59902
2016-11-10,42.40,42.51,38.16,40.70,1633100,39.15892
2016-11-09,41.65,42.78,40.76,42.20,1271800,40.60213
2016-11-08,42.21,43.29,42.16,43.25,520300,41.61237
2016-11-07,41.19,42.59,41.19,42.54,477700,40.92925
