Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,12.55,12.73,12.30,12.45,2664700,12.45
2017-01-23,12.42,12.58,12.13,12.50,1410800,12.50
2017-01-20,12.11,12.45,11.91,12.30,2210900,12.30
2017-01-19,12.02,12.37,11.88,12.01,3097000,12.01
2017-01-18,13.25,13.39,11.94,12.11,5054000,12.11
2017-01-17,12.37,12.90,12.37,12.80,1492300,12.80
2017-01-16,12.11,12.58,12.05,12.36,1881500,12.36
2017-01-13,12.12,12.20,11.99,12.11,2142700,12.11
2017-01-12,12.00,12.43,12.00,12.05,7680300,12.05
2017-01-11,11.67,11.86,11.40,11.70,2262900,11.70
2017-01-10,11.70,11.87,11.58,11.58,1242200,11.58
2017-01-09,11.34,11.91,11.31,11.75,2555700,11.75
2017-01-06,11.36,11.50,11.22,11.34,2099600,11.34
2017-01-05,11.64,11.65,11.16,11.41,3998600,11.41
2017-01-04,11.00,11.84,10.97,11.56,4718600,11.56
2017-01-03,10.29,11.22,10.29,11.15,3294900,11.15
2017-01-02,10.15,10.46,10.08,10.28,1133200,10.28
2016-12-30,10.27,10.27,10.27,10.27,000,10.27
2016-12-29,10.35,10.44,10.25,10.27,1916900,10.27
2016-12-28,10.00,10.33,10.00,10.32,1490800,10.32
2016-12-27,10.03,10.09,9.92,10.02,817600,10.02
2016-12-26,9.99,10.11,9.93,9.93,358200,9.93
2016-12-23,9.80,10.17,9.69,9.97,1635300,9.97
2016-12-22,9.60,9.85,9.55,9.78,915900,9.78
2016-12-21,9.60,9.60,9.60,9.60,3017200,9.60
2016-12-20,9.77,9.89,9.66,9.72,2883800,9.72
2016-12-19,9.74,9.88,9.62,9.74,3112300,9.74
2016-12-16,9.58,9.84,9.55,9.74,2054900,9.74
2016-12-15,9.60,9.71,9.44,9.58,1259700,9.58
2016-12-14,9.64,9.82,9.52,9.66,1853900,9.66
2016-12-13,9.35,9.73,9.32,9.68,2188000,9.68
2016-12-12,9.33,9.54,9.31,9.41,3318400,9.41
2016-12-09,9.54,9.63,9.35,9.49,3449300,9.49
2016-12-08,10.04,10.04,9.34,9.54,3306500,9.54
2016-12-07,9.68,10.04,9.68,9.89,4573300,9.89
2016-12-06,9.26,9.73,8.87,9.64,3441000,9.64
2016-12-05,9.42,9.43,9.22,9.30,2382300,9.30
2016-12-02,8.78,9.42,8.77,9.42,3803400,9.42
2016-12-01,9.18,9.18,8.87,8.93,2792500,8.93
2016-11-30,9.06,9.33,9.00,9.33,2688800,9.33
2016-11-29,8.92,9.08,8.90,8.92,2705600,8.92
2016-11-28,9.06,9.07,8.88,8.92,1866600,8.92
2016-11-25,8.80,9.06,8.77,9.03,2571200,9.03
2016-11-24,8.68,9.03,8.68,8.92,1016100,8.92
2016-11-23,8.81,8.85,8.63,8.65,5534400,8.65
2016-11-22,9.13,9.17,8.80,8.80,5161800,8.80
2016-11-21,8.78,9.06,8.59,9.06,3769300,9.06
2016-11-18,9.12,9.19,8.72,8.76,4964900,8.76
2016-11-17,9.28,9.41,9.09,9.17,3056800,9.17
2016-11-16,9.09,9.23,8.90,9.15,2751600,9.15
2016-11-15,9.00,9.00,9.00,9.00,000,9.00
2016-11-14,9.13,9.36,8.71,9.00,4298200,9.00
2016-11-11,9.97,9.97,9.03,9.22,7876200,9.22
2016-11-10,10.85,10.85,9.94,10.00,9625400,10.00
2016-11-09,10.70,10.88,10.46,10.88,2687600,10.88
2016-11-08,10.79,11.03,10.59,10.93,2400300,10.93
2016-11-07,10.35,10.80,10.35,10.80,3376400,10.80
2016-11-04,10.36,10.42,10.18,10.33,2185800,10.33
2016-11-03,10.63,10.70,10.29,10.30,3594700,10.30
2016-11-02,10.64,10.64,10.64,10.64,000,10.64
2016-11-01,10.76,10.82,10.42,10.64,2144600,10.64
2016-10-31,10.84,10.94,10.67,10.75,5516300,10.75
2016-10-28,10.83,11.05,10.78,10.92,2288100,10.92
