Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,13.77,13.85,13.62,13.75,1070200,13.75
2017-01-23,13.64,13.89,13.62,13.69,1535900,13.69
2017-01-20,13.75,13.93,13.48,13.71,1785200,13.71
2017-01-19,13.49,13.82,13.39,13.65,2149900,13.65
2017-01-18,13.44,13.53,13.40,13.41,1231700,13.41
2017-01-17,13.42,13.49,13.32,13.36,1887100,13.36
2017-01-16,13.35,13.45,13.27,13.42,655900,13.42
2017-01-13,13.58,13.86,13.26,13.35,1303200,13.35
2017-01-12,13.40,13.73,13.36,13.53,1686800,13.53
2017-01-11,13.36,13.37,13.16,13.22,1537100,13.22
2017-01-10,13.22,13.39,13.14,13.30,1878900,13.30
2017-01-09,13.22,13.39,13.18,13.19,1160800,13.19
2017-01-06,13.50,13.52,13.03,13.15,2102000,13.15
2017-01-05,13.52,13.68,13.40,13.50,1248900,13.50
2017-01-04,13.32,13.64,13.32,13.53,1667800,13.53
2017-01-03,13.45,13.57,13.34,13.45,1660200,13.45
2017-01-02,13.37,13.46,13.12,13.40,301100,13.40
2016-12-30,13.40,13.40,13.40,13.40,000,13.40
2016-12-29,13.44,13.54,13.30,13.40,1321600,13.40
2016-12-28,13.60,13.95,13.60,13.86,912400,13.31553
2016-12-27,13.59,13.65,13.51,13.58,570800,13.04653
2016-12-26,13.46,13.65,13.43,13.43,1521700,12.90242
2016-12-23,13.54,13.54,13.40,13.41,1695200,12.88321
2016-12-22,13.10,13.53,13.00,13.50,1339100,12.96967
2016-12-21,13.10,13.10,13.10,13.10,1571700,12.58538
2016-12-20,13.22,13.27,12.98,13.05,1045600,12.53735
2016-12-19,13.24,13.31,13.08,13.20,1012600,12.68146
2016-12-16,13.35,13.41,13.20,13.20,1564200,12.68146
2016-12-15,13.07,13.34,13.05,13.23,2516900,12.71028
2016-12-14,13.31,13.36,13.06,13.06,1810200,12.54696
2016-12-13,13.14,13.52,13.12,13.31,2772700,12.78714
2016-12-12,13.43,13.52,13.06,13.27,1966800,12.74871
2016-12-09,13.95,13.99,13.45,13.53,1665200,12.99849
2016-12-08,13.85,13.98,13.56,13.88,2125400,13.33474
2016-12-07,13.63,13.96,13.50,13.71,1850900,13.17142
2016-12-06,13.33,13.65,13.32,13.57,1749100,13.03692
2016-12-05,13.75,13.88,13.33,13.46,1939500,12.93124
2016-12-02,13.50,13.91,13.31,13.69,1799200,13.15221
2016-12-01,13.97,14.15,13.51,13.65,2101500,13.11378
2016-11-30,14.49,14.49,13.92,14.18,2579200,13.62296
2016-11-29,14.26,14.41,14.18,14.28,1504200,13.71903
2016-11-28,14.06,14.40,14.06,14.40,908800,13.83432
2016-11-25,13.94,14.20,13.94,14.20,1592200,13.64217
2016-11-24,14.03,14.21,14.02,14.15,329300,13.59414
2016-11-23,14.23,14.23,13.99,14.07,1465200,13.51728
2016-11-22,14.38,14.38,14.01,14.20,1988900,13.64217
2016-11-21,14.00,14.40,13.99,14.25,2466700,13.69021
2016-11-18,13.94,14.27,13.90,14.01,1368000,13.45964
2016-11-17,14.42,14.47,14.06,14.09,1804300,13.53649
2016-11-16,13.98,14.51,13.82,14.35,3111900,13.78628
2016-11-15,13.77,13.77,13.77,13.77,000,13.22906
2016-11-14,13.69,14.11,13.47,13.77,3136200,13.22906
2016-11-11,14.23,14.29,13.59,13.85,4227700,13.30592
2016-11-10,15.06,15.09,14.24,14.26,3772800,13.69982
2016-11-09,14.75,15.09,14.62,15.05,2801500,14.45878
2016-11-08,14.97,15.69,14.94,15.50,1943700,14.8911
2016-11-07,15.11,15.39,15.05,15.13,1832200,14.53564
2016-11-04,15.16,15.43,14.84,15.00,3466200,14.41075
2016-11-03,15.35,15.59,14.93,15.09,3631300,14.49721
2016-11-02,15.35,15.35,15.35,15.35,000,14.747
