Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,8.66,8.84,8.51,8.70,2577300,8.70
2017-01-23,8.53,8.68,8.34,8.60,1728200,8.60
2017-01-20,8.35,8.50,8.13,8.44,3459200,8.44
2017-01-19,8.60,8.73,8.26,8.35,3997500,8.35
2017-01-18,8.89,8.94,8.55,8.55,3178000,8.55
2017-01-17,8.82,8.99,8.75,8.92,3661200,8.92
2017-01-16,8.83,8.87,8.68,8.81,2311300,8.81
2017-01-13,8.74,9.06,8.74,8.83,3748900,8.83
2017-01-12,8.62,8.99,8.62,8.83,6575900,8.83
2017-01-11,8.45,8.53,8.18,8.34,2227700,8.34
2017-01-10,8.54,8.62,8.38,8.42,3650500,8.42
2017-01-09,8.32,8.54,8.26,8.50,2531700,8.50
2017-01-06,8.48,8.50,8.24,8.35,2803700,8.35
2017-01-05,8.58,8.69,8.46,8.50,2200000,8.50
2017-01-04,8.45,8.70,8.44,8.58,2662900,8.58
2017-01-03,8.21,8.59,8.21,8.51,2578300,8.51
2017-01-02,8.24,8.25,7.97,8.14,1202400,8.14
2016-12-30,8.24,8.24,8.24,8.24,000,8.24
2016-12-29,8.02,8.25,7.95,8.24,2212300,8.24
2016-12-28,7.84,8.06,7.83,7.97,1164100,7.97
2016-12-27,7.92,8.07,7.80,7.80,2472200,7.80
2016-12-26,7.84,7.96,7.80,7.84,965300,7.84
2016-12-23,7.70,7.91,7.60,7.76,1687900,7.76
2016-12-22,7.46,7.73,7.34,7.70,2297300,7.70
2016-12-21,7.46,7.46,7.46,7.46,1846900,7.46
2016-12-20,7.25,7.30,7.11,7.24,1408700,7.24
2016-12-19,7.37,7.37,7.09,7.22,2487900,7.22
2016-12-16,7.23,7.50,7.13,7.37,2235800,7.37
2016-12-15,7.26,7.26,7.07,7.20,2558900,7.20
2016-12-14,7.47,7.53,7.25,7.28,2196200,7.28
2016-12-13,7.32,7.54,7.30,7.50,2484000,7.50
2016-12-12,7.50,7.50,7.24,7.41,2907100,7.41
2016-12-09,7.28,7.65,7.28,7.50,3408200,7.50
2016-12-08,7.50,7.53,7.20,7.24,1634600,7.24
2016-12-07,7.17,7.49,7.15,7.42,6624700,7.42
2016-12-06,7.09,7.22,7.03,7.14,2557700,7.14
2016-12-05,7.15,7.28,7.10,7.12,4287700,7.12
2016-12-02,7.16,7.42,7.01,7.06,6579000,7.06
2016-12-01,7.80,7.82,7.24,7.29,5207000,7.29
2016-11-30,8.00,8.02,7.65,7.90,2950000,7.90
2016-11-29,7.91,7.95,7.75,7.90,2349800,7.90
2016-11-28,7.85,7.99,7.73,7.93,2444100,7.93
2016-11-25,7.75,7.89,7.70,7.81,1322100,7.81
2016-11-24,7.82,7.87,7.71,7.80,1166900,7.80
2016-11-23,7.99,7.99,7.71,7.79,2531100,7.79
2016-11-22,7.96,8.21,7.94,7.98,5178300,7.98
2016-11-21,7.81,7.91,7.66,7.88,3976700,7.88
2016-11-18,7.89,8.00,7.66,7.78,2592100,7.78
2016-11-17,8.09,8.27,7.79,7.89,3658800,7.89
2016-11-16,7.52,8.13,7.50,8.09,4767100,8.09
2016-11-15,7.50,7.50,7.50,7.50,000,7.50
2016-11-14,8.00,8.10,7.48,7.50,7173000,7.50
2016-11-11,8.38,8.38,7.55,8.15,7758600,8.15
2016-11-10,9.25,9.30,8.26,8.40,5444800,8.40
2016-11-09,8.96,9.41,8.80,9.21,2734300,8.95
2016-11-08,9.31,9.49,9.31,9.39,1833700,9.12
2016-11-07,9.22,9.43,9.20,9.40,1814100,9.13
2016-11-04,9.15,9.39,8.91,9.04,3411600,8.78
2016-11-03,9.14,9.27,9.04,9.10,3429300,8.84
2016-11-02,9.15,9.15,9.15,9.15,000,8.89
2016-11-01,9.45,9.54,9.01,9.15,5043800,8.89
2016-10-31,9.44,9.48,9.30,9.47,4682100,9.20
2016-10-28,9.55,9.67,9.41,9.42,2712500,9.15
2016-10-27,9.53,9.70,9.48,9.55,2688200,9.28
2016-10-26,9.45,9.60,9.24,9.51,3125300,9.24
2016-10-25,9.40,9.53,9.32,9.45,2958600,9.18
2016-10-24,9.16,9.49,9.13,9.37,4070200,9.10
