Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,18.21,18.78,18.12,18.68,2989900,18.68
2017-01-23,17.91,18.45,17.91,18.21,2194100,18.21
2017-01-20,17.65,18.08,17.56,18.00,2229500,18.00
2017-01-19,17.66,17.79,17.22,17.65,1824500,17.65
2017-01-18,17.58,17.71,17.41,17.60,2445700,17.60
2017-01-17,17.11,17.65,16.96,17.49,2581800,17.49
2017-01-16,16.98,17.12,16.86,17.10,1103500,17.10
2017-01-13,16.50,16.97,16.50,16.80,2287200,16.80
2017-01-12,16.72,16.85,16.41,16.49,3042400,16.49
2017-01-11,16.48,16.77,16.40,16.75,1559300,16.75
2017-01-10,16.62,16.89,16.28,16.45,1658900,16.45
2017-01-09,16.59,16.70,16.33,16.62,1279700,16.62
2017-01-06,16.50,16.58,16.31,16.58,1040200,16.58
2017-01-05,16.18,16.50,16.09,16.50,1358500,16.50
2017-01-04,16.20,16.39,16.07,16.17,1351000,16.17
2017-01-03,16.00,16.36,16.00,16.36,2032500,16.36
2017-01-02,15.90,16.00,15.84,16.00,563200,16.00
2016-12-30,16.00,16.00,16.00,16.00,000,16.00
2016-12-29,15.69,16.00,15.63,16.00,1724900,16.00
2016-12-28,15.61,15.83,15.59,15.69,1233300,15.69
2016-12-27,15.58,15.68,15.33,15.61,1250200,15.61
2016-12-26,15.40,15.62,15.36,15.45,571100,15.45
2016-12-23,15.28,15.43,15.11,15.30,1143200,15.30
2016-12-22,15.29,15.39,15.16,15.26,1890600,15.26
2016-12-21,15.29,15.29,15.29,15.29,3550600,15.29
2016-12-20,15.30,15.30,14.81,14.95,1753600,14.95
2016-12-19,15.45,15.60,15.05,15.20,1830800,15.20
2016-12-16,15.01,15.73,15.01,15.52,3945900,15.52
2016-12-15,15.44,15.62,14.90,15.00,3801100,15.00
2016-12-14,15.47,15.65,15.30,15.43,2876000,15.43
2016-12-13,15.47,15.62,15.25,15.48,3391100,15.48
2016-12-12,15.93,16.00,15.36,15.59,2981400,15.59
2016-12-09,16.30,16.37,15.74,16.04,3695600,16.04
2016-12-08,17.10,17.15,16.10,16.20,3251700,16.20
2016-12-07,16.52,16.96,16.10,16.96,8337800,16.96
2016-12-06,16.78,17.08,16.43,16.50,4314800,16.50
2016-12-05,17.00,17.19,16.74,16.86,1621000,16.86
2016-12-02,16.81,17.06,16.45,17.00,2836200,17.00
2016-12-01,16.62,17.23,16.36,16.92,5235000,16.92
2016-11-30,16.66,16.93,16.57,16.57,3170700,16.57
2016-11-29,16.71,16.89,16.42,16.49,1439300,16.49
2016-11-28,16.90,16.90,16.53,16.80,1564000,16.80
2016-11-25,16.66,17.10,16.64,16.90,1741800,16.90
2016-11-24,16.79,16.79,16.51,16.62,861100,16.62
2016-11-23,16.43,16.87,16.40,16.79,3393100,16.79
2016-11-22,16.95,16.95,16.06,16.35,6773800,16.35
2016-11-21,17.60,17.65,16.99,16.99,3437000,16.99
2016-11-18,18.00,18.09,17.51,17.51,1697900,17.51
2016-11-17,17.76,18.05,17.45,17.93,2463700,17.93
2016-11-16,18.20,18.24,17.35,17.76,3830500,17.76
