Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,9.06,9.19,9.03,9.13,8179500,9.13
2017-01-23,8.66,9.05,8.66,9.05,7032800,9.05
2017-01-20,8.63,8.80,8.55,8.62,4549400,8.62
2017-01-19,8.70,8.79,8.51,8.63,6722100,8.63
2017-01-18,8.86,9.05,8.66,8.70,7359100,8.70
2017-01-17,8.65,8.95,8.57,8.84,6872900,8.84
2017-01-16,8.58,8.69,8.49,8.58,2132800,8.58
2017-01-13,8.57,8.74,8.36,8.55,7784200,8.55
2017-01-12,8.01,8.68,7.99,8.64,18301100,8.64
2017-01-11,7.50,7.71,7.40,7.71,5808300,7.71
2017-01-10,7.65,7.67,7.43,7.45,4045900,7.45
2017-01-09,7.42,7.63,7.42,7.56,4132900,7.56
2017-01-06,7.56,7.57,7.40,7.45,3106100,7.45
2017-01-05,7.69,7.74,7.51,7.55,4891200,7.55
2017-01-04,7.89,7.90,7.62,7.67,6690000,7.67
2017-01-03,7.80,7.99,7.76,7.89,5926200,7.89
2017-01-02,7.69,7.80,7.57,7.72,1766300,7.72
2016-12-30,7.71,7.71,7.71,7.71,000,7.71
2016-12-29,7.53,7.74,7.52,7.71,4518200,7.71
2016-12-28,7.38,7.61,7.38,7.51,3837700,7.51
2016-12-27,7.29,7.38,7.22,7.38,4336400,7.38
2016-12-26,7.54,7.67,7.40,7.40,3935600,7.098
2016-12-23,7.50,7.65,7.43,7.52,2964600,7.2131
2016-12-22,7.28,7.43,7.24,7.41,4803300,7.1076
2016-12-21,7.28,7.28,7.28,7.28,3927900,6.8381
2016-12-20,7.49,7.54,7.29,7.43,4233600,6.979
2016-12-19,7.18,7.65,7.18,7.40,5585600,6.9508
2016-12-16,7.29,7.36,7.17,7.17,3583200,6.7347
2016-12-15,7.11,7.27,7.06,7.23,3697600,6.7911
2016-12-14,7.43,7.45,7.16,7.16,5613000,6.7253
2016-12-13,7.17,7.44,7.11,7.41,5215800,6.9602
2016-12-12,7.28,7.28,7.14,7.21,3581900,6.7723
2016-12-09,7.36,7.42,7.30,7.31,6067000,6.8662
2016-12-08,7.57,7.69,7.31,7.31,9838100,6.8662
2016-12-07,7.45,7.52,7.36,7.49,5305300,7.0353
2016-12-06,7.44,7.51,7.27,7.38,7028900,6.932
2016-12-05,7.60,7.70,7.45,7.47,3931500,7.0165
2016-12-02,7.35,7.59,7.15,7.58,5740900,7.1198
2016-12-01,7.80,7.85,7.33,7.40,6851000,6.9508
2016-11-30,8.16,8.18,7.90,7.90,6851400,7.4204
2016-11-29,8.20,8.29,8.02,8.02,3482900,7.5331
2016-11-28,8.03,8.24,7.99,8.23,3110000,7.7304
2016-11-25,8.05,8.12,7.93,8.01,3697000,7.5237
2016-11-24,8.32,8.34,8.13,8.16,1290700,7.6646
2016-11-23,8.09,8.27,8.06,8.25,3155200,7.7492
2016-11-22,8.20,8.40,8.10,8.16,7284200,7.6646
2016-11-21,8.09,8.23,8.00,8.13,4200600,7.6365
2016-11-18,8.05,8.14,7.80,8.05,5031100,7.5613
2016-11-17,8.30,8.41,8.01,8.01,5529900,7.5237
2016-11-16,8.43,8.55,8.16,8.18,8626500,7.6834
2016-11-15,8.19,8.19,8.19,8.19,000,7.6928
2016-11-14,8.00,8.47,7.96,8.19,11629700,7.6928
2016-11-11,8.11,8.17,7.37,7.92,15730300,7.4392
2016-11-10,9.15,9.19,8.25,8.25,11462000,7.7492
2016-11-09,8.94,9.30,8.90,9.05,9293800,8.5006
2016-11-08,9.45,9.55,9.22,9.38,4772900,8.8106
2016-11-07,9.30,9.50,9.21,9.49,6335900,8.9139
2016-11-04,9.10,9.37,9.03,9.04,5071100,8.4912
2016-11-03,9.15,9.47,9.02,9.10,6739000,8.5476
2016-11-02,9.19,9.19,9.19,9.19,000,8.6321
2016-11-01,9.76,9.80,9.15,9.19,5985900,8.6321
2016-10-31,9.70,9.85,9.48,9.75,8338600,9.1581
2016-10-28,9.48,9.73,9.40,9.69,10005900,9.1018
2016-10-27,9.26,9.49,9.25,9.48,9460300,8.9045
2016-10-26,9.02,9.29,8.91,9.22,10722800,8.6603
2016-10-25,8.86,9.12,8.72,9.06,8999600,8.51
2016-10-24,8.81,8.98,8.72,8.84,11396300,8.3034
2016-10-21,8.78,8.84,8.69,8.71,6165000,8.1813
2016-10-20,8.96,8.97,8.65,8.85,6616200,8.3128
2016-10-19,8.97,9.17,8.91,8.94,7751100,8.3973
2016-10-18,9.00,9.09,8.90,8.95,6320800,8.4067
2016-10-17,9.05,9.13,8.82,9.00,6074200,8.4536
2016-10-14,8.95,9.24,8.93,9.00,7094900,8.4536
2016-10-13,8.61,9.00,8.56,8.93,9950500,8.3879
2016-10-12,8.65,8.65,8.65,8.65,000,8.1249
2016-10-11,8.78,8.83,8.61,8.65,6680100,8.1249
2016-10-10,8.88,9.07,8.82,8.86,4055300,8.3221
2016-10-07,8.85,8.98,8.72,8.87,5461900,8.3315
2016-10-06,8.85,8.91,8.65,8.79,4814700,8.2564
2016-10-05,8.72,8.93,8.71,8.93,3984300,8.3879
2016-10-04,8.81,8.84,8.54,8.65,4472600,8.1249
2016-10-03,8.51,8.80,8.50,8.80,3824500,8.2658
2016-09-30,8.86,8.94,8.53,8.58,6818600,8.0591
2016-09-29,9.03,9.19,8.78,8.78,4296100,8.247
2016-09-28,8.91,9.02,8.75,9.00,4528100,8.4536
2016-09-27,8.90,8.94,8.69,8.88,2422800,8.3409
2016-09-26,8.75,8.96,8.66,8.88,2753500,8.3409
2016-09-23,9.00,9.07,8.80,8.91,2764600,8.3691
2016-09-22,8.96,9.13,8.82,9.09,5773100,8.5382
2016-09-21,8.71,8.88,8.54,8.80,5891600,8.2658
2016-09-20,8.57,8.75,8.51,8.63,5617300,8.1061
2016-09-19,8.48,8.59,8.37,8.49,2922400,7.9746
2016-09-16,8.53,8.54,8.30,8.37,5053600,7.8619
2016-09-15,8.53,8.65,8.41,8.55,4399900,8.031
2016-09-14,8.48,8.52,8.16,8.43,9113300,7.9182
2016-09-13,8.84,8.87,8.38,8.38,6378000,7.8713
2016-09-12,8.89,8.89,8.31,8.89,11422100,8.3503
2016-09-09,9.50,9.50,8.81,8.87,12137400,8.3315
2016-09-08,9.59,9.75,9.58,9.58,10091000,8.9984
2016-09-07,9.73,9.73,9.73,9.73,000,9.1393
2016-09-06,9.70,9.78,9.44,9.73,5009100,9.1393
2016-09-05,9.70,9.70,9.52,9.64,2728600,9.0548
2016-09-02,9.21,9.59,9.21,9.59,6946000,9.0078
2016-09-01,8.95,9.20,8.76,9.12,7984100,8.5664
2016-08-31,8.92,9.05,8.75,8.75,7312800,8.2188
2016-08-30,9.07,9.08,8.90,8.92,4255600,8.3785
2016-08-29,8.81,9.05,8.80,9.00,4342700,8.4536
2016-08-26,8.92,9.16,8.78,8.82,6870300,8.2846
2016-08-25,8.80,8.95,8.67,8.86,5307800,8.3221
2016-08-24,9.00,9.07,8.76,8.82,7757100,8.2846
2016-08-23,9.17,9.28,9.01,9.01,7518100,8.463
2016-08-22,9.33,9.34,8.88,9.00,8752600,8.4536
2016-08-19,9.24,9.49,9.11,9.40,5778400,8.8294
2016-08-18,9.35,9.40,9.17,9.23,5808000,8.6697
2016-08-17,9.54,9.58,9.03,9.38,8235500,8.8106
2016-08-16,9.90,9.97,9.50,9.54,9659700,8.9609
2016-08-15,9.50,9.84,9.32,9.80,6399600,9.2051
2016-08-12,9.64,9.84,9.49,9.60,8244300,9.0172
2016-08-11,9.30,9.66,9.26,9.66,5726200,9.0736
2016-08-10,9.45,9.57,9.30,9.33,7657100,8.7636
2016-08-09,9.56,9.67,9.31,9.36,9585200,8.7918
2016-08-08,9.44,9.60,9.29,9.53,4375800,8.9515
2016-08-05,9.75,9.84,9.20,9.35,8940800,8.7824
2016-08-04,9.36,9.76,9.23,9.67,10343400,9.083
2016-08-03,8.79,9.27,8.63,9.25,6006300,8.6885
2016-08-02,9.07,9.08,8.72,8.82,5448100,8.2846
2016-08-01,9.12,9.49,8.98,9.04,7495300,8.4912
2016-07-29,9.07,9.14,8.83,9.09,5792100,8.5382
2016-07-28,9.05,9.09,8.85,9.07,4367400,8.5194
2016-07-27,9.04,9.25,9.04,9.10,6761800,8.5476
2016-07-26,8.75,9.04,8.70,9.02,9402700,8.4724
2016-07-25,9.04,9.04,8.56,8.75,8732100,8.2188
2016-07-22,9.03,9.23,8.91,9.04,7536300,8.4912
2016-07-21,9.00,9.14,8.91,9.08,6034700,8.5288
2016-07-20,8.79,9.15,8.63,8.88,12075300,8.3409
2016-07-19,8.92,9.03,8.69,8.80,6736800,8.2658
2016-07-18,8.58,8.96,8.38,8.92,9948300,8.3785
2016-07-15,8.65,8.75,8.29,8.47,10773800,7.9558
2016-07-14,8.32,8.83,8.27,8.65,12351100,8.1249
2016-07-13,8.20,8.47,8.12,8.12,13110300,7.6271
2016-07-12,8.77,9.23,8.53,8.54,16473700,8.0216
2016-07-11,7.87,8.63,7.86,8.55,14179700,8.031
2016-07-08,7.49,7.80,7.39,7.79,10572700,7.3171
2016-07-07,7.60,7.69,7.31,7.32,7885800,6.8756
2016-07-06,7.70,7.76,7.09,7.56,11631500,7.1011
2016-07-05,7.65,7.82,7.48,7.80,10120300,7.3265
2016-07-04,7.50,7.78,7.42,7.63,8350900,7.1668
2016-07-01,7.33,7.39,7.10,7.28,11581400,6.8381
2016-06-30,6.99,7.28,6.95,7.28,13263800,6.8381
2016-06-29,6.81,7.09,6.80,6.97,13621300,6.5469
2016-06-28,6.65,6.81,6.56,6.75,8493300,6.3402
2016-06-27,6.54,6.57,6.23,6.49,5433200,6.096
2016-06-24,6.17,6.48,6.04,6.44,7899500,6.0491
2016-06-23,6.45,6.58,6.32,6.53,8743500,6.1336
2016-06-22,5.85,6.34,5.79,6.30,14281500,5.9176
2016-06-21,5.64,5.90,5.54,5.85,8026300,5.4949
2016-06-20,5.85,5.90,5.62,5.65,6044600,5.307
2016-06-17,5.46,5.75,5.44,5.72,12784600,5.3728
2016-06-16,5.29,5.47,5.22,5.40,6919800,5.0722
2016-06-15,5.40,5.47,5.24,5.34,6219200,5.0158
2016-06-14,5.57,5.62,5.30,5.36,4475100,5.0346
2016-06-13,5.46,5.56,5.36,5.55,3605400,5.2131
2016-06-10,5.65,5.69,5.48,5.54,5599400,5.2037
2016-06-09,5.95,5.95,5.77,5.77,6443200,5.4197
2016-06-08,5.76,5.98,5.76,5.95,7927700,5.5888
2016-06-07,5.77,5.87,5.72,5.73,5581800,5.3822
2016-06-06,5.72,5.89,5.64,5.85,5135100,5.4949
2016-06-03,5.75,5.79,5.67,5.75,3346300,5.4009
2016-06-02,5.61,5.71,5.52,5.67,4072000,5.3258
2016-06-01,5.72,5.76,5.51,5.55,6661900,5.2131
2016-05-31,5.52,5.63,5.44,5.63,9561300,5.2882
2016-05-30,5.35,5.47,5.28,5.42,1512200,5.091
2016-05-27,5.39,5.49,5.25,5.35,3821500,5.0252
2016-05-26,5.35,5.35,5.35,5.35,000,5.0252
2016-05-25,5.45,5.63,5.30,5.35,7703000,5.0252
2016-05-24,5.54,5.59,5.28,5.40,8770800,5.0722
2016-05-23,5.40,5.40,5.16,5.38,9260300,5.0534
2016-05-20,5.50,5.71,5.46,5.52,6221700,5.1849
2016-05-19,5.49,5.50,5.25,5.39,7168800,5.0628
2016-05-18,5.87,5.90,5.48,5.52,9074200,5.1849
2016-05-17,6.17,6.23,5.94,5.94,5414800,5.5794
2016-05-16,6.14,6.35,6.06,6.14,6859900,5.7673
2016-05-13,6.80,6.94,6.21,6.25,8607700,5.8706
2016-05-12,6.50,6.90,6.45,6.80,11059700,6.3872
2016-05-11,6.50,6.69,6.33,6.40,6949900,6.0115
2016-05-10,6.12,6.40,6.06,6.38,8579300,5.9927
2016-05-09,6.19,6.26,5.82,6.01,5968600,5.6452
2016-05-06,5.98,6.20,5.89,6.19,6017800,5.8142
2016-05-05,6.25,6.26,5.96,6.05,5457500,5.6827
2016-05-04,6.30,6.30,6.12,6.17,7021200,5.7954
2016-05-03,6.67,6.67,6.32,6.32,6940600,5.9363
2016-05-02,6.64,6.75,6.52,6.71,7795800,6.3027
2016-04-29,7.22,7.23,6.75,6.85,10218300,6.1102
2016-04-28,7.20,7.29,7.12,7.17,6926700,6.3957
2016-04-27,7.17,7.26,7.06,7.15,9586900,6.3778
2016-04-26,7.16,7.25,7.06,7.09,5288800,6.3243
2016-04-25,7.30,7.40,7.06,7.11,5815100,6.3421
2016-04-22,7.30,7.35,7.21,7.25,6510000,6.467
2016-04-21,7.41,7.41,7.41,7.41,000,6.6097
2016-04-20,7.49,7.62,7.36,7.41,7330000,6.6097
2016-04-19,7.68,7.71,7.50,7.52,6184700,6.7079
2016-04-18,7.90,7.90,7.48,7.54,6880700,6.7257
2016-04-15,7.70,7.95,7.48,7.80,9612200,6.9576
2016-04-14,8.06,8.13,7.40,7.64,11914600,6.8149
2016-04-13,7.95,8.26,7.91,7.95,9495000,7.0914
2016-04-12,7.80,7.83,7.41,7.79,8574300,6.9487
2016-04-11,7.26,7.62,7.21,7.50,7202700,6.69
2016-04-08,7.02,7.32,6.93,7.10,8318300,6.3332
2016-04-07,6.84,7.08,6.56,6.71,7530300,5.9853
2016-04-06,7.15,7.27,6.71,6.78,6809300,6.0478
2016-04-05,7.44,7.54,7.12,7.20,9282800,6.4224
2016-04-04,7.85,7.92,7.41,7.45,6324600,6.6454
2016-04-01,7.93,8.08,7.83,7.93,7577700,7.0736
2016-03-31,8.35,8.64,7.95,8.09,10803600,7.2163
2016-03-30,8.32,8.70,8.32,8.39,6031400,7.4839
2016-03-29,8.28,8.64,8.17,8.31,8146900,7.4125
2016-03-28,8.15,8.53,7.98,8.25,5645000,7.359
2016-03-25,7.92,7.92,7.92,7.92,000,7.0647
2016-03-24,7.71,7.92,7.37,7.92,4681400,7.0647
2016-03-23,7.90,7.90,7.52,7.77,7037100,6.9309
2016-03-22,7.94,8.18,7.86,7.95,8788300,7.0914
