Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,31.80,32.24,31.41,32.13,368300,32.13
2017-01-23,31.33,31.79,31.01,31.79,327600,31.79
2017-01-20,31.48,31.81,30.79,31.06,330500,31.06
2017-01-19,31.72,31.77,30.80,31.12,424500,31.12
2017-01-18,31.77,32.20,31.44,31.49,478400,31.49
2017-01-17,31.06,32.17,31.02,31.77,584900,31.77
2017-01-16,31.30,31.69,31.05,31.30,247100,31.30
2017-01-13,31.62,32.01,30.81,31.29,429200,31.29
2017-01-12,30.50,32.42,30.50,31.45,1213600,31.45
2017-01-11,28.94,30.03,28.48,30.03,771700,30.03
2017-01-10,28.98,29.11,28.53,28.70,524500,28.70
2017-01-09,28.99,29.11,28.40,28.65,557500,28.65
2017-01-06,28.48,29.19,28.34,28.96,539400,28.96
2017-01-05,29.25,29.70,28.45,28.54,893900,28.54
2017-01-04,29.05,29.49,28.74,28.94,679100,28.94
2017-01-03,27.54,29.27,27.39,29.23,1121700,29.23
2017-01-02,27.38,27.49,27.06,27.20,102700,27.20
2016-12-30,27.36,27.36,27.36,27.36,000,27.36
2016-12-29,27.19,27.63,26.76,27.36,631500,27.36
2016-12-28,27.10,27.46,26.81,27.05,564300,27.05
2016-12-27,27.07,27.30,26.77,27.06,330600,27.06
2016-12-26,26.45,26.94,26.45,26.81,97800,26.81
2016-12-23,26.80,27.09,26.06,26.36,487300,26.36
2016-12-22,26.69,26.88,26.16,26.79,418000,26.79
2016-12-21,26.69,26.69,26.69,26.69,362100,26.69
2016-12-20,27.50,27.50,26.76,27.22,428800,27.22
2016-12-19,28.31,28.83,27.05,27.05,762700,27.05
2016-12-16,28.18,29.12,27.92,28.54,512000,28.54
2016-12-15,27.94,28.38,26.91,27.82,731300,27.82
2016-12-14,28.80,28.84,27.81,27.81,812200,27.81
2016-12-13,28.02,29.19,27.82,28.57,567900,28.57
2016-12-12,28.10,28.88,28.02,28.29,518600,28.29
2016-12-09,28.74,29.19,28.34,28.62,478000,28.62
2016-12-08,28.52,29.48,28.09,28.59,671700,28.59
2016-12-07,28.14,28.76,27.91,28.41,781400,28.41
2016-12-06,27.28,27.84,26.58,27.74,299200,27.74
2016-12-05,28.07,28.07,27.26,27.31,265600,27.31
2016-12-02,27.31,28.29,27.15,27.77,674700,27.77
2016-12-01,28.70,29.12,27.25,27.62,745100,27.62
2016-11-30,29.68,29.85,28.89,28.95,930100,28.95
2016-11-29,29.49,29.86,28.98,28.98,387200,28.98
2016-11-28,29.17,30.18,29.16,29.93,399000,29.93
2016-11-25,28.31,29.36,27.99,29.36,192500,29.36
2016-11-24,29.46,29.87,28.71,28.71,147800,28.71
2016-11-23,28.81,29.53,28.72,29.44,360300,29.44
2016-11-22,29.70,30.39,29.01,29.01,724900,29.01
2016-11-21,28.32,29.59,28.25,29.21,660800,29.21
2016-11-18,27.87,28.42,27.78,28.25,522900,28.25
2016-11-17,29.21,29.69,27.74,27.85,739000,27.85
2016-11-16,27.78,29.14,27.70,29.14,1335700,29.14
2016-11-15,27.77,27.77,27.77,27.77,000,27.77
2016-11-14,28.50,29.48,27.61,27.77,862700,27.77
2016-11-11,32.00,32.19,27.59,28.51,1794200,28.51
