Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,57.65,58.18,57.12,58.18,548100,58.18
2017-01-23,56.35,57.84,56.03,57.64,1118400,57.64
2017-01-20,55.45,56.35,55.45,56.35,890100,56.35
2017-01-19,54.79,55.69,54.59,55.49,874700,55.49
2017-01-18,55.08,55.44,54.73,54.73,554400,54.73
2017-01-17,54.07,55.55,53.26,55.05,1175300,55.05
2017-01-16,55.26,55.26,54.02,54.32,494000,54.32
2017-01-13,54.30,55.41,54.16,55.20,854200,55.20
2017-01-12,55.00,56.05,54.14,54.67,2360000,54.67
2017-01-11,53.49,54.03,52.89,53.22,731700,53.22
2017-01-10,54.65,54.84,53.50,53.50,781000,53.50
2017-01-09,54.51,55.13,53.92,54.15,866000,54.15
2017-01-06,54.50,54.96,53.57,54.50,905200,54.50
2017-01-05,54.94,55.44,54.51,54.75,1540400,54.75
2017-01-04,54.39,55.42,54.13,54.85,2133500,54.85
2017-01-03,55.36,55.36,54.40,54.64,1235100,54.64
2017-01-02,54.40,55.48,53.82,54.75,400700,54.75
2016-12-30,54.40,54.40,54.40,54.40,000,54.40
2016-12-29,54.50,54.96,54.04,54.40,1025100,54.40
2016-12-28,53.21,54.39,52.86,54.31,586200,54.31
2016-12-27,53.20,53.53,52.56,53.20,507600,53.20
2016-12-26,52.91,53.38,52.30,53.00,276200,52.72
2016-12-23,52.91,53.51,52.55,52.60,855700,52.32211
2016-12-22,52.73,53.66,52.11,53.10,858700,52.81947
2016-12-21,52.73,52.73,52.73,52.73,1080900,52.45143
2016-12-20,53.01,54.24,51.66,52.09,1841200,51.81481
2016-12-19,53.46,54.96,52.70,52.93,1912700,52.65037
2016-12-16,51.71,53.50,51.19,53.05,1419400,52.76974
2016-12-15,51.44,52.02,50.91,51.70,1067600,51.42687
2016-12-14,52.60,52.98,50.91,51.55,1343200,51.27766
2016-12-13,51.04,52.60,51.04,52.50,1067400,52.22264
2016-12-12,51.59,51.79,51.02,51.45,771500,51.17819
2016-12-09,52.96,53.00,51.66,52.01,895100,51.73523
2016-12-08,52.44,53.61,51.35,52.70,1530500,52.42159
2016-12-07,52.77,53.13,51.10,52.61,1260800,52.33206
2016-12-06,50.80,52.50,50.29,52.50,1372900,52.22264
2016-12-05,51.73,52.97,50.70,51.05,1264500,50.7803
2016-12-02,49.75,52.43,49.03,51.71,1586000,51.43682
2016-12-01,51.35,52.09,49.60,50.51,2274200,50.24315
2016-11-30,52.03,52.49,50.92,52.49,3400900,52.2127
2016-11-29,51.49,53.16,51.27,51.27,1126400,50.99914
2016-11-28,52.14,52.50,51.37,52.04,1082500,51.76507
2016-11-25,51.25,52.50,50.68,52.26,1043700,51.98391
2016-11-24,51.95,52.69,51.68,51.70,324700,51.42687
2016-11-23,52.25,52.69,51.16,52.10,944300,51.82475
2016-11-22,54.04,54.04,52.10,52.70,941000,52.42159
2016-11-21,52.62,53.39,51.66,53.39,962700,53.10794
2016-11-18,51.90,52.93,51.51,52.62,696400,52.34201
2016-11-17,51.84,52.84,51.38,51.85,1106000,51.57608
2016-11-16,53.47,53.62,51.36,52.01,1426200,51.73523
2016-11-15,52.70,52.70,52.70,52.70,000,52.42159
2016-11-14,51.77,52.70,50.78,52.70,1998500,52.42159
2016-11-11,52.91,53.76,50.77,52.45,3292600,52.17291
2016-11-10,56.04,56.42,52.89,53.74,1591200,53.45609
2016-11-09,54.20,56.42,54.18,56.01,765700,55.7141
2016-11-08,55.70,57.10,55.64,56.35,813200,56.0523
2016-11-07,55.66,56.87,55.38,56.16,723800,55.86331
2016-11-04,54.61,56.50,54.30,55.47,1098400,55.17695
2016-11-03,55.68,56.71,54.61,54.81,1084500,54.52044
2016-11-02,55.70,55.70,55.70,55.70,000,55.40574
2016-11-01,57.01,57.22,55.63,55.70,1397300,55.40574
2016-10-31,55.57,57.24,55.57,56.94,2464500,56.63918
2016-10-28,54.14,55.49,52.78,55.49,2428000,55.19685
2016-10-27,54.87,55.78,54.27,54.40,1397100,54.11261
2016-10-26,53.60,54.94,53.53,54.55,1991700,54.26181
2016-10-25,54.00,54.73,53.35,53.77,927800,53.48593
2016-10-24,54.32,54.33,53.64,54.10,741100,53.81419
2016-10-21,53.13,54.32,53.02,54.07,1046100,53.78435
2016-10-20,52.16,53.93,51.97,53.60,1130400,53.31683
2016-10-19,52.61,52.87,52.08,52.56,1124600,52.28233
2016-10-18,53.10,53.10,52.43,52.81,2246000,52.53101
2016-10-17,52.33,53.11,52.00,53.08,625100,52.79958
2016-10-14,52.85,52.99,51.90,52.33,719800,52.05354
2016-10-13,50.23,52.64,50.23,52.35,2128400,52.07343
2016-10-12,50.60,50.60,50.60,50.60,000,50.33268
2016-10-11,51.40,51.63,50.06,50.60,1144500,50.33268
2016-10-10,51.34,51.53,50.69,51.43,599200,51.1583
2016-10-07,51.83,52.17,50.82,50.82,1094300,50.55152
2016-10-06,51.48,51.93,50.80,51.56,673200,51.28761
2016-10-05,51.50,51.99,51.12,51.45,665900,51.17819
2016-10-04,51.10,51.53,50.20,51.22,1000000,50.94941
2016-10-03,50.32,51.53,50.05,51.31,1078200,51.03893
2016-09-30,51.13,51.68,50.32,50.32,1234100,50.05416
2016-09-29,52.51,52.51,51.10,51.10,530400,50.83004
2016-09-28,51.50,52.54,51.50,52.25,850300,51.97396
2016-09-27,51.30,52.00,50.88,51.50,564600,51.22793
2016-09-26,51.82,52.26,50.72,51.00,587500,50.73057
2016-09-23,52.05,53.22,51.96,52.30,713500,52.0237
2016-09-22,52.44,52.81,51.70,52.35,807100,52.07343
2016-09-21,51.72,51.96,51.04,51.75,994700,51.4766
2016-09-20,50.00,51.70,50.00,51.35,831300,51.07872
2016-09-19,50.00,50.39,49.48,50.00,530900,49.73585
2016-09-16,50.40,50.46,49.54,49.61,731100,49.34791
2016-09-15,49.44,50.71,49.44,50.40,722400,50.13374
2016-09-14,49.57,50.22,49.39,49.50,857200,49.23849
2016-09-13,50.17,50.37,49.55,49.75,1738100,49.48717
2016-09-12,49.81,51.04,49.63,50.69,727300,50.4222
2016-09-09,51.49,51.74,49.81,50.19,1305400,49.92484
