Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,16.05,16.24,15.92,16.07,1552200,16.07
2017-01-23,16.56,16.59,15.72,16.05,1877800,16.05
2017-01-20,16.53,16.74,16.38,16.52,926200,16.52
2017-01-19,16.96,17.17,16.27,16.41,10741400,16.41
2017-01-18,17.26,17.26,16.65,16.96,3667300,16.96
2017-01-17,16.60,17.55,16.53,17.26,2316800,17.26
2017-01-16,16.50,16.67,16.40,16.59,1061500,16.59
2017-01-13,15.92,16.60,15.92,16.50,4137500,16.50
2017-01-12,15.97,16.71,15.75,16.10,4868200,16.10
2017-01-11,15.74,15.93,15.36,15.55,873100,15.55
2017-01-10,15.90,15.95,15.65,15.74,1981800,15.74
2017-01-09,15.89,16.00,15.51,15.77,1034400,15.77
2017-01-06,15.98,16.10,15.75,15.85,1543800,15.85
2017-01-05,16.24,16.39,15.87,15.97,1593300,15.97
2017-01-04,16.39,16.45,15.85,16.23,1562700,16.23
2017-01-03,15.62,16.31,15.46,16.31,1614600,16.31
2017-01-02,15.80,15.80,15.41,15.45,763000,15.45
2016-12-30,15.80,15.80,15.80,15.80,000,15.80
2016-12-29,15.45,15.80,15.06,15.80,1815600,15.80
2016-12-28,15.28,15.43,15.17,15.43,420600,15.43
2016-12-27,15.60,15.60,15.15,15.35,708300,15.35
2016-12-26,15.55,15.64,15.20,15.42,305700,15.42
2016-12-23,14.71,15.56,14.71,15.42,1247600,15.42
2016-12-22,14.24,14.80,14.09,14.80,4383100,14.80
2016-12-21,14.62,14.85,14.44,14.70,1180000,14.24604
2016-12-20,14.55,14.86,14.37,14.61,1498200,14.15882
2016-12-19,14.40,14.61,14.33,14.45,1640400,14.00376
2016-12-16,14.43,14.59,14.23,14.23,1206200,13.79056
2016-12-15,14.45,14.49,14.03,14.29,2340300,13.8487
2016-12-14,15.57,15.57,14.32,14.40,1704000,13.95531
2016-12-13,14.58,15.58,14.58,15.45,1344200,14.97288
2016-12-12,15.20,15.45,14.52,14.80,1304800,14.34295
2016-12-09,15.80,15.87,15.26,15.39,1231500,14.91473
2016-12-08,16.26,16.31,15.54,15.71,766200,15.22485
2016-12-07,16.40,16.75,15.97,16.10,1282900,15.60281
2016-12-06,15.75,16.31,15.70,16.24,782100,15.73848
2016-12-05,16.36,16.62,15.98,15.98,1993400,15.48651
2016-12-02,15.88,16.47,15.60,16.40,1137800,15.89354
2016-12-01,16.35,16.36,15.73,16.12,3140600,15.62219
2016-11-30,16.44,17.02,16.33,16.78,2002400,16.26181
2016-11-29,16.60,17.20,16.20,16.20,2631200,15.69972
2016-11-28,16.04,16.84,15.92,16.69,1854900,16.17459
2016-11-25,16.15,16.28,15.90,16.16,1131000,15.66095
2016-11-24,16.47,16.61,16.12,16.40,429700,15.89354
2016-11-23,17.00,17.11,16.39,16.49,978700,15.98076
2016-11-22,16.54,17.25,16.54,17.00,2067600,16.47501
2016-11-21,15.92,16.62,15.86,16.40,1248300,15.89354
2016-11-18,16.10,16.32,15.77,15.92,1268200,15.42837
2016-11-17,16.88,16.89,16.12,16.13,872800,15.63188
2016-11-16,16.63,16.96,16.37,16.66,1278700,16.14551
2016-11-15,16.70,16.70,16.70,16.70,000,16.18428
2016-11-14,16.00,16.73,15.80,16.70,1587100,16.18428
2016-11-11,16.00,16.43,15.52,16.00,3471500,15.5059
2016-11-10,17.70,17.72,15.95,16.30,2157300,14.91675
2016-11-09,17.20,17.74,16.80,17.58,1371000,16.08813
2016-11-08,18.10,18.34,17.71,18.01,946600,16.48164
2016-11-07,17.35,18.39,17.35,18.10,1136000,16.564
2016-11-04,17.24,18.04,17.11,17.24,1018600,15.77698
2016-11-03,18.05,18.40,17.35,17.42,735600,15.94171
2016-11-02,18.10,18.10,18.10,18.10,000,16.564
2016-11-01,18.66,18.95,17.90,18.10,3207400,16.564
2016-10-31,18.26,18.93,18.02,18.51,1346200,16.93921
2016-10-28,18.36,18.52,17.91,18.26,621800,16.71042
2016-10-27,18.50,18.83,18.36,18.45,661900,16.8843
2016-10-26,18.50,18.62,18.28,18.60,912100,17.02157
2016-10-25,19.00,19.00,18.20,18.53,1814600,16.95751
2016-10-24,19.60,19.98,19.01,19.10,1442100,17.47914
2016-10-21,19.58,19.68,19.28,19.57,633700,17.90926
2016-10-20,20.00,20.00,19.40,19.58,894500,17.91841
2016-10-19,19.98,20.48,19.93,20.00,3302500,18.30276
2016-10-18,19.01,19.95,19.00,19.85,2023300,18.16549
2016-10-17,18.99,19.12,18.71,19.01,1039300,17.39678
2016-10-14,19.05,19.36,18.93,19.00,1240100,17.38763
2016-10-13,19.11,19.24,18.86,18.99,3901300,17.37848
2016-10-12,19.12,19.12,19.12,19.12,000,17.49744
2016-10-11,18.99,19.45,18.94,19.12,3758300,17.49744
2016-10-10,18.95,19.19,18.75,19.01,3002900,17.39678
2016-10-07,18.92,18.97,18.55,18.91,727400,17.30526
2016-10-06,18.24,18.92,18.14,18.76,2898300,17.16799
2016-10-05,17.82,18.44,17.80,18.35,2898000,16.79279
2016-10-04,17.99,18.13,17.65,17.86,2382700,16.34437
2016-10-03,17.81,18.31,17.71,18.20,1621300,16.65552
2016-09-30,18.21,18.32,17.81,17.81,1277600,16.29861
2016-09-29,18.81,18.98,18.18,18.19,1289000,16.64637
2016-09-28,18.66,19.52,18.62,18.95,1051100,17.34187
2016-09-27,18.30,18.81,18.18,18.76,1216700,17.16799
2016-09-26,18.10,18.44,17.90,18.26,1103200,16.71042
2016-09-23,19.29,19.29,18.23,18.25,1431400,16.70127
2016-09-22,18.93,19.29,18.89,19.05,1025200,17.43338
2016-09-21,18.51,18.92,18.51,18.77,2327900,17.17715
2016-09-20,18.24,18.64,18.13,18.42,883100,16.85685
2016-09-19,18.21,18.53,18.01,18.06,1104500,16.5274
2016-09-16,18.23,18.39,17.74,17.96,1565100,16.43588
2016-09-15,17.80,18.34,17.78,18.22,626500,16.67382
2016-09-14,18.03,18.29,17.55,18.00,1759300,16.47249
2016-09-13,18.41,18.58,17.62,18.14,2334000,16.60061
2016-09-12,17.97,18.67,17.82,18.67,1182900,17.08563
2016-09-09,18.10,18.32,17.89,18.12,2105200,16.58231
2016-09-08,17.83,18.53,17.62,18.38,1713500,16.82024
2016-09-07,17.85,17.85,17.85,17.85,000,16.33522
2016-09-06,17.03,17.85,16.87,17.85,2065100,16.33522
2016-09-05,17.00,17.18,16.82,16.89,312000,15.45668
2016-09-02,16.90,17.19,16.71,17.01,1007600,15.5665
2016-09-01,16.56,16.96,16.29,16.93,976500,15.49329
2016-08-31,16.75,16.85,16.19,16.58,1156600,15.17299
2016-08-30,17.25,17.32,16.56,16.61,2682600,15.20045
2016-08-29,17.04,17.50,17.02,17.44,1524300,15.96001
2016-08-26,16.91,17.57,16.86,17.02,1961200,15.57565
2016-08-25,17.13,17.22,16.71,16.91,1853500,15.47499
2016-08-24,17.02,17.44,16.92,17.05,718400,15.60311
2016-08-23,17.42,17.62,17.09,17.26,911500,15.79529
2016-08-22,17.82,18.17,17.22,17.42,1309500,15.94171
2016-08-19,17.83,17.99,17.61,17.75,859900,16.2437
2016-08-18,17.89,18.28,17.42,18.00,2486100,16.47249
2016-08-17,17.69,18.00,17.32,17.86,965000,16.34437
2016-08-16,17.56,17.99,17.56,17.70,1066300,16.19795
2016-08-15,17.62,18.09,17.50,17.78,1896800,16.27116
2016-08-12,17.95,18.53,17.56,17.56,2650800,16.06983
2016-08-11,18.00,18.51,17.88,18.41,1364700,16.84769
2016-08-10,17.91,18.38,17.85,18.06,1307900,16.5274
2016-08-09,17.56,18.20,17.51,17.91,2097100,16.39013
2016-08-08,17.17,17.53,16.66,17.45,2102300,15.96916
2016-08-05,16.91,17.29,16.91,17.18,1652400,15.72208
2016-08-04,17.65,17.75,16.85,16.89,2597300,15.45668
2016-08-03,17.58,17.82,17.32,17.70,2800100,16.19795
2016-08-02,17.84,17.90,17.30,17.64,1283200,16.14304
2016-08-01,17.60,17.99,17.45,17.83,1059300,16.31691
2016-07-29,17.70,17.87,17.41,17.65,1459700,16.15219
2016-07-28,17.10,17.61,17.08,17.57,1302100,16.07898
2016-07-27,17.77,17.87,17.07,17.19,1707300,15.73123
2016-07-26,17.95,18.37,17.66,17.68,2034200,16.17964
2016-07-25,18.65,18.73,17.56,17.96,1790700,16.43588
2016-07-22,18.32,18.91,18.31,18.91,1259300,17.30526
2016-07-21,18.25,18.67,18.19,18.40,1647000,16.83854
2016-07-20,19.06,19.15,18.08,18.49,2967700,16.92091
2016-07-19,19.05,19.38,18.80,19.06,2851900,17.44253
2016-07-18,18.47,19.05,18.00,19.05,2142300,17.43338
2016-07-15,18.25,18.96,17.44,18.51,3030500,16.93921
2016-07-14,18.40,18.53,17.92,18.30,3734700,16.74703
2016-07-13,17.45,18.35,17.35,18.10,4795600,16.564
2016-07-12,17.16,17.85,17.07,17.50,2616600,16.01492
2016-07-11,17.75,17.76,16.74,17.20,3862200,15.74038
2016-07-08,16.30,16.84,16.27,16.62,1968000,15.2096
2016-07-07,16.05,16.50,15.83,16.20,3228400,14.82524
2016-07-06,16.52,16.52,15.76,16.00,2890100,14.64221
2016-07-05,16.80,16.98,16.56,16.66,1756300,15.2462
2016-07-04,17.11,17.32,16.65,16.87,1576000,15.43838
2016-07-01,17.40,17.50,17.02,17.21,4623700,15.74953
2016-06-30,17.00,17.44,16.59,16.96,4492500,15.52074
2016-06-29,16.70,16.96,16.44,16.87,6186300,15.43838
2016-06-28,16.60,16.80,15.81,16.00,3045500,14.64221
2016-06-27,16.49,16.59,16.03,16.30,4098900,14.91675
2016-06-24,15.50,16.46,15.20,16.46,4561800,15.06317
2016-06-23,15.89,16.01,15.71,15.96,2870600,14.60561
2016-06-22,15.87,15.87,15.35,15.72,3279400,14.38597
2016-06-21,15.95,16.09,14.93,15.80,6565100,14.45918
2016-06-20,15.81,15.96,15.30,15.45,2722500,14.13889
2016-06-17,14.75,15.88,14.60,15.80,8275100,14.45918
2016-06-16,14.70,14.90,13.90,14.73,3071400,13.47999
2016-06-15,15.00,15.08,14.54,14.70,2950600,13.45253
2016-06-14,15.20,15.33,14.35,14.92,2088200,13.65386
2016-06-13,15.40,15.41,14.86,15.17,2048300,13.88265
2016-06-10,15.30,15.56,15.12,15.40,4140900,14.09313
2016-06-09,15.53,15.89,15.36,15.55,5219400,14.2304
2016-06-08,14.80,15.49,14.51,15.49,3082700,14.17549
2016-06-07,14.60,14.79,14.21,14.79,4603300,13.53489
2016-06-06,14.45,14.91,14.35,14.54,9941200,13.30611
2016-06-03,13.85,14.46,13.80,13.89,10841700,12.71127
2016-06-02,13.06,13.86,12.70,13.71,26510800,12.54655
2016-06-01,10.95,11.10,10.81,11.08,5580600,10.13973
2016-05-31,11.18,11.33,10.85,10.86,41475500,9.9384
2016-05-30,11.52,11.55,11.33,11.40,1886200,10.43258
2016-05-27,11.40,11.77,11.40,11.50,2856000,10.52409
2016-05-26,11.44,11.44,11.44,11.44,000,10.46918
2016-05-25,11.22,11.98,11.22,11.44,3847500,10.46918
2016-05-24,11.05,11.40,11.00,11.12,3193000,10.17634
2016-05-23,11.00,11.01,10.68,10.95,4049800,10.02076
2016-05-20,11.59,11.59,11.17,11.22,2719100,10.26785
2016-05-19,11.21,11.66,11.21,11.45,1967100,10.47833
2016-05-18,11.11,11.73,11.11,11.37,3110800,10.40512
2016-05-17,11.68,11.69,11.12,11.35,2911800,10.38682
2016-05-16,11.32,11.63,11.15,11.48,3914500,10.50579
2016-05-13,11.75,11.75,11.07,11.30,6895500,10.34106
2016-05-12,11.95,12.28,11.68,11.87,3693400,10.86269
2016-05-11,12.45,12.45,11.82,11.83,4240800,10.82609
2016-05-10,11.51,12.14,11.41,12.06,3355700,11.03657
2016-05-09,11.19,11.55,10.92,11.30,3165600,10.34106
2016-05-06,11.14,11.22,10.75,11.00,4073300,10.06652
2016-05-05,12.09,12.15,10.96,11.13,5100200,10.18549
2016-05-04,12.45,12.48,11.82,11.91,6988100,10.8993
2016-05-03,12.20,12.47,12.01,12.33,3093700,11.28365
2016-05-02,12.00,12.28,11.90,12.22,3003200,11.18299
2016-04-29,11.44,12.00,11.30,11.87,3420300,10.86269
