Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,31.96,32.63,31.79,32.10,1699100,32.10
2017-01-23,31.90,32.09,30.38,31.77,1384000,31.77
2017-01-20,32.67,32.97,31.74,31.98,1453500,31.98
2017-01-19,31.72,32.97,31.50,32.96,1802100,32.96
2017-01-18,31.60,31.74,31.35,31.58,1280700,31.58
2017-01-17,31.11,31.66,31.08,31.43,1431000,31.43
2017-01-16,31.10,31.62,31.10,31.38,721400,31.38
2017-01-13,31.30,31.70,30.98,31.04,1729300,31.04
2017-01-12,31.71,31.74,30.75,31.30,2776000,31.30
2017-01-11,31.43,31.91,31.40,31.70,1212500,31.70
2017-01-10,31.28,31.57,31.20,31.36,722700,31.36
2017-01-09,31.75,32.05,31.06,31.06,1799500,31.06
2017-01-06,31.41,31.80,31.24,31.75,1087700,31.75
2017-01-05,31.11,31.40,30.80,31.33,1536300,31.33
2017-01-04,31.84,32.15,31.02,31.29,1985100,31.29
2017-01-03,32.15,32.48,31.51,32.06,1685400,32.06
2017-01-02,31.89,32.50,31.51,32.11,611400,32.11
2016-12-30,31.89,31.89,31.89,31.89,000,31.89
2016-12-29,31.68,31.89,31.10,31.89,811000,31.89
2016-12-28,32.20,32.44,31.59,31.65,1068900,31.65
2016-12-27,30.97,31.93,30.85,31.82,1518900,31.82
2016-12-26,30.25,30.79,30.15,30.76,363700,30.76
2016-12-23,30.31,30.65,29.99,30.30,665000,30.30
2016-12-22,30.82,30.83,29.82,30.31,1091600,30.31
2016-12-21,30.82,30.82,30.82,30.82,1012200,30.82
2016-12-20,31.86,31.90,30.93,31.17,1669400,31.17
2016-12-19,32.70,32.71,31.60,31.86,1589300,31.86
2016-12-16,32.00,32.94,31.50,32.48,1732400,32.48
2016-12-15,33.00,33.03,31.85,32.16,1925700,32.16
2016-12-14,31.80,32.38,30.53,32.09,1964700,32.09
2016-12-13,31.54,31.83,30.44,31.72,1602300,31.72
2016-12-12,31.70,32.27,31.41,31.54,914500,31.54
2016-12-09,31.96,32.55,31.68,31.85,1529000,31.85
2016-12-08,32.70,32.97,31.71,31.77,1491400,31.77
2016-12-07,33.10,33.17,32.16,32.79,1697700,32.79
2016-12-06,31.95,33.01,31.91,33.01,1762400,33.01
2016-12-05,31.92,32.56,31.67,31.85,1210300,31.85
2016-12-02,31.63,32.15,31.01,31.92,2415900,31.92
2016-12-01,31.58,32.00,31.25,31.55,3106200,31.55
2016-11-30,33.13,33.13,31.00,31.01,2895600,31.01
2016-11-29,32.13,34.12,32.13,33.37,3146000,33.37
2016-11-28,31.27,32.05,30.72,32.05,2148000,32.05
2016-11-25,31.53,31.68,31.00,31.44,2443200,31.44
2016-11-24,30.37,30.98,30.28,30.71,970600,30.71
2016-11-23,30.00,31.31,29.81,30.30,2693700,30.30
2016-11-22,28.50,30.12,28.02,29.50,2828100,29.50
2016-11-21,28.04,28.49,27.54,28.30,1510500,28.30
2016-11-18,29.01,29.55,27.43,28.29,2384600,28.29
2016-11-17,27.60,28.94,26.90,28.61,2435900,28.61
2016-11-16,29.53,30.19,27.59,27.59,3573100,27.59
2016-11-15,30.31,30.31,30.31,30.31,000,30.31
2016-11-14,31.00,32.00,29.93,30.31,4475100,30.31
2016-11-11,28.76,30.78,28.65,30.45,7626300,30.45
2016-11-10,25.68,28.52,25.68,28.28,6003200,28.28
2016-11-09,24.23,25.60,24.10,25.45,2473700,25.45
2016-11-08,25.15,25.46,24.48,24.48,1388200,24.48
2016-11-07,25.00,25.28,24.01,24.90,3167500,24.90
2016-11-04,25.57,25.66,24.86,24.90,2477900,24.90
2016-11-03,25.90,26.12,24.90,25.28,2693400,25.28
2016-11-02,25.57,25.57,25.57,25.57,000,25.57
2016-11-01,25.70,26.22,25.18,25.57,2715700,25.57
2016-10-31,25.36,25.72,25.13,25.54,2013000,25.54
2016-10-28,24.65,25.30,24.64,25.07,2009900,25.07
2016-10-27,24.48,24.87,24.31,24.54,2024800,24.54
2016-10-26,24.25,24.80,24.11,24.33,2742600,24.33
2016-10-25,23.11,24.33,23.11,24.10,3838100,24.10
2016-10-24,23.30,23.38,22.86,23.16,1112100,23.16
2016-10-21,22.86,23.23,22.55,23.07,1681300,23.07
2016-10-20,23.37,23.37,22.66,22.68,1355400,22.68
2016-10-19,23.70,23.94,23.20,23.20,1045300,23.20
2016-10-18,23.16,23.75,23.13,23.63,1644100,23.63
2016-10-17,23.30,23.87,23.04,23.21,2076400,23.21
2016-10-14,23.05,23.48,23.05,23.30,1317800,23.30
2016-10-13,23.41,23.41,22.98,23.03,3129300,23.03
2016-10-12,23.50,23.50,23.50,23.50,000,23.50
2016-10-11,23.27,23.66,23.02,23.50,2084400,23.50
2016-10-10,22.75,23.10,22.72,23.06,1372200,23.06
2016-10-07,23.27,23.28,22.80,22.90,3765500,22.90
2016-10-06,23.41,23.68,23.08,23.47,1505000,23.47
2016-10-05,23.16,23.41,23.01,23.30,1227900,23.30
2016-10-04,23.30,23.46,22.85,23.15,1693100,23.15
2016-10-03,22.99,23.55,22.68,22.99,2519800,22.99
2016-09-30,22.90,23.16,22.53,23.01,1430700,23.01
2016-09-29,22.32,23.17,22.32,22.83,2116800,22.83
2016-09-28,22.16,22.63,22.16,22.39,2403600,22.39
2016-09-27,21.60,22.12,21.53,21.97,1653000,21.97
2016-09-26,22.32,22.58,21.48,21.80,1981500,21.80
2016-09-23,21.35,22.66,21.22,22.43,4113700,22.43
2016-09-22,21.67,21.86,20.86,20.90,4384900,20.90
2016-09-21,22.50,22.65,21.83,21.86,4129300,21.86
2016-09-20,23.36,23.36,22.57,22.61,6619000,22.61
2016-09-19,23.64,23.80,23.32,23.50,3087900,23.50
2016-09-16,23.57,23.80,23.42,23.65,1981800,23.65
2016-09-15,23.85,23.96,23.43,23.70,3430500,23.70
2016-09-14,24.00,24.20,23.73,23.94,3527100,23.94
2016-09-13,23.85,24.10,23.37,24.08,2696400,24.08
2016-09-12,23.70,24.31,23.18,23.60,3051600,23.60
2016-09-09,22.73,23.60,22.63,23.41,3566500,23.41
2016-09-08,22.40,22.80,22.26,22.75,2360100,22.75
2016-09-07,22.54,22.54,22.54,22.54,000,22.54
2016-09-06,22.56,22.83,22.16,22.54,3469900,22.54
2016-09-05,22.46,22.80,22.29,22.43,931000,22.43
2016-09-02,22.93,22.93,22.26,22.53,2351900,22.53
2016-09-01,22.14,22.88,22.11,22.88,2380400,22.88
2016-08-31,22.00,22.30,21.80,22.01,1714100,22.01
2016-08-30,22.01,22.59,21.85,22.09,2080800,22.09
2016-08-29,21.31,22.20,21.23,22.00,3406300,22.00
2016-08-26,20.86,21.50,20.50,21.36,5098600,21.36
2016-08-25,21.50,21.92,20.81,20.81,4151400,20.81
2016-08-24,22.04,22.35,21.38,21.46,2937700,21.46
2016-08-23,20.34,22.04,19.95,21.75,5997000,21.75
2016-08-22,20.87,20.88,20.20,20.37,2926100,20.37
