Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,12.93,13.05,12.34,12.56,12643900,12.56
2017-01-23,12.29,12.74,12.27,12.69,9901400,12.69
2017-01-20,11.99,12.28,11.91,12.22,11882600,12.22
2017-01-19,12.79,12.79,11.95,12.10,15930400,12.10
2017-01-18,12.99,13.38,12.25,12.61,17750000,12.61
2017-01-17,13.10,13.13,12.67,12.99,11350400,12.99
2017-01-16,13.10,13.29,13.09,13.20,5988500,13.20
2017-01-13,12.73,13.22,12.61,13.06,9680600,13.06
2017-01-12,13.00,13.07,12.67,12.80,11275000,12.80
2017-01-11,12.10,12.60,11.94,12.60,18069800,12.60
2017-01-10,12.01,12.04,11.80,11.98,8865100,11.98
2017-01-09,11.79,12.08,11.74,11.74,10316800,11.74
2017-01-06,11.70,11.84,11.50,11.73,9738700,11.73
2017-01-05,11.19,11.88,11.12,11.80,17609800,11.80
2017-01-04,11.10,11.27,10.94,11.02,9651100,11.02
2017-01-03,11.06,11.27,10.92,11.15,12321000,11.15
2017-01-02,10.70,10.97,10.54,10.84,3194600,10.84
2016-12-30,10.80,10.80,10.80,10.80,000,10.80
2016-12-29,10.86,10.90,10.56,10.80,6443900,10.80
2016-12-28,11.05,11.37,10.71,10.77,11836800,10.77
2016-12-27,10.73,11.01,10.67,10.98,8549800,10.98
2016-12-26,10.34,10.62,10.32,10.62,2542400,10.62
2016-12-23,10.45,10.54,10.25,10.30,9434500,10.30
2016-12-22,10.69,10.72,10.26,10.32,9511000,10.32
2016-12-21,10.74,10.94,10.62,10.78,10590000,10.78
2016-12-20,10.76,10.90,10.36,10.62,11187200,10.62
2016-12-19,10.87,11.34,10.52,10.54,14235900,10.54
2016-12-16,11.52,11.64,10.92,10.92,13321200,10.92
2016-12-15,11.02,11.58,10.73,11.45,13833200,11.45
2016-12-14,11.60,11.65,10.90,10.90,25656600,10.90
2016-12-13,12.11,12.23,11.67,11.69,11957600,11.69
2016-12-12,12.59,12.59,11.98,12.12,12897300,12.12
2016-12-09,13.65,13.77,12.69,12.87,15359200,12.87
2016-12-08,13.98,13.98,13.40,13.58,9746100,13.58
2016-12-07,13.45,13.79,13.26,13.72,10660100,13.72
