Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,5.78,6.00,5.75,6.00,3463500,6.00
2017-01-23,5.65,5.80,5.58,5.75,2404300,5.75
2017-01-20,5.27,5.69,5.27,5.66,2842300,5.66
2017-01-19,5.40,5.46,5.22,5.28,1777300,5.28
2017-01-18,5.57,5.62,5.36,5.39,2323800,5.39
2017-01-17,5.65,5.67,5.50,5.55,1686900,5.55
2017-01-16,5.68,5.78,5.48,5.61,2022700,5.61
2017-01-13,5.72,5.93,5.59,5.66,2876800,5.66
2017-01-12,5.60,5.79,5.57,5.73,5087200,5.73
2017-01-11,5.26,5.35,5.04,5.32,2786400,5.32
2017-01-10,5.28,5.41,5.17,5.22,1877000,5.22
2017-01-09,5.11,5.40,5.11,5.23,2463300,5.23
2017-01-06,5.20,5.23,5.03,5.15,2392100,5.15
2017-01-05,5.26,5.38,5.17,5.23,3505000,5.23
2017-01-04,4.91,5.27,4.86,5.17,5379000,5.17
2017-01-03,4.60,4.88,4.56,4.88,2989100,4.88
2017-01-02,4.55,4.60,4.46,4.51,999500,4.51
2016-12-30,4.62,4.62,4.62,4.62,000,4.62
2016-12-29,4.79,4.88,4.57,4.62,2869200,4.62
2016-12-28,4.75,4.90,4.73,4.84,3148300,4.84
2016-12-27,4.42,4.69,4.39,4.63,3506400,4.63
2016-12-26,4.16,4.38,4.15,4.31,1798800,4.31
2016-12-23,3.89,4.17,3.83,4.12,1877700,4.12
2016-12-22,4.05,4.10,3.82,3.85,1949600,3.85
2016-12-21,4.05,4.05,4.05,4.05,1556200,4.05
2016-12-20,4.23,4.34,4.06,4.15,1160900,4.15
2016-12-19,4.39,4.40,4.16,4.18,1098900,4.18
2016-12-16,4.47,4.60,4.35,4.35,1407800,4.35
2016-12-15,4.41,4.54,4.21,4.42,2080100,4.42
2016-12-14,4.60,4.85,4.36,4.39,3336900,4.39
2016-12-13,4.55,4.65,4.45,4.60,1904300,4.60
2016-12-12,4.69,4.69,4.38,4.44,1828900,4.44
2016-12-09,4.82,4.88,4.70,4.76,1769800,4.76
2016-12-08,4.90,5.02,4.67,4.77,1565200,4.77
2016-12-07,4.95,5.05,4.82,4.84,1872400,4.84
2016-12-06,4.70,4.92,4.52,4.85,2732100,4.85
2016-12-05,4.98,5.04,4.70,4.75,1573300,4.75
2016-12-02,5.00,5.04,4.70,4.93,2336000,4.93
2016-12-01,5.41,5.41,4.94,4.97,2835800,4.97
2016-11-30,5.53,5.61,5.32,5.42,3200300,5.42
2016-11-29,5.61,5.65,5.45,5.47,1648000,5.47
2016-11-28,5.73,5.79,5.54,5.60,1763500,5.60
2016-11-25,5.77,5.82,5.57,5.66,1636100,5.66
2016-11-24,5.96,6.09,5.81,5.81,1129500,5.81
2016-11-23,5.80,5.90,5.69,5.89,2097400,5.89
2016-11-22,5.67,5.89,5.54,5.79,2275600,5.79
2016-11-21,5.83,5.86,5.45,5.50,3761000,5.50
2016-11-18,5.85,5.99,5.60,5.70,2222000,5.70
2016-11-17,6.15,6.21,5.76,5.82,4620200,5.82
2016-11-16,5.70,6.26,5.63,5.93,6287200,5.93
2016-11-15,5.56,5.56,5.56,5.56,000,5.56
2016-11-14,5.49,5.70,5.14,5.56,4105300,5.56
2016-11-11,6.12,6.49,5.05,5.50,9178700,5.50
2016-11-10,7.42,7.48,5.98,5.98,11187800,5.98
2016-11-09,7.05,7.60,6.90,7.26,4492100,7.26
2016-11-08,7.84,8.07,7.57,7.67,2982500,7.67
2016-11-07,7.72,7.95,7.37,7.86,4475700,7.86
2016-11-04,7.15,7.33,6.83,6.98,4870300,6.98
2016-11-03,7.43,7.52,7.13,7.14,2380300,7.14
2016-11-02,7.43,7.43,7.43,7.43,000,7.43
2016-11-01,8.00,8.04,7.33,7.43,3028700,7.43
2016-10-31,8.01,8.05,7.60,7.86,2240500,7.86
2016-10-28,7.91,8.06,7.76,7.94,1548900,7.94
2016-10-27,8.00,8.15,7.90,7.91,2080000,7.91
2016-10-26,8.10,8.10,7.82,8.02,1749100,8.02
2016-10-25,8.36,8.44,7.71,8.09,4626700,8.09
2016-10-24,8.20,8.45,8.10,8.34,4376400,8.34
2016-10-21,7.89,8.27,7.89,8.06,5725400,8.06
2016-10-20,7.38,7.89,7.30,7.80,4095400,7.80
2016-10-19,7.38,8.09,7.21,7.55,11040100,7.55
2016-10-18,7.26,7.41,7.26,7.35,2130500,7.35
2016-10-17,7.28,7.38,7.07,7.23,2518900,7.23
2016-10-14,6.89,7.32,6.78,7.27,6577900,7.27
2016-10-13,6.60,6.83,6.41,6.75,3557100,6.75
2016-10-12,6.66,6.66,6.66,6.66,000,6.66
2016-10-11,6.89,6.90,6.61,6.66,1601600,6.66
2016-10-10,6.88,6.99,6.84,6.93,1233500,6.93
2016-10-07,6.76,6.93,6.73,6.82,2290100,6.82
