Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,27.35,27.94,27.20,27.85,3871300,27.85
2017-01-23,27.01,27.43,26.91,27.35,2800300,27.35
2017-01-20,26.25,27.16,26.14,27.07,3425000,27.07
2017-01-19,26.26,26.26,25.96,26.25,2710100,26.25
2017-01-18,26.05,26.27,26.05,26.20,1950500,26.20
2017-01-17,26.00,26.26,25.67,26.03,2997600,26.03
2017-01-16,26.07,26.35,25.80,26.08,1523800,26.08
2017-01-13,26.50,26.68,26.02,26.09,3520500,26.09
2017-01-12,26.94,27.08,26.60,26.66,4582700,26.66
2017-01-11,26.61,26.90,25.90,26.34,3326600,26.34
2017-01-10,26.79,26.92,26.49,26.59,1320300,26.59
2017-01-09,26.79,26.85,26.63,26.77,1242200,26.77
2017-01-06,27.05,27.05,26.61,26.83,1955900,26.83
2017-01-05,27.00,27.20,26.81,27.04,2362700,27.04
2017-01-04,27.10,27.20,26.75,27.06,1474100,27.06
2017-01-03,26.18,27.08,26.03,26.90,6353500,26.90
2017-01-02,26.05,26.17,25.80,26.17,1061500,26.17
2016-12-30,26.13,26.13,26.13,26.13,000,26.13
2016-12-29,26.15,26.15,25.82,26.13,1935600,26.13
2016-12-28,25.96,26.19,25.80,26.09,2246700,26.09
2016-12-27,25.80,26.30,25.72,26.03,3138800,26.03
2016-12-26,25.02,25.64,25.02,25.45,1640600,25.45
2016-12-23,24.82,25.25,24.82,24.99,3257600,24.99
2016-12-22,24.58,25.82,23.97,24.21,3456200,24.21
2016-12-21,24.58,24.58,24.58,24.58,1882800,24.58
2016-12-20,25.12,25.14,24.47,24.58,2066600,24.58
2016-12-19,25.19,25.40,24.70,24.94,4397900,24.94
2016-12-16,25.25,25.71,24.95,25.19,2001400,25.19
2016-12-15,24.67,25.40,24.32,25.11,1974900,25.11
2016-12-14,25.09,25.28,24.55,24.85,2570300,24.85
2016-12-13,24.85,25.41,24.70,25.08,1856700,25.08
2016-12-12,25.70,25.70,24.80,25.14,1959600,25.14
2016-12-09,26.01,26.18,25.44,25.89,2573600,25.89
2016-12-08,25.85,26.17,25.41,25.87,2111500,25.87
2016-12-07,26.00,26.00,25.09,25.78,2789700,25.78
2016-12-06,24.74,25.84,24.62,25.66,3397200,25.66
2016-12-05,25.08,25.20,24.63,25.02,1926700,25.02
2016-12-02,24.45,25.08,24.02,24.80,2736000,24.80
2016-12-01,25.33,25.54,24.50,24.88,4106400,24.88
2016-11-30,25.70,26.22,25.51,25.97,2990500,25.97
2016-11-29,25.63,25.68,25.26,25.47,1706900,25.47
2016-11-28,25.56,25.90,25.36,25.78,7183100,25.78
2016-11-25,25.50,26.07,25.17,25.81,1214700,25.81
2016-11-24,25.79,25.97,25.57,25.66,725600,25.66
2016-11-23,26.04,26.24,25.60,25.80,2839400,25.80
2016-11-22,25.65,26.19,25.51,26.07,7437800,26.07
