Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,9.35,9.38,9.22,9.25,15137800,9.25
2017-01-23,9.12,9.36,9.10,9.36,13566900,9.36
2017-01-20,9.05,9.17,9.03,9.13,11927400,9.13
2017-01-19,9.06,9.09,8.96,9.03,10109100,9.03
2017-01-18,9.16,9.16,8.99,9.04,14365100,9.04
2017-01-17,8.91,9.17,8.90,9.09,14769800,9.09
2017-01-16,8.91,8.97,8.85,8.91,9610800,8.91
2017-01-13,8.93,9.08,8.82,8.91,10502900,8.91
2017-01-12,8.93,9.08,8.92,9.00,21806300,9.00
2017-01-11,8.73,8.80,8.64,8.76,12464800,8.76
2017-01-10,8.79,8.85,8.62,8.70,9390500,8.70
2017-01-09,8.65,8.82,8.58,8.76,9271200,8.76
2017-01-06,8.70,8.75,8.60,8.67,11044800,8.67
2017-01-05,8.64,8.79,8.56,8.70,15646300,8.70
2017-01-04,8.51,8.63,8.49,8.62,8688900,8.62
2017-01-03,8.25,8.57,8.25,8.57,17053000,8.57
2017-01-02,8.20,8.25,8.16,8.21,4144900,8.21
2016-12-30,8.28,8.28,8.28,8.28,000,8.28
2016-12-29,8.10,8.29,8.07,8.28,14193100,8.28
2016-12-28,7.93,8.15,7.93,8.08,10462600,8.08
2016-12-27,8.03,8.04,7.94,7.97,5099700,7.97
2016-12-26,7.94,8.04,7.93,8.00,5268700,8.00
2016-12-23,7.88,8.00,7.86,7.90,18867700,7.90
2016-12-22,7.99,8.09,7.91,8.02,16533700,8.02
2016-12-21,8.00,8.02,7.90,7.96,12132200,7.96
2016-12-20,7.99,8.05,7.88,7.96,16129500,7.96
2016-12-19,8.05,8.09,7.86,7.88,19205400,7.88
2016-12-16,8.15,8.17,8.00,8.02,13925200,8.02
2016-12-15,8.06,8.20,7.98,8.06,18626100,8.06
2016-12-14,8.11,8.24,8.06,8.06,19400100,8.06
2016-12-13,8.05,8.24,8.05,8.11,20817900,8.11
2016-12-12,8.30,8.34,8.05,8.07,17035700,8.07
2016-12-09,8.39,8.50,8.33,8.40,17204900,8.40
2016-12-08,8.43,8.46,8.29,8.35,13952500,8.35
2016-12-07,8.40,8.44,8.31,8.36,17842100,8.36
2016-12-06,8.12,8.37,8.08,8.34,14471000,8.34
2016-12-05,8.24,8.28,8.12,8.16,13092200,8.16
2016-12-02,8.17,8.35,8.06,8.20,21516800,8.20
2016-12-01,8.17,8.17,8.17,8.17,30868900,8.17
2016-11-30,8.61,8.75,8.58,8.61,26194400,8.595
2016-11-29,8.65,8.70,8.51,8.51,14839100,8.49517
2016-11-28,8.61,8.74,8.52,8.68,14288000,8.66488
2016-11-25,8.59,8.62,8.49,8.60,11580800,8.58502
2016-11-24,8.75,8.78,8.63,8.64,8019300,8.62495
2016-11-23,8.84,8.90,8.71,8.71,21054200,8.69483
