Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,37.65,37.95,37.23,37.74,11361300,37.725
2017-01-23,36.55,37.83,36.45,37.83,13059300,37.81497
2017-01-20,36.69,36.94,36.31,36.60,10790000,36.58545
2017-01-19,36.71,37.11,36.19,36.49,8650900,36.4755
2017-01-18,37.15,37.15,36.52,36.69,8041600,36.67542
2017-01-17,35.90,37.06,35.79,36.98,10408900,36.9653
2017-01-16,35.98,36.12,35.70,36.01,3727900,35.99569
2017-01-13,36.60,36.92,35.73,35.98,6965900,35.9657
2017-01-12,36.60,36.85,36.30,36.73,14378600,36.7154
2017-01-11,35.99,36.15,35.45,35.82,7706700,35.80576
2017-01-10,36.10,36.33,35.57,35.75,7833300,35.73579
2017-01-09,35.35,36.00,35.18,35.87,10735100,35.85574
2017-01-06,35.54,35.87,35.21,35.70,9345100,35.68581
2017-01-05,35.09,35.98,34.81,35.58,14659200,35.56586
2017-01-04,34.80,35.23,34.71,35.10,9079500,35.08605
2017-01-03,33.84,34.97,33.78,34.95,16810000,34.93611
2017-01-02,33.45,33.74,33.31,33.53,2070100,33.51667
2016-12-30,33.85,33.85,33.85,33.85,000,33.82155
2016-12-29,33.49,33.89,33.16,33.85,7686400,33.82155
2016-12-28,32.67,33.65,32.67,33.48,6846900,33.45186
2016-12-27,33.00,33.00,32.38,32.71,8009900,32.68251
2016-12-26,32.51,32.90,32.51,32.73,2846800,32.70249
2016-12-23,31.85,32.75,31.80,32.47,12320500,32.44271
2016-12-22,31.80,32.14,31.59,32.05,15064300,31.55206
2016-12-21,32.10,32.13,31.58,31.79,9569900,31.2961
2016-12-20,31.40,32.14,31.20,31.80,14244800,31.30594
2016-12-19,32.00,32.24,31.01,31.01,13617200,30.52822
2016-12-16,32.71,32.82,31.87,31.87,13984900,31.37486
2016-12-15,32.50,32.79,31.86,32.45,17652100,31.94585
2016-12-14,32.51,33.24,32.51,32.58,15240700,32.07383
2016-12-13,32.31,33.12,32.27,32.65,20694800,32.14274
2016-12-12,33.45,33.69,32.31,32.50,22708200,31.99507
2016-12-09,34.29,34.30,33.70,33.90,17703300,33.37332
2016-12-08,34.40,34.40,33.69,33.80,9141300,33.27487
2016-12-07,34.70,34.70,33.81,34.00,13955800,33.47177
2016-12-06,33.61,34.55,33.41,34.27,12093600,33.73757
2016-12-05,34.06,34.27,33.60,33.82,6971200,33.29456
2016-12-02,33.80,34.61,33.04,33.94,13204800,33.4127
2016-12-01,33.80,33.80,33.80,33.80,23880000,33.27487
2016-11-30,35.20,36.00,35.16,35.42,12676200,34.85493
2016-11-29,35.35,35.53,34.74,34.74,7301000,34.18579
2016-11-28,34.87,35.73,34.59,35.60,7352200,35.03206
2016-11-25,34.67,35.00,34.52,34.86,8013700,34.30387
2016-11-24,35.58,35.60,34.98,35.10,3836600,34.54004
2016-11-23,35.59,35.90,35.13,35.47,7042500,34.90414
2016-11-22,36.20,36.33,35.32,35.80,12858600,35.22887
2016-11-21,35.65,35.86,35.38,35.68,12292600,35.11079
2016-11-18,34.92,35.88,34.92,35.39,9208500,34.82541
2016-11-17,36.45,36.45,34.87,35.06,15608800,34.50068
2016-11-16,35.26,36.14,34.62,36.14,19153100,35.56345
2016-11-15,34.44,34.44,34.44,34.44,000,33.89057
2016-11-14,34.36,35.24,33.91,34.44,17452700,33.89057
2016-11-11,34.65,35.66,34.24,34.65,26539000,34.09722
2016-11-10,36.88,37.29,34.57,35.10,29415800,34.54004
2016-11-09,36.60,37.94,36.50,36.94,19455100,36.35069
2016-11-08,38.07,38.74,37.64,38.16,9559800,37.55122
2016-11-07,37.52,38.30,37.26,38.07,11313500,37.46266
2016-11-04,36.54,37.43,36.26,36.75,13763700,36.16372
2016-11-03,37.00,37.85,36.45,36.45,16343000,35.86851
2016-11-02,37.25,37.25,37.25,37.25,000,36.65574
2016-11-01,38.73,38.73,37.03,37.25,17729600,36.65574
