Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,13.58,14.05,13.47,13.93,6866300,13.93
2017-01-23,13.85,13.95,13.46,13.55,14176700,13.55
2017-01-20,14.07,14.25,13.94,14.18,6448400,14.18
2017-01-19,14.27,14.46,14.00,14.05,8230200,14.05
2017-01-18,14.57,14.61,13.98,14.29,6281200,14.29
2017-01-17,14.13,14.96,13.98,14.67,9168700,14.67
2017-01-16,14.04,14.21,13.91,14.10,3812600,14.10
2017-01-13,13.94,14.06,13.71,14.03,5223700,14.03
2017-01-12,13.39,14.21,13.39,13.73,16629100,13.73
2017-01-11,13.43,13.54,12.93,13.18,6977500,13.18
2017-01-10,13.60,13.65,13.36,13.39,11614500,13.39
2017-01-09,13.65,13.68,13.31,13.51,4209300,13.51
2017-01-06,13.70,13.70,13.34,13.60,6398600,13.60
2017-01-05,13.83,13.96,13.56,13.70,3851600,13.70
2017-01-04,13.79,14.09,13.60,13.88,5852700,13.88
2017-01-03,13.33,13.96,13.25,13.96,7067800,13.96
2017-01-02,13.20,13.30,13.08,13.30,2251300,13.30
2016-12-30,13.33,13.33,13.33,13.33,000,13.33
2016-12-29,13.30,13.33,12.95,13.33,4741200,13.33
2016-12-28,13.14,13.27,12.94,13.27,3622100,13.27
2016-12-27,13.27,13.31,12.96,13.15,3545400,13.15
2016-12-26,13.03,13.26,13.00,13.23,1256800,13.23
2016-12-23,12.90,13.12,12.80,13.03,5100100,13.03
2016-12-22,12.35,12.90,12.21,12.90,12677800,12.90
2016-12-21,12.35,12.35,12.35,12.35,5736800,12.35
2016-12-20,12.40,12.55,12.17,12.28,6856300,12.28
2016-12-19,12.12,12.39,12.12,12.22,30203200,12.22
2016-12-16,12.31,12.43,12.12,12.12,15591100,12.12
2016-12-15,12.25,12.33,11.92,12.20,20793900,12.20
2016-12-14,13.00,13.18,12.20,12.20,20408700,12.20
2016-12-13,12.38,13.17,12.38,13.10,14747400,13.10
2016-12-12,12.90,13.11,12.40,12.40,14935800,12.40
2016-12-09,13.72,13.77,12.97,13.04,13806200,13.04
2016-12-08,14.15,14.26,13.52,13.66,6192900,13.66
2016-12-07,14.49,14.57,14.01,14.05,11847900,14.05
2016-12-06,13.70,14.35,13.63,14.23,7591100,14.23
2016-12-05,14.05,14.15,13.76,13.81,5290100,13.81
2016-12-02,13.66,14.09,13.66,14.00,5100900,14.00
2016-12-01,13.97,14.20,13.54,14.00,14208600,14.00
2016-11-30,14.25,14.57,14.10,14.45,7741300,14.45
2016-11-29,14.74,14.97,13.95,13.95,5330200,13.95
2016-11-28,13.98,14.95,13.97,14.80,4217400,14.80
2016-11-25,14.15,14.33,13.97,14.07,6288800,14.07
2016-11-24,14.72,14.72,14.33,14.46,1907300,14.46
2016-11-23,15.30,15.30,14.43,14.72,6246700,14.72
2016-11-22,14.60,15.30,14.53,15.20,10748400,15.20
2016-11-21,13.93,14.62,13.88,14.40,5466900,14.40
2016-11-18,14.07,14.48,13.85,13.85,8739600,13.85
2016-11-17,14.85,14.90,14.20,14.23,5952200,14.23
2016-11-16,14.36,14.76,14.16,14.76,10501900,14.68458
2016-11-15,14.50,14.50,14.50,14.50,000,14.42591
2016-11-14,13.67,14.67,13.67,14.50,10044000,14.42591
2016-11-11,13.65,14.38,13.65,13.87,12407500,13.79913
2016-11-10,14.84,15.06,13.80,13.80,17325900,13.72949
2016-11-09,15.23,15.54,14.85,15.11,7611500,15.03279
2016-11-08,15.50,15.83,15.20,15.83,5761000,15.74912
2016-11-07,15.10,15.60,15.00,15.50,6606600,15.4208
2016-11-04,15.20,15.38,14.79,14.81,5244600,14.73433
2016-11-03,15.34,15.85,15.03,15.04,8832400,14.96315
2016-11-02,15.51,15.51,15.51,15.51,000,15.43075
2016-11-01,16.01,16.20,15.39,15.51,16435500,15.43075
2016-10-31,15.58,16.06,15.56,15.90,10504200,15.81876
2016-10-28,15.73,15.92,15.30,15.58,7068500,15.50039
2016-10-27,15.82,15.99,15.65,15.70,6885300,15.61978
2016-10-26,16.00,16.00,15.66,15.73,7816800,15.64963
2016-10-25,16.25,16.32,15.31,15.83,18792300,15.74912
2016-10-24,16.59,16.90,16.11,16.16,12849600,16.07743
2016-10-21,16.40,16.59,16.24,16.55,4791300,16.46544
2016-10-20,16.85,16.85,16.32,16.50,9356100,16.41569
2016-10-19,16.82,17.08,16.70,16.90,25795900,16.81365
2016-10-18,15.91,16.68,15.91,16.58,9621900,16.49528
2016-10-17,15.72,15.96,15.61,15.90,4867400,15.81876
2016-10-14,15.69,15.90,15.67,15.78,8331700,15.69937
2016-10-13,15.89,15.99,15.47,15.55,12425500,15.47055
2016-10-12,15.95,15.95,15.95,15.95,000,15.8685
2016-10-11,16.00,16.04,15.63,15.95,11634600,15.8685
2016-10-10,15.90,16.05,15.74,16.00,6983100,15.91825
2016-10-07,15.87,15.90,15.47,15.70,9304100,15.61978
2016-10-06,15.65,15.87,15.43,15.87,6328900,15.78891
2016-10-05,15.29,15.75,15.13,15.65,5017500,15.57004
