Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,36.45,38.29,36.28,37.60,2338000,37.60
2017-01-23,36.85,37.20,36.29,36.50,2418800,36.50
2017-01-20,37.25,37.35,36.28,36.85,1500000,36.85
2017-01-19,36.92,37.32,36.08,37.00,1469000,37.00
2017-01-18,37.89,37.96,36.44,36.75,1506000,36.75
2017-01-17,37.90,38.15,37.45,37.75,1476000,37.75
2017-01-16,38.30,38.49,37.72,37.98,632400,37.98
2017-01-13,38.81,38.95,37.71,38.21,1608700,38.21
2017-01-12,37.74,39.31,37.60,39.00,3582300,39.00
2017-01-11,36.48,36.84,35.65,36.39,999600,36.39
2017-01-10,37.14,37.26,36.40,36.55,2147600,36.55
2017-01-09,36.61,38.05,36.20,36.85,1473200,36.85
2017-01-06,36.43,36.43,35.86,36.42,582700,36.42
2017-01-05,37.30,37.32,36.13,36.43,907200,36.43
2017-01-04,36.05,37.13,35.82,36.99,1134000,36.99
2017-01-03,35.26,36.45,34.95,36.41,1172500,36.41
2017-01-02,33.90,35.10,33.74,34.94,552700,34.94
2016-12-30,34.22,34.22,34.22,34.22,000,34.22
2016-12-29,33.16,34.22,32.82,34.22,1072200,34.22
2016-12-28,33.70,34.07,32.99,33.10,1210800,33.10
2016-12-27,34.18,34.26,33.32,33.86,592200,33.86
2016-12-26,34.44,34.63,33.58,33.99,374500,33.99
2016-12-23,33.98,35.05,33.47,34.49,501300,34.49
2016-12-22,33.96,34.15,33.25,33.84,1072400,33.61634
2016-12-21,33.96,33.96,33.96,33.96,545600,33.73554
2016-12-20,33.36,33.44,33.00,33.27,986400,33.05011
2016-12-19,33.01,33.70,32.89,33.17,773400,32.95077
2016-12-16,33.50,33.93,33.00,33.00,962400,32.78189
2016-12-15,33.66,33.75,32.50,33.22,1193000,33.00044
2016-12-14,34.77,34.84,33.73,34.01,1213000,33.78521
2016-12-13,33.50,34.69,32.89,34.69,1133000,34.46072
2016-12-12,34.43,34.43,33.31,33.89,494200,33.66601
2016-12-09,35.59,36.07,34.41,35.00,1473800,34.76867
2016-12-08,36.00,36.01,34.73,35.41,1018800,35.17596
2016-12-07,34.55,36.01,34.24,35.70,2052800,35.46405
2016-12-06,33.30,34.68,33.15,34.52,4112100,34.29184
2016-12-05,32.65,32.89,31.56,32.00,1756300,31.7885
2016-12-02,31.86,33.38,31.50,32.79,1455100,32.57328
2016-12-01,34.39,34.39,31.92,32.50,2036400,32.2852
2016-11-30,33.89,34.98,33.58,34.66,2140400,34.43092
2016-11-29,35.68,35.78,33.31,33.31,2402200,33.08984
2016-11-28,35.66,36.18,35.32,35.76,967200,35.52365
2016-11-25,35.41,36.08,35.24,35.80,550300,35.56338
2016-11-24,36.42,36.70,35.93,36.20,363100,35.96074
2016-11-23,36.62,36.74,35.52,36.72,1785700,36.4773
2016-11-22,35.51,36.87,35.00,36.63,2274800,36.3879
2016-11-21,34.02,35.09,33.54,34.93,1769900,34.69913
2016-11-18,33.30,34.30,33.30,33.60,867500,33.37792
2016-11-17,35.63,35.67,33.50,33.66,1544400,33.43753
2016-11-16,34.53,35.70,33.87,35.11,1381800,34.87795
2016-11-15,34.95,34.95,34.95,34.95,000,34.719
2016-11-14,34.70,35.60,33.87,34.95,1725700,34.719
2016-11-11,35.30,36.65,34.04,35.18,1776600,34.94748
2016-11-10,37.85,38.28,34.57,36.11,1768700,35.87134
2016-11-09,37.96,38.51,36.60,37.80,777900,37.55016
2016-11-08,40.04,40.10,38.40,38.75,656600,38.49389
2016-11-07,38.55,39.88,38.18,39.88,533600,39.61642
2016-11-04,37.62,38.50,37.43,38.15,860000,37.89785
2016-11-03,37.75,38.03,37.27,37.62,1727000,37.37135
2016-11-02,37.75,37.75,37.75,37.75,000,37.5005
2016-11-01,39.95,39.95,37.60,37.75,1503500,37.5005
2016-10-31,39.90,40.09,39.28,39.63,1066200,39.36807
2016-10-28,39.33,40.22,39.15,40.10,1148100,39.83496
2016-10-27,40.00,40.46,39.09,39.10,1005500,38.84157
2016-10-26,40.61,41.00,39.73,40.00,1158400,39.73562
2016-10-25,39.10,40.67,39.10,40.61,1861700,40.34159
2016-10-24,41.12,41.43,39.02,39.02,1372000,38.7621
2016-10-21,42.40,42.60,40.51,40.80,1952900,40.53034
2016-10-20,41.76,42.60,41.15,42.60,551700,42.31844
2016-10-19,41.00,42.17,40.61,41.72,1649300,41.44426
2016-10-18,40.42,41.00,40.12,41.00,1671600,40.72902
2016-10-17,40.80,40.91,40.35,40.40,1005700,40.13298
2016-10-14,42.05,42.28,40.37,40.80,742700,40.53034
2016-10-13,40.89,42.08,40.60,41.60,1696700,41.32505
2016-10-12,41.10,41.10,41.10,41.10,000,40.82835
2016-10-11,41.20,41.40,40.80,41.10,798200,40.82835
2016-10-10,41.70,41.83,40.72,41.12,558900,40.84822
2016-10-07,41.20,41.49,40.20,41.49,743300,41.21578
2016-10-06,41.10,41.25,40.54,41.00,633100,40.72902
2016-10-05,41.08,41.44,40.94,41.25,728700,40.97736
2016-10-04,41.05,41.06,40.44,40.90,902500,40.62968
2016-10-03,39.62,41.04,39.50,40.93,648500,40.65948
2016-09-30,39.89,40.49,39.66,39.66,798600,39.24026
2016-09-29,40.15,40.72,39.38,39.69,989800,39.26995
2016-09-28,40.08,40.71,39.55,39.99,697700,39.56677
2016-09-27,40.09,40.58,39.40,39.83,818500,39.40847
2016-09-26,39.80,40.47,39.54,40.09,462800,39.66571
2016-09-23,40.65,41.10,39.89,40.27,742600,39.84381
2016-09-22,42.02,42.25,40.27,40.73,1404400,40.29894
2016-09-21,41.42,41.76,39.58,41.76,1093500,41.31804
2016-09-20,40.70,41.41,39.90,41.36,672200,40.92227
2016-09-19,40.00,40.59,39.87,40.28,790700,39.8537
2016-09-16,39.57,40.10,39.04,39.90,826900,39.47773
2016-09-15,39.89,40.04,39.29,39.57,663900,39.15122
2016-09-14,39.83,40.42,39.35,39.63,570200,39.21058
2016-09-13,40.51,40.75,39.42,40.21,1529600,39.78444
2016-09-12,40.78,41.30,40.36,41.20,590400,40.76397
2016-09-09,42.72,43.30,40.96,40.98,1421200,40.54629
2016-09-08,43.48,43.48,42.39,43.33,763700,42.87143
2016-09-07,43.12,43.12,43.12,43.12,000,42.66365
2016-09-06,42.66,43.25,41.73,43.12,1315700,42.66365
2016-09-05,42.26,42.70,41.62,42.20,477600,41.75338
2016-09-02,41.10,42.05,40.76,42.05,811100,41.60497
2016-09-01,40.10,41.10,39.88,40.64,661200,40.20989
2016-08-31,40.47,40.86,39.59,40.31,808200,39.88339
2016-08-30,40.50,40.76,39.98,40.69,540900,40.25936
2016-08-29,39.46,40.93,39.46,40.48,1183400,40.05159
2016-08-26,40.06,40.47,39.10,39.65,1086000,39.23037
2016-08-25,40.62,40.62,39.71,39.75,1154400,39.32931
2016-08-24,39.64,40.91,39.64,40.42,514000,39.99222
2016-08-23,40.38,41.11,40.11,40.30,714900,39.87349
2016-08-22,40.95,41.10,40.38,40.46,294200,40.0318
2016-08-19,41.18,41.45,40.57,41.43,567700,40.99153
2016-08-18,42.41,42.59,41.30,41.50,525600,41.06079
2016-08-17,41.77,42.19,40.34,42.19,1527900,41.74349
2016-08-16,42.90,42.92,41.71,42.00,496500,41.5555
2016-08-15,42.27,43.04,42.26,42.90,607800,42.44598
2016-08-12,43.23,43.92,42.06,42.20,751900,41.75338
2016-08-11,42.42,43.67,42.30,43.50,740700,43.03962
2016-08-10,43.00,43.25,42.28,42.58,416600,42.12936
2016-08-09,41.89,42.92,41.89,42.75,528700,42.29756
2016-08-08,42.02,42.23,41.63,41.93,345800,41.48624
2016-08-05,41.61,42.52,41.15,42.10,924600,41.65444
2016-08-04,40.75,41.70,40.05,41.20,823600,40.76397
2016-08-03,39.57,40.66,38.80,40.62,599600,40.1901
2016-08-02,40.03,40.31,39.43,39.84,954600,39.41836
2016-08-01,40.30,40.58,39.65,40.49,666200,40.06148
2016-07-29,39.11,40.30,38.65,40.30,1021600,39.87349
2016-07-28,38.61,39.00,37.09,39.00,761700,38.58725
2016-07-27,38.11,38.20,37.97,38.15,1732800,37.74625
2016-07-26,38.23,38.36,37.81,38.20,938500,37.79572
2016-07-25,38.72,38.73,37.69,38.35,1523200,37.94413
2016-07-22,37.90,39.13,37.67,38.80,2922900,38.38937
2016-07-21,37.11,37.34,35.96,36.77,502300,36.38085
2016-07-20,37.28,37.36,36.52,36.88,924500,36.48969
2016-07-19,36.90,37.19,36.35,37.11,1055600,36.71725
2016-07-18,36.55,37.10,36.55,36.90,1990700,36.50948
2016-07-15,35.46,36.32,35.32,36.20,898900,35.81688
2016-07-14,35.36,36.08,35.02,35.50,1496200,35.12429
2016-07-13,34.85,35.25,34.43,34.96,817600,34.59001
2016-07-12,35.00,35.45,34.61,35.10,956400,34.72852
2016-07-11,34.70,35.00,34.23,34.63,426600,34.2635
2016-07-08,33.71,34.92,33.71,34.70,644500,34.33276
2016-07-07,33.74,33.96,33.21,33.71,607300,33.35323
2016-07-06,33.18,33.51,32.74,33.40,853700,33.04652
2016-07-05,34.64,34.64,32.77,33.15,928600,32.79916
2016-07-04,34.90,34.98,34.18,34.68,231800,34.31297
2016-07-01,34.36,35.07,34.36,34.80,1060700,34.4317
2016-06-30,34.49,34.73,33.99,34.50,1627600,33.96015
2016-06-29,35.56,35.77,34.53,34.87,913200,34.32436
2016-06-28,34.98,35.47,34.74,35.16,1405000,34.60982
2016-06-27,33.81,34.94,33.68,34.44,801600,33.90109
2016-06-24,33.90,34.63,33.59,34.43,628000,33.89124
2016-06-23,35.00,35.80,34.42,35.30,807100,34.74763
2016-06-22,36.72,36.77,34.33,34.70,1131300,34.15702
2016-06-21,34.70,36.85,34.65,36.76,1576000,36.18478
2016-06-20,34.76,35.14,34.44,34.93,736900,34.38342
2016-06-17,33.61,34.56,33.61,34.10,871400,33.56641
2016-06-16,32.50,33.65,32.17,33.65,511400,33.12345
2016-06-15,32.41,33.08,31.68,32.78,1140000,32.26706
2016-06-14,33.17,33.26,32.17,32.40,910700,31.89301
2016-06-13,32.90,33.38,32.55,33.28,569200,32.75924
2016-06-10,33.52,33.79,33.21,33.41,794100,32.8872
2016-06-09,33.17,33.80,32.81,33.52,2666000,32.99548
2016-06-08,32.41,33.59,32.32,33.25,4321300,32.72971
2016-06-07,33.26,33.60,32.15,32.34,1008900,31.83395
2016-06-06,34.04,34.34,32.92,33.50,584600,32.9758
2016-06-03,33.22,33.90,33.22,33.87,1240300,33.34
2016-06-02,33.22,33.23,32.66,33.05,989000,32.53284
2016-06-01,33.60,33.68,32.52,33.19,858400,32.67065
2016-05-31,32.27,33.49,32.27,33.25,1705300,32.72971
2016-05-30,32.74,33.00,31.99,32.52,855600,32.01113
2016-05-27,33.52,34.03,32.67,32.69,541800,32.17847
2016-05-26,33.60,33.60,33.60,33.60,000,33.07423
2016-05-25,33.75,34.11,33.50,33.60,617400,33.07423
2016-05-24,33.50,34.07,33.28,33.80,438800,33.2711
2016-05-23,33.37,33.55,32.65,33.29,743600,32.76908
2016-05-20,34.02,34.44,33.72,33.90,1442300,33.36954
2016-05-19,32.90,34.00,32.90,33.90,896000,33.36954
2016-05-18,33.19,34.06,32.80,33.30,1493700,32.77892
2016-05-17,35.32,35.79,33.22,33.42,920700,32.89705
2016-05-16,36.59,36.59,35.23,35.23,750800,34.67872
2016-05-13,36.36,36.68,35.62,36.48,1161200,35.90916
2016-05-12,36.65,37.09,36.13,36.75,1320700,36.17494
