Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,18.34,18.40,17.82,17.87,2898300,17.87
2017-01-23,18.01,18.30,18.01,18.26,1751100,18.26
2017-01-20,17.72,17.99,17.64,17.97,1361300,17.97
2017-01-19,17.85,17.85,17.42,17.66,1137900,17.66
2017-01-18,17.71,17.92,17.55,17.72,1112100,17.72
2017-01-17,17.86,17.94,17.66,17.80,1750200,17.80
2017-01-16,17.68,17.95,17.68,17.85,1224400,17.85
2017-01-13,17.79,17.99,17.52,17.66,2816300,17.66
2017-01-12,16.95,17.77,16.95,17.66,11919700,17.66
2017-01-11,16.88,17.03,16.30,16.45,3556700,16.45
2017-01-10,16.86,17.18,16.75,16.85,1533000,16.85
2017-01-09,16.72,17.00,16.72,16.83,1181900,16.83
2017-01-06,16.87,16.95,16.70,16.85,1371400,16.85
2017-01-05,16.86,17.11,16.80,16.89,2244800,16.89
2017-01-04,16.70,17.35,16.70,16.87,2379600,16.84545
2017-01-03,16.75,17.13,16.73,16.90,8017900,16.87541
2017-01-02,16.85,16.85,16.56,16.63,1251900,16.6058
2016-12-30,17.00,17.00,17.00,17.00,000,16.97526
2016-12-29,17.07,17.09,16.74,17.00,3081600,16.97526
2016-12-28,16.97,17.02,16.79,16.95,2124600,16.92534
2016-12-27,16.85,16.90,16.59,16.90,1099000,16.87541
2016-12-26,16.69,16.85,16.55,16.75,613900,16.72563
2016-12-23,16.29,16.78,16.11,16.55,1586200,16.52592
2016-12-22,16.22,16.40,15.76,16.13,1312200,16.10653
2016-12-21,16.22,16.22,16.22,16.22,2034100,16.1964
2016-12-20,15.69,16.13,15.37,15.77,1575200,15.74705
2016-12-19,15.88,15.92,15.50,15.59,1390600,15.56731
2016-12-16,15.65,16.11,15.55,15.76,2684000,15.73707
2016-12-15,15.59,15.66,15.09,15.45,2643700,15.42752
2016-12-14,16.48,17.30,15.45,15.45,3747900,15.42752
2016-12-13,16.10,16.62,15.41,16.47,3181400,16.44603
2016-12-12,16.19,16.32,15.80,16.10,1284700,16.07657
2016-12-09,16.81,16.90,16.12,16.31,2854400,16.28627
2016-12-08,17.05,17.47,16.42,16.60,2553100,16.57584
2016-12-07,16.21,17.07,16.16,16.81,3901900,16.78554
2016-12-06,15.12,16.04,15.01,16.00,3370300,15.97672
