Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,24.85,25.02,24.23,24.23,3054000,24.23
2017-01-23,24.00,24.89,23.96,24.78,2716000,24.78
2017-01-20,23.65,24.29,23.38,24.01,2182900,24.01
2017-01-19,23.80,23.88,23.50,23.65,2023600,23.65
2017-01-18,24.37,24.37,23.70,23.80,1315800,23.80
2017-01-17,23.94,24.19,23.62,23.86,3343600,23.86
2017-01-16,23.86,24.25,23.76,24.11,723800,24.11
2017-01-13,24.14,24.80,23.87,24.11,3678700,24.11
2017-01-12,23.77,24.83,23.62,24.44,6128000,24.44
2017-01-11,23.01,23.10,22.52,22.91,1821400,22.91
2017-01-10,23.15,23.27,22.72,22.90,1291700,22.90
2017-01-09,23.14,23.28,22.94,22.95,1590100,22.95
2017-01-06,23.42,23.42,22.94,23.15,1753900,23.15
2017-01-05,23.74,23.89,23.37,23.42,2941500,23.42
2017-01-04,23.95,24.19,23.39,23.64,2190000,23.64
2017-01-03,23.30,24.00,22.94,23.85,2440100,23.85
2017-01-02,22.90,23.19,22.81,23.14,554600,23.14
2016-12-30,23.17,23.17,23.17,23.17,000,23.17
2016-12-29,23.24,23.33,22.78,23.17,1764100,23.17
2016-12-28,22.60,23.30,22.40,23.24,2253600,23.24
2016-12-27,22.07,22.60,21.70,22.60,3137600,22.60
2016-12-26,21.60,21.91,21.52,21.80,562000,21.80
2016-12-23,21.35,22.00,21.35,21.51,1698000,21.51
2016-12-22,21.56,21.69,21.11,21.35,2040800,21.35
2016-12-21,21.56,21.56,21.56,21.56,5078700,21.56
2016-12-20,22.78,22.82,21.82,21.88,3605300,21.88
2016-12-19,22.86,22.98,22.45,22.56,2244300,22.56
2016-12-16,22.66,22.92,22.44,22.66,2941000,22.66
2016-12-15,22.73,22.73,22.14,22.52,2880400,22.4474
2016-12-14,22.64,22.94,22.58,22.70,3651500,22.62682
2016-12-13,22.17,22.86,22.01,22.80,4028200,22.7265
2016-12-12,22.20,22.50,21.80,22.23,1788500,22.15833
2016-12-09,22.46,22.76,22.00,22.54,3213700,22.46734
2016-12-08,22.60,22.60,22.07,22.35,2752400,22.27795
2016-12-07,22.05,22.50,21.74,22.32,3651600,22.24804
2016-12-06,21.38,22.21,21.18,21.77,4711200,21.69982
2016-12-05,22.00,22.00,21.33,21.69,2748200,21.62008
2016-12-02,21.34,21.98,21.04,21.80,3432400,21.72972
2016-12-01,22.14,22.40,21.37,21.68,7799200,21.61011
2016-11-30,22.88,23.20,22.15,22.48,2595300,22.40753
2016-11-29,23.43,23.46,22.42,22.42,2901900,22.34772
2016-11-28,22.60,23.43,22.42,23.43,2716300,23.35447
2016-11-25,22.39,22.83,22.37,22.75,1562200,22.67666
2016-11-24,22.60,22.98,22.53,22.85,2007000,22.77634
2016-11-23,22.79,22.93,22.37,22.45,2837300,22.37763
2016-11-22,23.27,23.62,22.93,22.93,2271700,22.85608
2016-11-21,22.78,23.07,22.36,22.93,2555600,22.85608
2016-11-18,23.00,23.17,22.58,22.80,2450100,22.7265
2016-11-17,23.50,23.54,22.76,22.84,7312900,22.76637
2016-11-16,23.25,23.72,22.92,23.50,2760300,23.42424
2016-11-15,23.23,23.23,23.23,23.23,000,23.15511
2016-11-14,22.50,23.67,22.28,23.23,4338800,23.15511
2016-11-11,23.00,23.74,22.50,22.78,7176200,22.70656
2016-11-10,24.28,24.50,23.06,23.30,5142100,23.22489
2016-11-09,24.39,24.80,24.02,24.50,2022400,24.42102
2016-11-08,25.20,25.33,24.64,24.89,1968100,24.80976
2016-11-07,24.51,25.39,24.38,25.09,3055100,25.00912
2016-11-04,25.05,25.27,24.17,24.29,7162800,24.2117
2016-11-03,26.20,26.32,25.02,25.02,4539400,24.93934
2016-11-02,26.20,26.20,26.20,26.20,000,26.11554
2016-11-01,26.95,27.00,26.07,26.20,2341600,26.11554
2016-10-31,26.68,27.07,26.40,27.00,2856600,26.91296
2016-10-28,26.15,26.73,26.15,26.50,1507000,26.41457
2016-10-27,26.70,27.04,26.30,26.40,3184200,26.31489
2016-10-26,26.93,27.20,26.34,26.75,4606800,26.66376
2016-10-25,26.36,27.29,26.15,26.91,5777400,26.82325
2016-10-24,26.90,27.20,26.70,26.90,1594700,26.81328
2016-10-21,26.81,27.25,26.61,26.90,2175900,26.81328
