Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,12.00,12.09,11.92,11.98,1457300,11.64
2017-01-23,12.02,12.08,11.88,12.00,1660700,11.65943
2017-01-20,12.02,12.20,11.88,12.00,4181800,11.65943
2017-01-19,11.95,12.15,11.87,11.97,5559500,11.63028
2017-01-18,11.91,12.12,11.85,11.86,4108700,11.52341
2017-01-17,11.49,11.90,11.45,11.81,4890300,11.47483
2017-01-16,11.60,11.62,11.42,11.48,2617700,11.15419
2017-01-13,11.48,11.73,11.41,11.58,3458300,11.25135
2017-01-12,11.80,11.97,11.56,11.57,6542800,11.24164
2017-01-11,11.68,11.71,11.43,11.51,2470300,11.18334
2017-01-10,11.56,11.65,11.49,11.54,4653100,11.21249
2017-01-09,11.45,11.59,11.45,11.46,5354700,11.13476
2017-01-06,11.35,11.42,11.25,11.36,2478800,11.0376
2017-01-05,11.35,11.43,11.26,11.35,4850100,11.02788
2017-01-04,11.19,11.34,11.19,11.30,6293700,10.9793
2017-01-03,11.18,11.42,11.15,11.30,4637800,10.9793
2017-01-02,10.83,11.18,10.83,11.05,984100,10.73639
2016-12-30,10.94,10.94,10.94,10.94,000,10.62952
2016-12-29,10.91,10.99,10.83,10.94,1426200,10.62952
2016-12-28,10.89,11.03,10.79,10.95,1146900,10.63923
2016-12-27,10.92,10.98,10.72,10.81,1323400,10.50321
2016-12-26,10.82,10.85,10.72,10.82,545600,10.51292
2016-12-23,10.85,10.85,10.56,10.74,1626000,10.43519
2016-12-22,10.76,10.89,10.68,10.75,1535300,10.44491
2016-12-21,10.76,10.76,10.76,10.76,1350000,10.45462
2016-12-20,10.98,10.98,10.57,10.66,2722800,10.35746
2016-12-19,11.20,11.20,10.86,10.93,5665100,10.6198
2016-12-16,10.98,11.23,10.83,11.14,4214500,10.82384
2016-12-15,10.92,11.00,10.73,10.92,1729300,10.61008
2016-12-14,11.02,11.06,10.79,10.90,2223400,10.59065
2016-12-13,10.78,11.17,10.67,11.00,3000200,10.68781
2016-12-12,10.73,10.94,10.66,10.75,2233600,10.44491
2016-12-09,10.89,10.93,10.62,10.73,1895800,10.42548
2016-12-08,11.04,11.04,10.71,10.83,2659500,10.52264
2016-12-07,11.09,11.10,10.73,10.87,3333000,10.5615
2016-12-06,10.65,11.04,10.44,10.93,3789400,10.6198
2016-12-05,10.98,11.08,10.66,10.77,2375600,10.46434
2016-12-02,10.90,11.06,10.68,10.92,3756900,10.61008
2016-12-01,11.40,11.49,10.90,11.00,3718500,10.68781
2016-11-30,11.40,11.60,11.28,11.56,3100500,11.23192
2016-11-29,11.27,11.44,11.22,11.22,1408000,10.90157
2016-11-28,11.35,11.50,11.32,11.37,1511300,11.04731
2016-11-25,11.36,11.46,11.29,11.45,914100,11.12504
2016-11-24,11.48,11.61,11.44,11.46,1442800,11.13476
2016-11-23,11.45,11.55,11.31,11.40,2206200,11.07646
2016-11-22,11.83,11.86,11.39,11.46,2651900,11.13476
2016-11-21,11.28,11.65,11.12,11.57,2457000,11.24164
2016-11-18,11.46,11.52,11.21,11.35,2292700,11.02788
2016-11-17,11.84,11.94,11.44,11.54,2386400,11.21249
2016-11-16,11.57,11.92,11.46,11.70,1906000,11.36795
2016-11-15,11.64,11.64,11.64,11.64,000,11.30965
2016-11-14,11.54,11.70,11.02,11.64,3717800,11.30965
2016-11-11,11.95,12.27,11.54,11.62,5738500,11.29022
2016-11-10,12.60,12.60,11.45,12.26,4313600,11.91205
2016-11-09,11.98,12.53,11.87,12.45,2917800,12.09666
2016-11-08,12.12,12.62,12.11,12.54,1913100,12.18411
2016-11-07,12.00,12.34,11.91,12.28,3048800,11.93149
2016-11-04,11.88,12.07,11.73,11.85,1574600,11.51369
2016-11-03,12.03,12.33,11.70,11.85,3485900,11.51369
2016-11-02,12.21,12.21,12.21,12.21,000,11.86347
2016-11-01,12.41,12.53,12.01,12.21,2801000,11.86347
2016-10-31,12.56,12.56,12.23,12.36,2027200,12.00922
2016-10-28,12.64,12.79,12.33,12.53,1773000,12.17439
2016-10-27,12.58,12.81,12.56,12.75,1595600,12.38815
2016-10-26,12.54,12.70,12.38,12.65,1611000,12.29098
2016-10-25,12.79,12.80,12.35,12.55,2414100,12.19382
2016-10-24,12.49,12.82,12.48,12.73,1647600,12.36871
2016-10-21,12.56,12.60,12.31,12.48,2848700,12.12581
2016-10-20,12.63,12.63,12.35,12.52,1389700,12.16467
2016-10-19,12.70,12.74,12.43,12.61,1220800,12.25212
2016-10-18,12.29,12.72,12.05,12.60,3044600,12.2424
2016-10-17,12.06,12.27,12.04,12.27,3393200,11.92177
2016-10-14,12.14,12.26,12.03,12.03,1847800,11.68858
2016-10-13,12.28,12.28,11.81,11.98,2811700,11.64
2016-10-12,12.26,12.26,12.26,12.26,000,11.91205
2016-10-11,12.14,12.35,12.14,12.26,2099600,11.91205
2016-10-10,12.24,12.38,12.00,12.18,1662300,11.83432
2016-10-07,12.14,12.30,12.01,12.18,2821000,11.83432
2016-10-06,12.09,12.11,11.93,12.07,981600,11.72745
2016-10-05,11.92,12.22,11.92,12.08,2063900,11.73716
2016-10-04,11.95,12.13,11.73,11.88,1371500,11.54284
2016-10-03,12.04,12.04,11.78,11.95,1315500,11.61085
2016-09-30,12.08,12.12,11.86,11.94,2005500,11.60113
2016-09-29,11.92,12.23,11.84,11.99,1315600,11.64972
2016-09-28,11.77,12.03,11.77,12.02,1189100,11.67887
2016-09-27,11.60,11.83,11.51,11.74,1278200,11.40681
2016-09-26,11.67,11.67,11.37,11.56,2278400,11.23192
2016-09-23,11.94,12.03,11.63,11.78,1841800,11.44568
2016-09-22,12.07,12.14,11.93,11.98,977800,11.64
2016-09-21,11.79,12.13,11.72,11.95,1735000,11.61085
2016-09-20,11.71,11.85,11.57,11.72,1675300,11.38738
2016-09-19,11.84,11.91,11.65,11.75,1158900,11.41653
2016-09-16,11.71,11.76,11.50,11.74,854700,11.40681
2016-09-15,11.70,11.82,11.61,11.77,996500,11.43596
2016-09-14,11.61,11.76,11.53,11.70,1244600,11.36795
2016-09-13,11.70,11.75,11.47,11.65,2021600,11.31937
2016-09-12,11.37,11.83,11.30,11.65,2464000,11.31937
2016-09-09,11.96,11.96,11.38,11.46,3261800,11.13476
2016-09-08,12.07,12.25,11.97,12.05,2493500,11.70801
2016-09-07,12.15,12.15,12.15,12.15,000,11.80517
2016-09-06,12.19,12.29,12.07,12.15,1558300,11.80517
2016-09-05,12.33,12.33,12.07,12.16,784000,11.81489
2016-09-02,12.23,12.29,12.05,12.27,1536200,11.92177
2016-09-01,12.32,12.35,12.02,12.20,1347000,11.85376
2016-08-31,12.20,12.61,11.99,12.30,2439200,11.95092
2016-08-30,12.31,12.32,12.14,12.25,887200,11.90234
2016-08-29,12.27,12.43,12.14,12.28,987600,11.93149
2016-08-26,12.13,12.42,12.03,12.20,2041400,11.85376
2016-08-25,12.29,12.29,11.96,12.19,2317900,11.84404
2016-08-24,12.14,12.56,12.07,12.29,2779400,11.9412
2016-08-23,12.27,12.44,12.10,12.20,1421800,11.85376
2016-08-22,12.16,12.31,12.03,12.11,1944000,11.76631
2016-08-19,12.23,12.23,11.81,12.15,2476600,11.80517
2016-08-18,12.38,12.46,12.07,12.19,1635600,11.84404
2016-08-17,12.22,12.36,12.07,12.36,1959700,12.00922
2016-08-16,12.21,12.38,12.09,12.33,2056700,11.98007
2016-08-15,12.63,12.69,12.15,12.31,2232500,11.96063
2016-08-12,12.87,12.88,12.27,12.63,2178900,12.27155
2016-08-11,12.66,12.80,12.51,12.75,2064500,12.38815
2016-08-10,12.94,12.99,12.41,12.71,2204900,12.34928
2016-08-09,12.80,13.00,12.78,12.87,1594600,12.50474
2016-08-08,13.29,13.30,12.64,12.80,2138800,12.43673
2016-08-05,13.48,13.48,13.22,13.35,2421600,12.97112
2016-08-04,13.70,13.80,13.25,13.35,5903900,12.97112
2016-08-03,13.38,13.70,13.28,13.60,1393900,13.21402
2016-08-02,13.33,13.52,13.29,13.48,1195700,13.09743
2016-08-01,13.46,13.51,13.13,13.45,2366800,13.06828
2016-07-29,13.38,13.55,13.31,13.55,2258900,13.16544
2016-07-28,13.28,13.54,13.19,13.54,2575200,13.15573
2016-07-27,13.08,13.30,13.08,13.22,1053000,12.84481
2016-07-26,13.09,13.32,13.05,13.15,1600200,12.77679
2016-07-25,13.00,13.23,13.00,13.09,2529900,12.7185
2016-07-22,12.88,13.20,12.87,13.10,2237800,12.72821
2016-07-21,12.71,12.99,12.59,12.87,2683500,12.50474
