Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,6.23,6.28,6.15,6.28,2347600,6.28
2017-01-23,6.17,6.23,6.13,6.20,1088100,6.20
2017-01-20,6.18,6.24,6.12,6.14,10714200,6.14
2017-01-19,6.19,6.22,6.07,6.19,3040400,6.19
2017-01-18,6.24,6.26,6.16,6.16,1247200,6.16
2017-01-17,6.24,6.28,6.09,6.24,2366100,6.24
2017-01-16,6.13,6.28,6.13,6.28,1463400,6.28
2017-01-13,6.12,6.20,5.98,6.19,7233100,6.19
2017-01-12,6.20,6.28,6.05,6.13,2835700,6.13
2017-01-11,6.20,6.25,6.03,6.13,2822700,6.13
2017-01-10,6.10,6.23,6.08,6.16,4555800,6.16
2017-01-09,6.30,6.30,5.94,6.06,2856200,6.06
2017-01-06,6.58,6.63,6.30,6.33,2081100,6.33
2017-01-05,6.57,6.76,6.57,6.58,1171700,6.58
2017-01-04,6.39,6.63,6.39,6.60,1259200,6.60
2017-01-03,6.45,6.67,6.40,6.46,1583200,6.46
2017-01-02,6.52,6.59,6.40,6.40,615100,6.40
2016-12-30,6.61,6.61,6.61,6.61,000,6.61
2016-12-29,6.64,6.70,6.48,6.61,2007000,6.61
2016-12-28,6.46,6.66,6.46,6.59,1557500,6.59
2016-12-27,6.42,6.50,6.30,6.48,2311900,6.48
2016-12-26,6.26,6.40,6.25,6.36,1078200,6.36
2016-12-23,6.28,6.36,6.26,6.26,2332900,6.26
2016-12-22,6.30,6.37,6.22,6.30,1781700,6.30
2016-12-21,6.30,6.30,6.30,6.30,1449300,6.30
2016-12-20,6.26,6.30,6.15,6.28,1870200,6.28
2016-12-19,6.31,6.36,6.07,6.26,2643800,6.26
2016-12-16,6.36,6.40,6.26,6.31,1647400,6.31
2016-12-15,6.32,6.35,6.19,6.35,1974100,6.35
2016-12-14,6.31,6.42,6.18,6.32,1891800,6.32
2016-12-13,6.31,6.44,6.21,6.32,5640400,6.32
2016-12-12,6.35,6.47,6.31,6.36,2233800,6.36
2016-12-09,6.48,6.49,6.30,6.43,4858300,6.43
2016-12-08,6.51,6.70,6.28,6.45,1833000,6.45
2016-12-07,6.66,6.75,6.37,6.45,2642100,6.45
2016-12-06,6.16,6.69,6.14,6.59,1833100,6.59
2016-12-05,6.43,6.50,6.17,6.17,1482500,6.17
2016-12-02,6.26,6.44,6.20,6.41,2255300,6.41
2016-12-01,6.38,6.48,6.11,6.36,4302300,6.36
2016-11-30,6.35,6.55,6.19,6.51,2034900,6.51
2016-11-29,6.51,6.58,6.35,6.35,3337600,6.35
2016-11-28,6.47,6.57,6.37,6.51,1355500,6.51
2016-11-25,6.27,6.47,6.20,6.47,2250900,6.47
2016-11-24,6.16,6.38,6.14,6.36,1208400,6.36
2016-11-23,6.09,6.27,6.03,6.12,1786300,6.12
2016-11-22,6.19,6.32,6.00,6.09,2892100,6.09
2016-11-21,6.18,6.28,6.08,6.18,2349600,6.18
2016-11-18,5.80,6.16,5.77,6.16,3991000,6.16
2016-11-17,5.81,5.92,5.75,5.85,2630900,5.85
2016-11-16,5.99,6.03,5.66,5.76,3529200,5.76
2016-11-15,5.94,5.94,5.94,5.94,000,5.94
2016-11-14,5.78,6.00,5.63,5.94,4585400,5.94
2016-11-11,5.17,5.95,5.08,5.78,6175800,5.78
2016-11-10,5.74,5.86,5.26,5.26,4161000,5.26
2016-11-09,5.40,5.63,5.37,5.59,3008800,5.59
2016-11-08,5.57,5.70,5.51,5.65,1861400,5.65
2016-11-07,5.42,5.67,5.35,5.62,1976100,5.62
2016-11-04,5.41,5.49,5.27,5.39,2663900,5.39
2016-11-03,5.64,5.67,5.37,5.38,2608300,5.38
2016-11-02,5.63,5.63,5.63,5.63,000,5.63
2016-11-01,5.68,5.80,5.56,5.63,1964600,5.63
2016-10-31,5.69,5.70,5.55,5.69,1757700,5.69
2016-10-28,5.60,5.66,5.53,5.64,1708900,5.64
2016-10-27,5.77,5.82,5.59,5.64,2318000,5.64
2016-10-26,5.99,5.99,5.56,5.75,4565900,5.75
2016-10-25,5.95,6.01,5.92,6.00,1808100,6.00
2016-10-24,5.93,6.00,5.91,5.98,2113800,5.98
2016-10-21,5.81,5.94,5.81,5.92,1330100,5.92
2016-10-20,5.80,5.87,5.72,5.81,1665400,5.81
2016-10-19,5.95,5.95,5.76,5.81,2352800,5.81
2016-10-18,5.90,6.08,5.90,5.96,1979500,5.96
2016-10-17,6.03,6.10,5.86,5.93,2474800,5.93
2016-10-14,5.97,6.09,5.89,6.06,2804000,6.06
2016-10-13,5.63,6.10,5.63,5.99,5150100,5.99
2016-10-12,5.68,5.68,5.68,5.68,000,5.68
2016-10-11,5.61,5.71,5.61,5.68,1507200,5.68
2016-10-10,5.67,5.69,5.59,5.66,1953600,5.66
2016-10-07,5.46,5.66,5.46,5.63,9520500,5.63
