Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,5.88,5.96,5.63,5.68,20053000,5.68
2017-01-23,5.55,5.77,5.55,5.76,15681200,5.76
2017-01-20,5.49,5.61,5.37,5.51,31030300,5.51
2017-01-19,5.80,5.84,5.42,5.49,23336300,5.49
2017-01-18,5.84,6.08,5.69,5.75,20113300,5.75
2017-01-17,5.75,5.90,5.65,5.81,14650600,5.81
2017-01-16,5.69,5.87,5.68,5.79,11605500,5.79
2017-01-13,5.52,5.72,5.47,5.63,14234300,5.63
2017-01-12,5.71,5.80,5.57,5.58,17076900,5.58
2017-01-11,5.35,5.56,5.24,5.55,29273600,5.55
2017-01-10,5.40,5.41,5.26,5.29,18175000,5.29
2017-01-09,5.25,5.36,5.23,5.23,12762600,5.23
2017-01-06,5.21,5.23,5.06,5.19,20173000,5.19
2017-01-05,5.04,5.36,4.99,5.19,41843200,5.19
2017-01-04,4.90,4.97,4.84,4.95,18649600,4.95
2017-01-03,4.84,4.99,4.82,4.90,19217700,4.90
2017-01-02,4.77,4.85,4.68,4.74,6472500,4.74
2016-12-30,4.80,4.80,4.80,4.80,000,4.80
2016-12-29,4.82,4.83,4.67,4.80,8626800,4.80
2016-12-28,4.90,4.99,4.75,4.77,13854400,4.77
2016-12-27,4.64,4.87,4.64,4.81,13500400,4.81
2016-12-26,4.56,4.62,4.54,4.62,2896700,4.62
2016-12-23,4.57,4.61,4.52,4.54,11874500,4.54
2016-12-22,4.66,4.67,4.46,4.51,11824800,4.51
2016-12-21,4.65,4.73,4.55,4.70,12950600,4.70
2016-12-20,4.56,4.65,4.46,4.59,14597900,4.59
2016-12-19,4.51,4.70,4.43,4.46,20082300,4.46
2016-12-16,4.98,5.03,4.57,4.57,28386600,4.57
2016-12-15,4.54,4.94,4.48,4.91,27316600,4.91
2016-12-14,4.79,4.82,4.51,4.51,32136100,4.51
2016-12-13,5.07,5.11,4.82,4.85,23766300,4.85
2016-12-12,5.40,5.42,5.03,5.05,21039500,5.05
2016-12-09,5.88,5.88,5.50,5.54,14777300,5.54
2016-12-08,5.86,5.93,5.74,5.83,16333900,5.83
2016-12-07,5.77,5.80,5.67,5.77,24281900,5.77
2016-12-06,5.56,5.71,5.47,5.62,13250500,5.62
2016-12-05,5.74,5.76,5.51,5.59,22563500,5.59
2016-12-02,5.29,5.56,5.16,5.52,34681400,5.52
2016-12-01,5.97,6.00,5.26,5.40,34276900,5.40
2016-11-30,6.07,6.10,5.80,5.84,32074100,5.84
2016-11-29,6.18,6.22,5.99,6.05,23070900,6.05
2016-11-28,6.06,6.33,5.99,6.28,23054600,6.28
2016-11-25,5.74,6.00,5.65,5.99,29262400,5.99
2016-11-24,5.88,6.03,5.76,5.85,23436000,5.85
2016-11-23,5.35,5.85,5.27,5.82,35356500,5.82
2016-11-22,5.39,5.48,5.32,5.39,23022600,5.39
2016-11-21,5.10,5.21,5.08,5.20,21205800,5.20
2016-11-18,4.91,5.04,4.81,5.04,19796200,5.04
2016-11-17,4.98,5.06,4.92,4.95,12909100,4.95
2016-11-16,5.05,5.11,4.84,4.90,19679600,4.90
2016-11-15,5.22,5.22,5.22,5.22,000,5.22
2016-11-14,4.77,5.24,4.66,5.22,38952600,5.22
2016-11-11,5.16,5.17,4.77,4.86,33459700,4.86
2016-11-10,5.15,5.42,4.99,5.12,60101800,5.12
2016-11-09,4.61,5.06,4.52,4.98,56740900,4.98
2016-11-08,4.77,4.86,4.72,4.80,23268900,4.80
2016-11-07,4.63,4.80,4.55,4.80,22607400,4.80
2016-11-04,4.52,4.59,4.28,4.40,34963000,4.40
2016-11-03,4.50,4.65,4.42,4.52,28627100,4.52
2016-11-02,4.55,4.55,4.55,4.55,000,4.55
2016-11-01,4.83,4.85,4.47,4.55,30779800,4.55
2016-10-31,4.87,4.91,4.67,4.75,21115200,4.75
2016-10-28,4.65,4.88,4.64,4.77,27225700,4.77
2016-10-27,4.63,4.71,4.63,4.63,15594800,4.63
2016-10-26,4.48,4.61,4.43,4.55,27977300,4.55
2016-10-25,4.74,4.76,4.43,4.58,29970200,4.58
2016-10-24,4.53,4.85,4.50,4.61,53681600,4.61
2016-10-21,4.17,4.47,4.10,4.43,33131600,4.43
2016-10-20,4.00,4.20,3.92,4.15,33263700,4.15
2016-10-19,4.06,4.10,3.99,4.05,29181400,4.05
2016-10-18,3.88,4.04,3.87,4.02,27550500,4.02
2016-10-17,3.82,3.88,3.79,3.84,13698200,3.84
2016-10-14,3.79,3.86,3.78,3.80,11763400,3.80
2016-10-13,3.71,3.75,3.65,3.72,21930700,3.72
2016-10-12,3.80,3.80,3.80,3.80,000,3.80
2016-10-11,3.83,3.89,3.77,3.80,14979700,3.80
2016-10-10,3.92,3.95,3.85,3.87,16950900,3.87
2016-10-07,3.81,3.91,3.80,3.86,30513800,3.86
2016-10-06,3.60,3.77,3.60,3.75,24545200,3.75
2016-10-05,3.50,3.64,3.49,3.61,20224100,3.61
2016-10-04,3.53,3.56,3.45,3.48,16548900,3.48
2016-10-03,3.46,3.55,3.41,3.53,18122400,3.53
2016-09-30,3.46,3.48,3.39,3.43,21182400,3.43
2016-09-29,3.57,3.61,3.41,3.44,26470100,3.44
2016-09-28,3.45,3.55,3.42,3.54,27338400,3.54
2016-09-27,3.56,3.58,3.38,3.41,32369500,3.41
2016-09-26,3.52,3.60,3.52,3.54,12587900,3.54
2016-09-23,3.60,3.68,3.49,3.63,19141000,3.63
