Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,63.67,63.94,63.11,63.60,545400,63.60
2017-01-23,63.92,64.04,62.46,63.56,625200,63.56
2017-01-20,63.10,64.25,62.23,63.50,505000,63.50
2017-01-19,63.59,63.90,62.30,62.63,626500,62.63
2017-01-18,64.02,64.26,63.02,63.59,243200,63.59
2017-01-17,64.70,64.70,63.59,64.00,780000,64.00
2017-01-16,64.07,64.96,63.95,64.50,342000,64.50
2017-01-13,64.62,65.20,63.80,64.64,662500,64.64
2017-01-12,63.00,65.16,63.00,64.85,1470800,64.85
2017-01-11,61.30,61.43,60.00,60.92,5797000,60.92
2017-01-10,61.99,61.99,59.95,60.91,1075300,60.91
2017-01-09,62.23,62.79,61.79,62.28,466700,62.28
2017-01-06,61.94,62.91,61.54,61.99,466600,61.99
2017-01-05,61.75,62.73,61.11,62.38,383600,62.38
2017-01-04,60.61,62.41,60.61,62.12,335200,62.12
2017-01-03,59.79,61.40,59.25,61.19,607200,61.19
2017-01-02,58.81,59.20,58.41,59.20,172400,59.20
2016-12-30,59.38,59.38,59.38,59.38,000,59.38
2016-12-29,58.24,59.38,58.04,59.38,320600,59.38
2016-12-28,57.30,58.98,57.30,58.55,249300,58.55
2016-12-27,58.14,58.32,57.35,57.65,170000,57.65
2016-12-26,57.83,58.78,57.51,57.51,105800,57.51
2016-12-23,57.09,58.27,56.85,57.52,457200,57.52
2016-12-22,55.76,57.08,55.44,57.01,366900,57.01
2016-12-21,55.76,55.76,55.76,55.76,410900,55.76
2016-12-20,56.85,57.00,55.69,56.56,537000,56.56
2016-12-19,57.30,57.99,56.25,56.61,678900,56.61
2016-12-16,56.71,58.54,55.81,57.30,640000,57.30
2016-12-15,56.59,56.70,55.00,56.50,507700,56.50
2016-12-14,57.40,58.33,56.60,56.64,598000,56.64
2016-12-13,57.53,57.96,57.10,57.60,687300,57.60
2016-12-12,57.94,59.10,57.54,58.02,768700,58.02
2016-12-09,58.53,59.49,57.81,58.72,1034400,58.72
2016-12-08,57.39,58.53,56.20,58.05,679200,58.05
2016-12-07,56.32,57.42,55.62,56.55,607400,56.55
2016-12-06,55.14,56.10,54.75,56.10,382000,56.10
2016-12-05,55.44,56.27,54.73,55.42,453200,55.42
2016-12-02,55.16,55.43,54.15,54.95,1042800,54.95
2016-12-01,57.26,57.35,55.11,56.00,1055100,56.00
2016-11-30,56.30,58.13,56.23,58.13,842100,58.13
2016-11-29,57.12,57.28,55.81,55.81,490700,55.81
2016-11-28,57.33,57.84,56.90,57.56,422900,57.56
2016-11-25,56.67,57.42,55.93,57.38,418400,57.38
2016-11-24,57.14,57.82,56.68,56.75,214000,56.75
2016-11-23,57.17,57.80,55.89,57.75,520500,57.75
2016-11-22,58.70,59.11,56.52,57.07,674800,57.07
2016-11-21,57.52,58.52,57.21,58.36,542700,58.36
2016-11-18,56.82,59.00,56.82,57.68,521400,57.68
2016-11-17,58.78,58.78,56.45,57.43,771300,57.43
2016-11-16,58.80,58.95,57.44,57.92,701700,57.92
2016-11-15,58.00,58.00,58.00,58.00,000,58.00
2016-11-14,57.01,58.89,56.63,58.00,917000,58.00
2016-11-11,59.21,59.35,57.00,57.51,1975700,57.51
2016-11-10,61.95,62.22,58.14,60.16,1347200,60.16
2016-11-09,61.90,62.81,60.64,62.32,503700,62.32
2016-11-08,61.95,63.00,61.95,62.75,491400,62.75
2016-11-07,61.81,63.32,61.81,62.66,371000,62.66
2016-11-04,60.79,63.17,60.72,61.76,794400,61.76
2016-11-03,61.20,61.94,60.01,61.21,769400,61.21
2016-11-02,61.96,61.96,61.96,61.96,000,61.96
2016-11-01,64.16,64.45,61.05,61.96,726600,61.96
2016-10-31,62.76,64.49,62.20,64.15,612600,64.15
2016-10-28,62.68,63.31,61.75,62.60,815700,62.60
2016-10-27,62.55,64.28,62.52,63.20,516800,63.20
2016-10-26,62.61,63.64,61.69,62.77,585500,62.77
2016-10-25,64.24,64.58,62.66,62.66,406800,62.66
2016-10-24,64.60,65.05,63.81,64.45,335000,64.45
2016-10-21,64.93,65.25,64.17,64.61,426500,64.61
2016-10-20,65.01,65.64,63.24,64.93,670700,64.93
2016-10-19,65.74,66.63,64.27,65.34,624000,65.34
2016-10-18,64.04,66.25,63.45,65.97,588700,65.97
2016-10-17,63.67,64.42,63.03,64.09,329100,64.09
2016-10-14,63.39,64.78,63.25,63.94,433100,63.94
2016-10-13,63.34,63.90,62.99,63.50,493600,63.50
2016-10-12,63.66,63.66,63.66,63.66,000,63.66
2016-10-11,65.08,65.08,63.45,63.66,405200,63.66
2016-10-10,64.87,65.61,64.66,65.08,348500,65.08
2016-10-07,64.32,65.31,62.65,65.03,828800,65.03
2016-10-06,64.17,64.56,63.61,64.00,509200,64.00
2016-10-05,64.32,65.22,63.94,64.59,393500,64.59
2016-10-04,64.34,65.09,63.92,64.43,717700,64.43
2016-10-03,63.20,65.31,63.20,64.65,533800,64.65
