Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,25.77,25.92,25.51,25.72,823700,25.72
2017-01-23,25.20,25.95,24.99,25.77,781100,25.77
2017-01-20,24.53,25.41,24.53,25.20,747800,25.20
2017-01-19,25.41,25.50,24.07,24.51,1203700,24.51
2017-01-18,24.20,25.40,24.20,25.24,1151400,25.24
2017-01-17,24.01,24.48,23.60,24.25,829700,24.25
2017-01-16,24.35,24.42,23.86,23.91,518500,23.91
2017-01-13,24.20,24.60,24.09,24.35,773300,24.35
2017-01-12,23.75,24.52,23.51,24.45,1306300,24.45
2017-01-11,23.94,24.00,23.05,23.20,1513500,23.20
2017-01-10,24.30,24.40,23.51,23.80,1011000,23.80
2017-01-09,23.06,24.32,22.95,24.18,1748000,24.18
2017-01-06,23.11,23.21,22.82,23.06,1067700,23.06
2017-01-05,23.20,23.38,23.08,23.14,800500,23.14
2017-01-04,23.02,23.66,23.02,23.11,923900,23.11
2017-01-03,22.60,23.55,22.51,23.24,965600,23.24
2017-01-02,22.91,22.98,22.28,22.47,551700,22.47
2016-12-30,23.02,23.02,23.02,23.02,000,23.02
2016-12-29,23.00,23.20,22.72,23.02,901100,23.02
2016-12-28,22.80,23.15,22.53,23.00,839200,23.00
2016-12-27,22.38,22.97,22.38,22.69,1293500,22.69
2016-12-26,22.09,22.26,21.96,22.06,482200,22.06
2016-12-23,22.25,22.38,22.02,22.09,446200,22.09
2016-12-22,22.50,22.50,21.75,22.05,790100,22.05
2016-12-21,22.50,22.50,22.50,22.50,1325700,22.50
2016-12-20,22.62,22.77,22.35,22.50,748000,22.50
2016-12-19,23.21,23.28,22.51,22.51,643500,22.366
2016-12-16,23.21,23.36,22.99,23.15,1238600,23.002
2016-12-15,22.50,23.19,22.08,22.97,737800,22.823
2016-12-14,23.08,23.14,22.50,22.50,1124800,22.356
2016-12-13,23.05,23.25,22.62,23.08,1007800,22.933
2016-12-12,23.44,23.68,22.99,23.05,1077500,22.903
2016-12-09,23.79,23.95,23.14,23.85,1713600,23.698
2016-12-08,24.47,24.71,23.42,23.65,861200,23.499
2016-12-07,24.50,24.87,23.97,24.24,1143100,24.085
2016-12-06,23.38,24.39,23.10,24.39,1940500,24.234
2016-12-05,23.24,23.74,23.10,23.45,1180600,23.30
2016-12-02,23.10,23.24,22.32,23.24,1891800,23.092
2016-12-01,25.65,25.98,23.09,23.12,3437500,22.972
2016-11-30,25.92,26.30,25.66,26.20,1714500,26.033
2016-11-29,26.80,26.80,25.66,25.66,933400,25.496
2016-11-28,26.60,26.93,26.22,26.80,607100,26.629
2016-11-25,26.49,26.85,26.36,26.80,1033200,26.629
2016-11-24,26.82,26.93,26.61,26.80,374400,26.629
2016-11-23,26.50,27.09,26.08,26.80,1877500,26.629
2016-11-22,27.00,27.56,26.52,26.80,1546000,26.629
2016-11-21,26.62,26.82,26.35,26.82,1027000,26.649
2016-11-18,26.15,26.65,25.92,26.25,691800,26.083
2016-11-17,25.99,26.30,25.81,26.15,1188600,25.983
2016-11-16,25.61,26.25,25.11,25.94,1198700,25.774
2016-11-15,25.53,25.53,25.53,25.53,000,25.367
2016-11-14,24.90,25.74,24.76,25.53,1255800,25.367
2016-11-11,25.80,25.80,24.50,24.91,2022000,24.751
2016-11-10,26.72,26.94,25.93,25.93,1451100,25.765
2016-11-09,26.60,27.08,26.24,26.63,1854400,26.46
2016-11-08,27.54,27.65,26.71,27.32,2325200,27.146
2016-11-07,27.86,28.13,27.49,27.54,1502600,27.364
2016-11-04,27.90,28.37,27.35,27.55,1439500,27.374
2016-11-03,29.47,29.63,27.84,27.93,2782400,27.752
2016-11-02,29.51,29.51,29.51,29.51,000,29.322
2016-11-01,30.94,30.94,29.21,29.51,1357500,29.322
2016-10-31,30.89,31.18,30.66,30.66,1690500,30.464
2016-10-28,30.69,31.27,30.24,30.70,1201900,30.504
2016-10-27,30.50,31.00,29.76,30.69,4695500,30.494
2016-10-26,32.18,32.27,31.32,32.00,2776600,31.796
2016-10-25,33.31,33.75,32.88,33.43,1204500,33.217
2016-10-24,33.26,33.66,33.02,33.57,1057600,33.356
2016-10-21,32.57,33.94,32.13,33.00,3051400,32.789
2016-10-20,32.70,32.89,32.20,32.65,1175500,32.442
2016-10-19,33.50,34.04,32.36,32.90,1550400,32.69
2016-10-18,32.99,33.66,32.55,33.50,1656800,33.286
2016-10-17,32.40,33.13,32.29,33.05,1255600,32.839
2016-10-14,31.65,32.64,31.65,32.43,1136300,32.223
2016-10-13,31.44,31.89,31.12,31.60,2454900,31.398
2016-10-12,31.31,31.31,31.31,31.31,000,31.11
2016-10-11,31.47,31.82,30.95,31.31,821000,31.11
