Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,2.56,2.57,2.52,2.55,2770200,2.55
2017-01-23,2.55,2.58,2.52,2.57,5770100,2.57
2017-01-20,2.47,2.57,2.45,2.53,2903100,2.53
2017-01-19,2.51,2.53,2.43,2.48,3486400,2.48
2017-01-18,2.60,2.65,2.48,2.50,5761800,2.50
2017-01-17,2.65,2.69,2.56,2.61,6354900,2.61
2017-01-16,2.59,2.66,2.56,2.63,5284000,2.63
2017-01-13,2.54,2.60,2.48,2.55,5653000,2.55
2017-01-12,2.45,2.52,2.44,2.52,13461100,2.52
2017-01-11,2.45,2.50,2.31,2.43,4381300,2.43
2017-01-10,2.42,2.47,2.37,2.42,4869900,2.42
2017-01-09,2.33,2.43,2.30,2.40,4684500,2.40
2017-01-06,2.27,2.33,2.27,2.30,3211700,2.30
2017-01-05,2.25,2.28,2.24,2.26,1316000,2.26
2017-01-04,2.27,2.28,2.25,2.26,1280300,2.26
2017-01-03,2.32,2.35,2.25,2.27,3097500,2.27
2017-01-02,2.27,2.31,2.23,2.31,1627300,2.31
2016-12-30,2.25,2.25,2.25,2.25,000,2.25
2016-12-29,2.24,2.25,2.22,2.25,1558900,2.25
2016-12-28,2.24,2.27,2.22,2.23,1868800,2.23
2016-12-27,2.27,2.30,2.23,2.24,2248000,2.24
2016-12-26,2.23,2.26,2.18,2.24,1639200,2.24
2016-12-23,2.24,2.26,2.20,2.23,1587500,2.23
2016-12-22,2.31,2.32,2.21,2.24,2322600,2.24
2016-12-21,2.31,2.31,2.31,2.31,1396900,2.31
2016-12-20,2.30,2.35,2.26,2.30,3858700,2.30
2016-12-19,2.43,2.43,2.25,2.26,5344700,2.26
2016-12-16,2.55,2.55,2.42,2.44,4484800,2.44
2016-12-15,2.54,2.62,2.42,2.46,10089400,2.46
2016-12-14,2.47,2.51,2.44,2.44,2340100,2.44
2016-12-13,2.52,2.52,2.45,2.46,3274100,2.46
2016-12-12,2.49,2.63,2.43,2.51,11159000,2.51
2016-12-09,2.36,2.44,2.33,2.41,4703900,2.41
2016-12-08,2.47,2.49,2.33,2.34,5535100,2.34
2016-12-07,2.50,2.55,2.37,2.37,9394400,2.37
2016-12-06,2.16,2.45,2.11,2.40,6131300,2.40
2016-12-05,2.24,2.28,2.15,2.15,1845300,2.15
2016-12-02,2.22,2.23,2.14,2.20,1789100,2.20
2016-12-01,2.22,2.28,2.17,2.19,2224800,2.19
2016-11-30,2.28,2.28,2.17,2.21,2013300,2.21
2016-11-29,2.28,2.31,2.22,2.25,2375700,2.25
2016-11-28,2.28,2.31,2.20,2.26,2811000,2.26
2016-11-25,2.29,2.35,2.22,2.27,2599600,2.27
2016-11-24,2.39,2.39,2.27,2.32,2109500,2.32
2016-11-23,2.39,2.46,2.34,2.40,8628300,2.40
2016-11-22,2.26,2.40,2.16,2.30,8931400,2.30
2016-11-21,2.38,2.38,2.22,2.24,8564400,2.24
2016-11-18,2.10,2.30,2.06,2.24,6520200,2.24
2016-11-17,2.16,2.18,2.07,2.09,3925500,2.09
2016-11-16,2.25,2.29,2.08,2.14,5488500,2.14
2016-11-15,2.20,2.20,2.20,2.20,000,2.20
2016-11-14,2.12,2.47,2.04,2.20,13098500,2.20
2016-11-11,2.28,2.32,1.87,2.10,6630700,2.10
2016-11-10,2.57,2.59,2.22,2.25,9885800,2.25
2016-11-09,2.50,2.61,2.47,2.55,7264900,2.55
2016-11-08,2.86,2.95,2.63,2.68,9262300,2.68
2016-11-07,2.88,2.97,2.80,2.84,3760200,2.84
2016-11-04,2.84,2.90,2.83,2.86,2099000,2.86
2016-11-03,2.92,2.98,2.82,2.83,3970800,2.83
2016-11-02,2.90,2.90,2.90,2.90,000,2.90
2016-11-01,2.74,2.96,2.72,2.90,7261100,2.90
2016-10-31,2.76,2.76,2.71,2.73,1215800,2.73
2016-10-28,2.72,2.76,2.70,2.75,1134100,2.75
2016-10-27,2.75,2.76,2.71,2.72,1399100,2.72
2016-10-26,2.78,2.80,2.74,2.75,1836200,2.75
2016-10-25,2.82,2.82,2.77,2.78,1361000,2.78
2016-10-24,2.82,2.90,2.79,2.81,5282200,2.81
2016-10-21,2.76,2.85,2.73,2.77,3582900,2.77
2016-10-20,2.76,2.76,2.69,2.74,1790900,2.74
2016-10-19,2.81,2.81,2.71,2.74,4933000,2.74
2016-10-18,2.82,2.85,2.77,2.80,3883100,2.80
2016-10-17,2.84,2.86,2.81,2.82,2643600,2.82
2016-10-14,2.82,2.87,2.79,2.84,2688900,2.84
2016-10-13,2.91,2.98,2.84,2.85,5733300,2.85
2016-10-12,2.88,2.88,2.88,2.88,000,2.88
2016-10-11,2.88,2.90,2.85,2.88,2316700,2.88
2016-10-10,2.87,2.95,2.85,2.87,3364200,2.87
2016-10-07,2.83,2.86,2.79,2.86,10275300,2.86
2016-10-06,2.84,2.89,2.79,2.84,4698200,2.84
2016-10-05,2.98,3.01,2.83,2.87,13374800,2.87
2016-10-04,2.91,2.92,2.78,2.82,9262800,2.82
2016-10-03,2.88,2.94,2.84,2.87,4288400,2.87
2016-09-30,2.90,2.95,2.87,2.88,6584200,2.88
2016-09-29,2.89,2.99,2.83,2.89,8598300,2.89
2016-09-28,2.88,2.93,2.79,2.87,13666300,2.87
2016-09-27,2.70,2.88,2.65,2.80,16033400,2.80
2016-09-26,2.51,2.76,2.48,2.72,11460700,2.72
2016-09-23,2.41,2.54,2.39,2.54,9355900,2.54
2016-09-22,2.57,2.60,2.40,2.49,9247800,2.49
2016-09-21,2.74,2.76,2.47,2.47,19722700,2.47
2016-09-20,2.33,2.60,2.20,2.51,19350800,2.51
2016-09-19,2.71,2.74,2.29,2.32,13172000,2.32
2016-09-16,2.83,2.85,2.66,2.66,6302600,2.66
2016-09-15,2.90,3.00,2.83,2.90,8823000,2.90
2016-09-14,3.00,3.03,2.79,2.91,14868500,2.91
2016-09-13,3.02,3.07,2.90,2.93,7810500,2.93
2016-09-12,3.04,3.11,2.91,2.98,10737600,2.98
2016-09-09,2.79,3.03,2.73,2.94,22468400,2.94
2016-09-08,2.65,2.88,2.53,2.75,32424800,2.75
2016-09-07,2.88,2.88,2.88,2.88,000,2.88
2016-09-06,3.57,3.67,2.88,2.88,50911200,2.88
2016-09-05,2.97,3.57,2.97,3.47,26041800,3.47
2016-09-02,2.61,2.82,2.57,2.82,11596900,2.82
2016-09-01,2.59,2.64,2.52,2.53,9135100,2.53
2016-08-31,2.40,2.60,2.38,2.52,10606100,2.52
2016-08-30,2.58,2.64,2.40,2.43,9465500,2.43
2016-08-29,2.44,2.61,2.37,2.52,16877000,2.52
2016-08-26,2.12,2.44,2.12,2.37,14637600,2.37
2016-08-25,2.14,2.15,2.07,2.10,1631300,2.10
2016-08-24,2.18,2.19,2.09,2.13,5150100,2.13
2016-08-23,2.19,2.22,2.18,2.18,1238700,2.18
2016-08-22,2.24,2.24,2.18,2.18,1741400,2.18
2016-08-19,2.29,2.29,2.23,2.24,2288400,2.24
2016-08-18,2.30,2.32,2.26,2.27,2344500,2.27
2016-08-17,2.22,2.26,2.18,2.25,2618800,2.25
2016-08-16,2.22,2.25,2.20,2.22,1596600,2.22
2016-08-15,2.27,2.30,2.20,2.22,4662800,2.22
2016-08-12,2.29,2.34,2.27,2.28,1753200,2.28
2016-08-11,2.31,2.38,2.22,2.31,4595600,2.31
2016-08-10,2.36,2.40,2.29,2.32,4491500,2.32
2016-08-09,2.36,2.39,2.31,2.32,2577700,2.32
2016-08-08,2.39,2.42,2.31,2.33,2987600,2.33
2016-08-05,2.36,2.46,2.34,2.36,4596300,2.36
2016-08-04,2.45,2.48,2.35,2.36,4236200,2.36
2016-08-03,2.22,2.42,2.16,2.38,8863000,2.38
2016-08-02,2.37,2.39,2.16,2.23,5464700,2.23
2016-08-01,2.50,2.54,2.37,2.37,6708500,2.37
2016-07-29,2.52,2.56,2.47,2.48,5317900,2.48
2016-07-28,2.53,2.59,2.44,2.49,9186700,2.49
2016-07-27,2.42,2.59,2.36,2.54,10559700,2.54
2016-07-26,2.55,2.56,2.41,2.42,9546600,2.42
2016-07-25,2.62,2.67,2.52,2.55,13564200,2.55
2016-07-22,2.65,2.78,2.52,2.67,20562100,2.67
2016-07-21,2.45,2.60,2.40,2.58,21412800,2.58
2016-07-20,2.53,2.57,2.33,2.38,26186000,2.38
2016-07-19,2.27,2.31,1.77,2.10,35700400,2.10
2016-07-18,2.54,2.57,2.32,2.36,16873400,2.36
2016-07-15,2.73,2.83,2.31,2.47,31634300,2.47
2016-07-14,2.46,2.70,2.40,2.66,42542500,2.66
2016-07-13,1.85,2.25,1.84,2.25,27441200,2.25
2016-07-12,1.64,1.77,1.61,1.76,20543500,1.76
2016-07-11,1.55,1.62,1.51,1.57,12351900,1.57
2016-07-08,1.44,1.52,1.40,1.52,19793300,1.52
2016-07-07,1.50,1.59,1.40,1.44,26291000,1.44
2016-07-06,1.38,1.58,1.37,1.50,27654500,1.50
2016-07-05,1.33,1.42,1.29,1.40,17824600,1.40
2016-07-04,1.38,1.41,1.32,1.32,10885800,1.32
2016-07-01,1.33,1.37,1.31,1.35,13560700,1.35
2016-06-30,1.44,1.44,1.28,1.32,31292000,1.32
2016-06-29,1.28,1.47,1.22,1.37,38978200,1.37
2016-06-28,1.14,1.21,1.10,1.21,31082700,1.21
2016-06-27,1.15,1.23,1.08,1.10,22488000,1.10
2016-06-24,0.90,1.33,0.89,1.08,47435600,1.08
2016-06-23,0.83,0.91,0.78,0.91,49541000,0.91
2016-06-22,0.84,0.91,0.80,0.80,45530300,0.80
2016-06-21,0.69,0.88,0.68,0.81,25842600,0.81
2016-06-20,1.05,1.10,0.98,0.99,24351700,0.99
2016-06-17,1.54,1.58,1.10,1.10,30096100,1.10
2016-06-16,1.65,1.68,1.49,1.50,5927000,1.50
2016-06-15,1.56,1.78,1.53,1.65,18045500,1.65
2016-06-14,1.81,1.94,1.46,1.54,20315800,1.54
2016-06-13,1.44,1.80,1.42,1.80,23981600,1.80
2016-06-10,1.58,1.77,1.54,1.64,26085300,1.64
2016-06-09,1.39,1.66,1.35,1.65,14299100,1.65
2016-06-08,1.26,1.42,1.25,1.36,24992500,1.36
2016-06-07,1.16,1.27,1.14,1.23,15890400,1.23
2016-06-06,1.16,1.21,1.11,1.18,6710800,1.18
2016-06-03,1.23,1.29,1.10,1.17,16633800,1.17
2016-06-02,1.03,1.25,1.03,1.19,26252700,1.19
2016-06-01,0.91,1.00,0.90,0.99,4743100,0.99
2016-05-31,0.96,0.96,0.90,0.91,5488300,0.91
2016-05-30,1.02,1.02,0.96,0.97,1355400,0.97
2016-05-27,0.96,1.04,0.96,0.98,4532700,0.98
2016-05-26,0.93,0.93,0.93,0.93,000,0.93
2016-05-25,0.94,0.94,0.92,0.93,888700,0.93
2016-05-24,0.94,0.95,0.91,0.93,681600,0.93
2016-05-23,0.91,0.94,0.91,0.93,1189000,0.93
2016-05-20,0.96,0.98,0.93,0.94,2081800,0.94
2016-05-19,0.95,0.96,0.90,0.93,2133000,0.93
2016-05-18,1.04,1.04,0.94,0.96,7969700,0.96
2016-05-17,1.04,1.04,1.02,1.03,1181100,1.03
2016-05-16,1.03,1.04,1.02,1.03,1891200,1.03
2016-05-13,1.05,1.05,1.00,1.02,1498800,1.02
2016-05-12,1.07,1.07,1.03,1.04,867300,1.04
2016-05-11,1.05,1.10,1.03,1.07,3061000,1.07
