Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,20.81,20.88,20.34,20.80,1014600,20.80
2017-01-23,19.75,20.85,19.53,20.85,3180300,20.85
2017-01-20,19.29,20.11,19.19,19.75,1674300,19.75
2017-01-19,19.82,19.92,19.03,19.49,1318200,19.49
2017-01-18,19.95,20.10,19.70,19.72,1492000,19.72
2017-01-17,19.37,20.00,19.37,19.87,1734400,19.87
2017-01-16,19.30,19.70,18.90,19.48,1123100,19.48
2017-01-13,20.19,20.49,18.98,19.30,1281900,19.30
2017-01-12,20.43,20.68,20.02,20.08,6291300,20.08
2017-01-11,19.30,19.87,18.88,19.86,1029700,19.86
2017-01-10,19.92,19.92,19.21,19.22,1364800,19.22
2017-01-09,19.41,20.19,19.35,19.71,999000,19.71
2017-01-06,19.55,19.59,19.05,19.49,1151500,19.49
2017-01-05,20.00,20.14,19.43,19.69,1301700,19.69
2017-01-04,19.40,20.11,19.40,19.81,880500,19.81
2017-01-03,18.96,19.85,18.86,19.64,2708200,19.64
2017-01-02,19.13,19.18,18.72,18.82,512100,18.82
2016-12-30,19.25,19.25,19.25,19.25,000,19.25
2016-12-29,18.51,19.25,18.51,19.25,1506900,19.25
2016-12-28,18.74,18.84,18.39,18.66,687800,18.66
2016-12-27,18.89,18.94,18.21,18.59,907200,18.59
2016-12-26,18.43,18.88,18.43,18.88,178600,18.88
2016-12-23,18.45,19.13,18.08,18.51,1481300,18.51
2016-12-22,18.00,18.44,17.63,18.44,1669700,18.44
2016-12-21,18.00,18.00,18.00,18.00,1166300,18.00
2016-12-20,17.75,17.99,17.35,17.58,1418700,17.58
2016-12-19,17.66,18.05,17.36,17.71,1163100,17.71
2016-12-16,17.90,18.06,17.33,17.45,1355200,17.45
2016-12-15,17.11,17.89,16.76,17.85,1274100,17.85
2016-12-14,18.02,18.02,17.01,17.01,1321500,17.01
2016-12-13,17.95,18.21,17.36,17.94,4914600,17.94
2016-12-12,17.77,18.34,17.50,18.03,1123200,18.03
2016-12-09,18.64,18.72,17.95,18.04,1395800,18.04
2016-12-08,17.61,18.58,17.61,18.46,1908900,18.46
2016-12-07,17.83,18.27,17.26,17.59,5225700,17.59
2016-12-06,17.37,17.70,17.10,17.59,1396700,17.59
2016-12-05,17.94,18.35,17.39,17.49,1053300,17.49
2016-12-02,17.94,18.29,17.52,18.05,1688600,18.05
2016-12-01,18.07,18.41,17.67,18.24,2498900,18.24
2016-11-30,17.65,18.35,17.54,18.35,1751200,18.35
2016-11-29,17.80,17.99,17.32,17.39,1786500,17.39
2016-11-28,17.49,18.09,17.43,18.05,1093900,18.05
2016-11-25,17.40,17.73,17.31,17.40,610200,17.40
2016-11-24,17.53,17.90,17.43,17.72,879200,17.72
2016-11-23,18.27,18.45,17.24,17.29,2184000,17.29
2016-11-22,18.41,18.45,17.80,18.42,1787300,18.42
2016-11-21,18.30,18.47,17.85,18.14,1401400,18.14
2016-11-18,18.12,18.55,18.05,18.20,1650500,18.20
2016-11-17,18.34,18.44,18.00,18.27,1239600,18.27
2016-11-16,17.48,18.23,17.27,18.19,2331100,18.19
2016-11-15,17.26,17.26,17.26,17.26,000,17.26
2016-11-14,16.92,17.46,16.82,17.26,1276300,17.26
2016-11-11,17.84,18.19,17.56,18.07,4114600,17.17
2016-11-10,19.60,19.72,17.85,18.00,3230600,17.11
2016-11-09,19.51,20.19,19.27,19.59,1663900,18.62
2016-11-08,21.10,21.20,19.53,20.19,3017100,19.19
2016-11-07,19.70,20.95,19.70,20.77,1839200,19.74
2016-11-04,19.24,20.18,19.12,19.69,1439500,18.71
2016-11-03,19.65,19.91,19.06,19.24,1733000,18.28
2016-11-02,19.65,19.65,19.65,19.65,000,18.67
2016-11-01,20.42,20.62,19.11,19.65,2546400,18.67
2016-10-31,20.60,20.65,20.27,20.54,1425200,19.52
2016-10-28,20.41,20.60,19.97,20.53,1049600,19.51
2016-10-27,20.42,20.83,20.12,20.38,1048400,19.37
2016-10-26,20.13,20.52,19.90,20.31,1123000,19.30
2016-10-25,20.57,20.83,20.08,20.29,1355200,19.28
2016-10-24,21.30,21.30,20.55,20.69,1389300,19.66
2016-10-21,20.68,21.29,20.38,21.00,3210400,19.96
2016-10-20,20.00,21.04,19.68,20.86,2573100,19.82
2016-10-19,19.92,20.31,19.82,20.00,1856900,19.01
2016-10-18,20.02,20.02,19.25,19.80,2360400,18.82
2016-10-17,20.68,20.82,19.80,19.85,3538800,18.86
2016-10-14,20.40,20.94,20.23,20.70,1693300,19.67
2016-10-13,20.50,20.64,20.17,20.32,2030300,19.31
2016-10-12,20.38,20.38,20.38,20.38,000,19.37
2016-10-11,20.54,20.90,20.23,20.38,1295800,19.37
2016-10-10,21.26,21.30,20.46,20.52,2285500,19.50
2016-10-07,20.56,21.00,20.29,21.00,2121000,19.96
2016-10-06,20.32,20.55,20.09,20.43,1435400,19.42
2016-10-05,19.83,20.84,19.69,20.51,2526700,19.49
2016-10-04,19.80,19.95,19.32,19.67,2225000,18.69
2016-10-03,19.04,19.98,18.96,19.98,2811500,18.99
2016-09-30,18.74,19.34,18.52,19.18,3553800,18.23
2016-09-29,19.39,19.39,18.41,18.64,2601700,17.71
2016-09-28,18.46,19.38,18.40,19.35,2673300,18.39
2016-09-27,19.01,19.14,18.40,18.46,5500800,17.54
2016-09-26,18.73,19.17,18.65,18.91,10155000,17.97
2016-09-23,19.90,19.92,18.72,18.72,1640900,17.79
2016-09-22,19.90,20.34,19.73,19.73,4264500,18.75
2016-09-21,20.12,20.37,19.39,19.75,1831400,18.77
2016-09-20,20.03,20.49,19.97,20.28,1466200,19.27
2016-09-19,19.54,20.23,19.54,19.88,7349700,18.89
2016-09-16,20.00,20.20,19.48,19.63,1989800,18.66
2016-09-15,20.38,20.46,20.18,20.18,3304200,19.18
2016-09-14,21.00,21.00,19.76,20.37,2275800,19.36
2016-09-13,21.51,21.85,20.52,20.90,2519200,19.86
2016-09-12,21.79,22.06,21.50,22.00,1543500,20.91
2016-09-09,21.70,22.27,21.63,21.83,1536600,20.75
2016-09-08,22.30,22.50,21.96,22.20,2025800,21.10
2016-09-07,22.41,22.41,22.41,22.41,000,21.30
2016-09-06,22.75,22.92,22.21,22.41,1075700,21.30
2016-09-05,22.80,23.05,22.62,22.65,531500,21.53
2016-09-02,22.50,22.82,22.03,22.56,1049800,21.44
2016-09-01,22.42,22.61,22.33,22.36,969500,21.25
2016-08-31,22.84,22.84,22.16,22.68,1268200,21.55
2016-08-30,22.75,22.77,22.32,22.63,804900,21.51
2016-08-29,22.12,23.00,21.80,22.63,930600,21.51
2016-08-26,21.84,22.78,21.80,21.93,923400,20.84
2016-08-25,22.79,22.80,21.56,21.95,933900,20.86
2016-08-24,22.02,23.13,21.83,22.65,984400,21.53
2016-08-23,22.90,23.15,22.17,22.20,624700,21.10
2016-08-22,22.80,23.03,22.69,22.92,915300,21.78
2016-08-19,22.75,23.17,22.63,22.90,977100,21.76
2016-08-18,23.20,23.26,22.67,22.80,2345700,21.67
2016-08-17,22.48,23.59,22.19,23.48,2092100,22.31
2016-08-16,21.59,22.55,21.59,22.50,1795300,21.38
2016-08-15,21.60,21.99,21.42,21.80,1106200,20.72
2016-08-12,21.48,21.59,21.18,21.59,847300,20.52
2016-08-11,21.35,21.62,20.79,21.48,1991000,20.41
2016-08-10,21.03,21.40,21.03,21.37,1181900,20.31
2016-08-09,20.14,20.88,20.10,20.82,2439800,19.79
2016-08-08,20.79,20.79,20.16,20.16,1705000,19.16
2016-08-05,20.76,21.34,20.73,20.85,2142600,19.81
2016-08-04,21.45,21.45,20.73,20.83,1190200,19.80
2016-08-03,20.92,21.40,20.78,21.15,1849000,20.10
2016-08-02,21.42,21.90,20.76,21.34,2057100,20.28
2016-08-01,21.67,21.81,21.32,21.70,1342100,20.62
2016-07-29,20.73,21.52,20.73,21.50,2123100,20.43
2016-07-28,21.20,21.28,20.74,21.00,2007700,19.96
2016-07-27,21.94,21.99,21.17,21.30,2658200,20.24
2016-07-26,21.77,22.01,21.61,21.90,2989900,20.81
2016-07-25,21.13,21.86,20.96,21.73,1422700,20.65
2016-07-22,21.05,21.50,20.37,21.42,2605200,20.36
2016-07-21,21.30,22.34,21.20,21.63,4502200,20.56
2016-07-20,21.90,21.90,21.06,21.33,2285700,20.27
2016-07-19,21.56,22.78,21.56,21.90,2912500,20.81
2016-07-18,20.77,22.14,19.93,21.35,3861000,20.29
2016-07-15,20.22,20.64,19.73,20.64,2086200,19.62
2016-07-14,20.90,21.12,20.32,20.39,2532600,19.38
2016-07-13,20.12,20.77,19.78,20.61,1946900,19.59
2016-07-12,19.95,20.35,19.80,20.06,2886600,19.06
2016-07-11,19.47,19.88,19.47,19.76,2376000,18.78
2016-07-08,18.58,19.47,18.50,19.35,4571400,18.39
2016-07-07,17.90,18.64,17.77,18.37,2631200,17.46
2016-07-06,17.72,18.09,17.47,18.00,2338900,17.11
2016-07-05,18.19,18.46,17.60,17.71,2499500,16.83
2016-07-04,17.91,18.20,17.87,18.13,883700,17.23
2016-07-01,18.49,18.69,17.86,17.86,2421900,16.97
2016-06-30,18.07,18.82,18.00,18.61,2268600,17.69
2016-06-29,18.25,18.49,18.07,18.07,2044800,17.17
2016-06-28,18.90,18.90,17.84,18.13,2124400,17.23
2016-06-27,18.23,18.77,18.07,18.60,1349100,17.68
2016-06-24,18.00,18.42,17.65,18.35,1044500,17.44
2016-06-23,18.60,18.84,18.17,18.84,1383000,17.90
2016-06-22,17.65,18.76,17.65,18.40,1901100,17.49
2016-06-21,18.20,18.78,17.65,17.65,2278600,16.77
2016-06-20,17.99,18.84,17.99,18.19,2891500,17.29
2016-06-17,18.15,18.77,17.71,17.82,1472000,16.94
2016-06-16,17.32,18.19,17.03,18.12,2111900,17.22
2016-06-15,16.63,17.52,16.51,17.36,1977100,16.50
2016-06-14,17.25,17.40,16.06,16.49,2176000,15.67
2016-06-13,16.75,17.26,16.60,17.25,1066400,16.39
2016-06-10,17.59,17.59,16.89,17.00,1105500,16.16
2016-06-09,17.91,17.94,17.32,17.70,868100,16.82
2016-06-08,17.45,18.11,17.39,17.91,1986800,17.02
2016-06-07,16.80,17.46,16.60,17.39,2123400,16.53
2016-06-06,16.71,17.00,16.26,16.84,653700,16.00
2016-06-03,16.40,16.98,16.30,16.49,1707900,15.67
2016-06-02,16.34,16.68,15.97,16.42,1447800,15.60
2016-06-01,15.18,16.36,15.15,16.34,1927500,15.53
2016-05-31,15.70,16.01,15.25,15.25,2573800,14.49
2016-05-30,15.15,15.91,15.02,15.75,1062500,14.97
2016-05-27,16.30,16.54,14.68,15.15,2531000,14.40
2016-05-26,16.30,16.30,16.30,16.30,000,15.49
2016-05-25,16.35,16.97,16.30,16.30,6385700,15.49
2016-05-24,15.96,16.50,15.96,16.12,759100,15.32
2016-05-23,16.13,16.80,15.84,15.87,1239400,15.08
2016-05-20,16.75,16.75,16.32,16.41,2347700,15.60
2016-05-19,15.88,16.82,15.59,16.76,2627600,15.93
2016-05-18,15.07,16.22,15.05,15.90,2126500,15.11
2016-05-17,15.37,15.42,14.95,15.27,1451200,14.51
2016-05-16,15.38,15.79,15.06,15.17,1446700,14.42
2016-05-13,15.91,15.91,15.34,15.55,1329500,14.78
2016-05-12,15.03,16.07,15.03,15.85,1176600,15.06
2016-05-11,15.88,15.88,14.94,15.00,3061600,14.26
2016-05-10,14.40,15.65,14.40,15.55,2551700,14.78
2016-05-09,13.61,14.35,13.45,14.25,1238700,13.54
2016-05-06,13.55,13.79,13.41,13.65,666400,12.97
2016-05-05,14.00,14.40,13.45,13.60,999500,12.92
2016-05-04,13.70,13.97,13.23,13.90,1413600,13.21
2016-05-03,13.82,13.95,13.41,13.70,1403300,13.02
2016-05-02,14.26,14.26,13.79,14.00,775100,13.30
2016-04-29,15.18,15.18,14.56,14.90,2010300,13.40
2016-04-28,15.18,15.18,14.89,14.93,1043300,13.43
2016-04-27,15.20,15.29,14.87,15.08,1583600,13.57
2016-04-26,15.00,15.06,14.77,14.98,1024900,13.48
2016-04-25,14.90,15.20,14.63,14.75,683100,13.27
2016-04-22,14.94,15.50,14.89,14.91,1148400,13.41
2016-04-21,15.40,15.40,15.40,15.40,000,13.85
2016-04-20,15.26,15.48,15.03,15.40,1423300,13.85
2016-04-19,15.10,15.69,15.10,15.36,1711000,13.82
2016-04-18,15.48,15.62,14.87,15.00,1552900,13.49
2016-04-15,15.80,16.00,15.48,15.50,1541900,13.94
2016-04-14,15.90,16.04,15.48,15.65,2034800,14.08
2016-04-13,15.73,16.00,15.58,15.88,2874900,14.29
2016-04-12,16.36,16.50,15.00,15.58,2582800,14.02
2016-04-11,16.30,16.64,16.18,16.23,3052800,14.60
2016-04-08,15.93,16.41,15.92,16.18,3400100,14.56
2016-04-07,15.86,15.91,15.57,15.68,2571800,14.11
2016-04-06,15.45,16.10,15.45,15.59,4868400,14.02
2016-04-05,14.82,15.85,14.82,15.60,2162800,14.03
2016-04-04,15.29,15.64,14.91,15.06,1990700,13.55
2016-04-01,14.60,15.53,14.60,15.40,2240200,13.85
2016-03-31,14.49,14.90,14.22,14.87,2582400,13.38
2016-03-30,14.23,14.78,13.98,14.58,2858000,13.12
2016-03-29,13.89,14.20,13.66,13.97,1071500,12.57
2016-03-28,13.44,13.97,13.36,13.85,925100,12.46
2016-03-25,13.36,13.36,13.36,13.36,000,12.02
2016-03-24,13.51,13.78,13.17,13.36,1141600,12.02
2016-03-23,13.51,13.84,13.15,13.62,1291700,12.25
2016-03-22,13.40,13.82,13.26,13.61,1344800,12.24
2016-03-21,13.89,14.28,13.40,13.55,1971500,12.19
2016-03-18,13.79,13.95,13.40,13.82,2701300,12.43
2016-03-17,13.37,14.01,13.07,13.72,2850000,12.34
2016-03-16,12.64,13.30,12.38,13.30,2223200,11.96
2016-03-15,12.86,13.05,12.41,12.63,2787300,11.36
2016-03-14,13.78,13.85,13.06,13.06,2022200,11.75
