Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,64.01,65.76,63.83,65.24,556100,65.24
2017-01-23,63.90,64.50,63.37,64.01,992200,64.01
2017-01-20,63.89,64.19,63.15,63.59,968600,63.59
2017-01-19,64.00,64.00,62.84,63.82,2309700,63.82
2017-01-18,64.20,64.77,63.08,63.35,935500,63.35
2017-01-17,62.12,64.12,61.71,64.00,1204500,64.00
2017-01-16,62.80,63.28,62.13,62.30,761300,62.30
2017-01-13,62.45,62.77,61.84,62.77,603800,62.77
2017-01-12,63.01,63.74,62.00,62.72,1265800,62.72
2017-01-11,60.75,61.39,60.09,60.95,852300,60.95
2017-01-10,61.45,61.79,60.02,60.04,654500,60.04
2017-01-09,61.23,62.01,60.55,61.16,790400,61.16
2017-01-06,61.46,61.46,59.33,61.26,1292300,61.26
2017-01-05,62.53,62.58,61.07,61.13,972200,61.13
2017-01-04,62.83,62.93,61.59,62.06,701000,62.06
2017-01-03,60.74,63.27,60.74,62.95,1015900,62.95
2017-01-02,60.62,61.08,59.81,60.63,309900,60.63
2016-12-30,61.19,61.19,61.19,61.19,000,61.19
2016-12-29,59.93,61.37,59.60,61.19,615200,61.19
2016-12-28,59.52,60.02,58.72,60.02,389900,60.02
2016-12-27,59.49,59.85,58.51,59.52,367600,59.52
2016-12-26,58.79,59.42,58.63,59.34,155900,59.34
2016-12-23,58.89,59.55,58.24,58.40,630500,58.40
2016-12-22,59.46,60.34,58.91,58.91,922000,58.91
2016-12-21,59.46,59.46,59.46,59.46,1241300,59.46
2016-12-20,58.96,58.96,57.92,58.04,1048600,58.04
2016-12-19,58.06,58.48,57.70,58.11,707400,58.11
2016-12-16,58.39,59.00,58.06,58.06,919100,58.06
2016-12-15,59.00,59.27,58.19,58.21,1351300,58.05818
2016-12-14,59.55,60.54,58.83,59.00,1093000,58.84612
2016-12-13,60.26,61.11,59.03,59.55,1352000,59.39469
2016-12-12,60.81,60.96,60.04,60.70,1033100,60.54169
2016-12-09,62.32,62.50,60.80,61.45,740000,61.28973
2016-12-08,63.61,63.61,60.87,62.00,801600,61.8383
2016-12-07,63.04,63.50,61.30,62.80,887700,62.63621
2016-12-06,60.59,62.86,59.88,62.11,1085900,61.94801
2016-12-05,61.76,61.77,60.61,61.11,905700,60.95062
2016-12-02,61.68,62.10,60.50,61.58,1343800,61.41939
2016-12-01,63.68,64.58,61.43,62.60,1801000,62.43673
2016-11-30,65.00,65.34,63.66,64.49,1141100,64.3218
2016-11-29,64.71,65.18,64.18,64.18,776500,64.01261
2016-11-28,64.30,65.58,63.67,65.17,914600,65.00003
2016-11-25,64.65,64.69,63.64,64.30,405200,64.1323
2016-11-24,64.98,65.25,64.59,64.86,211100,64.69084
2016-11-23,65.86,66.10,64.09,64.94,984500,64.77063
2016-11-22,66.70,66.98,65.77,66.00,741500,65.82786
2016-11-21,65.70,66.26,64.90,65.90,747400,65.72813
2016-11-18,63.50,66.38,63.46,65.18,1216700,65.01
2016-11-17,65.26,65.79,63.68,63.95,9927600,63.78321
2016-11-16,64.20,66.13,64.01,65.19,1049200,65.01998
2016-11-15,64.75,64.75,64.75,64.75,000,64.58112
2016-11-14,63.49,66.09,63.13,64.75,1667800,64.58112
2016-11-11,64.60,66.20,63.50,63.96,1576500,63.79318
2016-11-10,67.25,68.19,64.51,65.46,1309600,65.28927
