Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,7.38,7.69,7.37,7.50,14311600,7.50
2017-01-23,7.28,7.39,7.21,7.36,9044200,7.36
2017-01-20,6.91,7.27,6.91,7.26,10121100,7.26
2017-01-19,6.85,6.92,6.80,6.90,8729500,6.90
2017-01-18,6.91,6.94,6.82,6.86,4010300,6.86
2017-01-17,6.73,6.95,6.72,6.88,8425600,6.88
2017-01-16,6.80,6.80,6.66,6.74,3686700,6.74
2017-01-13,6.88,6.99,6.70,6.75,7062000,6.75
2017-01-12,6.90,6.91,6.76,6.89,12968500,6.89
2017-01-11,6.60,6.74,6.42,6.59,6644800,6.59
2017-01-10,6.49,6.63,6.49,6.56,8823500,6.56
2017-01-09,6.35,6.48,6.28,6.45,9512900,6.45
2017-01-06,6.20,6.43,6.19,6.35,9024300,6.35
2017-01-05,6.22,6.24,6.17,6.19,6732800,6.19
2017-01-04,6.17,6.25,6.15,6.18,5369900,6.18
2017-01-03,6.13,6.32,6.13,6.18,15058700,6.18
2017-01-02,6.14,6.17,6.06,6.11,2054000,6.11
2016-12-30,6.14,6.14,6.14,6.14,000,6.14
2016-12-29,6.16,6.19,6.05,6.14,5038800,6.14
2016-12-28,6.00,6.27,6.00,6.15,5959700,6.15
2016-12-27,6.01,6.05,5.95,6.00,5875700,6.00
2016-12-26,5.96,5.99,5.91,5.99,1825000,5.99
2016-12-23,5.96,6.00,5.90,5.92,5312800,5.92
2016-12-22,5.92,5.96,5.86,5.93,5195800,5.93
2016-12-21,5.92,5.92,5.92,5.92,8502200,5.92
2016-12-20,5.96,5.98,5.88,5.97,5946500,5.97
2016-12-19,5.95,6.00,5.81,5.93,9162700,5.93
2016-12-16,5.76,6.08,5.76,5.94,10576400,5.94
2016-12-15,5.72,5.88,5.70,5.72,6071700,5.72
2016-12-14,5.95,5.98,5.71,5.71,5927500,5.71
2016-12-13,5.81,5.97,5.72,5.93,7157900,5.93
2016-12-12,5.90,5.93,5.65,5.86,8313500,5.86
2016-12-09,5.94,6.14,5.87,6.02,5398100,6.02
2016-12-08,5.99,6.05,5.82,5.92,5134500,5.92
2016-12-07,6.05,6.08,5.84,5.92,5550700,5.92
2016-12-06,5.80,5.97,5.71,5.95,4706300,5.95
2016-12-05,5.89,6.04,5.75,5.84,4995300,5.84
2016-12-02,5.80,5.91,5.56,5.83,8603700,5.83
2016-12-01,6.43,6.48,5.81,5.91,11751600,5.91
2016-11-30,6.30,6.51,6.17,6.36,11725500,6.36
2016-11-29,6.59,6.72,6.20,6.20,7728700,6.20
2016-11-28,6.23,6.61,6.23,6.60,10230000,6.60
2016-11-25,6.10,6.22,5.98,6.18,3370600,6.18
2016-11-24,6.24,6.27,6.11,6.17,2284100,6.17
2016-11-23,6.17,6.39,6.05,6.18,7797600,6.18
2016-11-22,6.07,6.29,6.03,6.20,9455900,6.20
2016-11-21,5.87,5.99,5.76,5.99,6151900,5.99
2016-11-18,5.80,5.99,5.57,5.75,7826400,5.75
2016-11-17,5.68,6.00,5.68,5.79,16587700,5.79
2016-11-16,5.30,5.50,5.28,5.46,14688200,5.46
2016-11-15,5.25,5.25,5.25,5.25,000,5.25
2016-11-14,5.44,5.48,5.08,5.25,17504200,5.25
2016-11-11,6.09,6.15,5.19,5.51,21105200,5.51
2016-11-10,6.80,6.90,6.10,6.10,11773400,6.10
2016-11-09,6.20,6.76,6.15,6.72,10345700,6.72
2016-11-08,6.55,6.84,6.46,6.76,5423800,6.76
2016-11-07,6.28,6.58,6.27,6.55,5251600,6.55
2016-11-04,6.37,6.46,6.06,6.10,10464600,6.10
2016-11-03,6.77,6.78,6.32,6.36,11986000,6.36
2016-11-02,6.90,6.90,6.90,6.90,000,6.90
2016-11-01,7.20,7.28,6.85,6.90,7639400,6.90
2016-10-31,6.88,7.24,6.88,7.14,12803700,7.14
2016-10-28,6.84,6.88,6.78,6.85,4079300,6.85
2016-10-27,6.73,6.89,6.73,6.84,3943500,6.84
2016-10-26,6.83,6.86,6.66,6.73,6349700,6.73
2016-10-25,6.86,6.89,6.76,6.83,5551700,6.83
2016-10-24,6.81,6.88,6.76,6.83,4935900,6.83
2016-10-21,6.83,6.90,6.73,6.77,3882500,6.77
2016-10-20,6.63,6.89,6.50,6.85,5814600,6.85
2016-10-19,6.90,7.07,6.64,6.65,10464900,6.65
2016-10-18,6.57,6.97,6.56,6.86,11188700,6.86
2016-10-17,6.58,6.62,6.50,6.56,6895600,6.56
2016-10-14,6.58,6.65,6.55,6.58,6346500,6.58
2016-10-13,6.55,6.74,6.41,6.52,10671300,6.52
