Date,Open,High,Low,Close,Volume,Adj Close
2013-05-20,14.92,15.06,14.66,15.05,2054100,15.05
2013-05-17,14.92,14.93,14.67,14.75,2592700,14.75
2013-05-16,14.45,14.95,14.42,14.80,6395000,14.80
2013-05-15,14.20,14.50,14.12,14.35,1945200,14.35
2013-05-14,14.38,14.44,14.16,14.16,2641200,14.16
2013-05-13,14.35,14.43,14.24,14.24,1446900,14.24
2013-05-10,14.36,14.59,14.36,14.40,1927800,14.40
2013-05-09,14.68,14.72,14.31,14.54,3134000,14.54
2013-05-08,14.61,14.83,14.51,14.60,2077400,14.60
2013-05-07,14.15,14.79,14.15,14.69,2164100,14.69
2013-05-06,14.34,14.39,14.09,14.15,4308700,14.15
2013-05-03,14.60,14.76,14.19,14.25,7890600,14.25
2013-05-02,14.52,14.91,14.42,14.45,4145100,14.45
2013-05-01,14.70,14.70,14.70,14.70,000,14.70
2013-04-30,14.22,14.80,14.17,14.70,3935000,14.70
2013-04-29,14.29,14.48,14.07,14.20,4678600,14.20
2013-04-25,14.35,14.40,14.07,14.20,7010000,14.20
2013-04-24,14.62,14.88,14.48,14.56,3814100,14.56
2013-04-23,14.45,14.75,14.37,14.55,3615700,14.55
2013-04-22,14.46,14.70,14.41,14.59,1632900,14.59
2013-04-19,14.40,14.64,14.08,14.58,2254700,14.58
2013-04-18,14.32,14.49,13.96,14.29,3036300,14.29
2013-04-17,14.30,14.49,14.22,14.30,5032800,14.30
2013-04-16,14.48,14.78,14.29,14.60,2027500,14.60
2013-04-15,14.17,14.67,14.14,14.38,2649500,14.38
2013-04-12,14.41,14.65,14.25,14.45,2292300,14.45
2013-04-11,14.47,14.62,14.37,14.56,2743900,14.56
2013-04-10,14.31,14.68,14.31,14.51,3176300,14.51
2013-04-09,14.11,14.51,14.03,14.22,2738200,14.22
2013-04-08,14.00,14.24,13.84,14.07,1818100,14.07
2013-04-05,14.10,14.21,13.74,14.11,2868100,14.11
2013-04-04,14.33,14.39,14.10,14.11,2267900,14.11
2013-04-03,14.25,14.45,14.15,14.39,1778600,14.39
2013-04-02,14.62,14.72,14.21,14.23,2865200,14.23
2013-04-01,14.62,14.72,14.48,14.49,2015500,14.49
2013-03-29,14.31,14.31,14.31,14.31,000,14.24
2013-03-28,14.31,14.31,14.31,14.31,000,14.24
2013-03-27,14.25,14.61,14.25,14.31,1945800,14.24
2013-03-26,14.41,14.57,14.30,14.45,3291200,14.38
2013-03-25,14.70,14.85,14.30,14.32,3779200,14.25
2013-03-22,15.06,15.14,14.70,14.72,4154200,14.65
2013-03-21,15.00,15.14,14.88,14.93,2422000,14.86
2013-03-20,14.96,15.20,14.81,15.05,3094000,14.98
2013-03-19,15.30,15.36,14.93,14.97,3830400,14.90
2013-03-18,15.30,15.36,15.13,15.30,3814600,15.23
2013-03-15,15.20,15.70,15.04,15.40,6185000,15.33
