Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,49.95,51.60,49.92,51.50,1024000,51.50
2017-01-23,49.48,49.92,48.79,49.92,385800,49.92
2017-01-20,49.26,49.55,48.67,49.50,529600,49.50
2017-01-19,49.00,49.65,48.65,48.95,473200,48.95
2017-01-18,48.61,49.00,48.24,48.92,662100,48.92
2017-01-17,46.99,48.25,46.91,47.99,438700,47.99
2017-01-16,46.51,47.22,46.21,46.81,206300,46.81
2017-01-13,47.35,47.36,45.96,46.50,413500,46.50
2017-01-12,47.45,48.45,46.89,47.00,1554400,47.00
2017-01-11,46.11,46.79,44.70,46.70,376800,46.70
2017-01-10,46.21,46.73,45.57,46.11,285300,46.11
2017-01-09,45.16,46.88,44.88,46.01,492700,46.01
2017-01-06,46.91,46.99,44.56,44.82,601500,44.82
2017-01-05,47.10,47.40,45.70,46.90,557300,46.90
2017-01-04,46.51,47.56,46.12,47.07,679200,47.07
2017-01-03,44.99,48.18,44.28,46.97,487500,46.97
2017-01-02,44.44,45.04,44.00,44.39,95000,44.39
2016-12-30,44.73,44.73,44.73,44.73,000,44.70
2016-12-29,44.76,45.68,44.19,44.73,808300,44.70
2016-12-28,44.23,45.65,43.75,44.75,834100,44.72
2016-12-27,43.49,45.35,43.18,44.23,592400,44.20
2016-12-26,43.57,43.57,42.68,43.12,119600,43.09
2016-12-23,42.74,43.09,42.00,43.05,329300,43.02
2016-12-22,41.83,42.80,39.98,42.25,394500,42.22
2016-12-21,41.83,41.83,41.83,41.83,458700,41.80
2016-12-20,40.53,40.94,38.76,40.30,692400,40.27
2016-12-19,40.05,40.74,39.53,40.28,312600,40.25
2016-12-16,40.54,40.54,39.33,39.93,819800,39.90
2016-12-15,41.40,41.40,40.00,40.00,579200,39.97
2016-12-14,42.72,42.88,41.53,41.53,588800,41.50
2016-12-13,43.50,43.72,42.12,42.63,528100,42.60
2016-12-12,43.34,44.26,42.73,44.06,522500,44.03
2016-12-09,44.88,45.69,43.56,44.00,547300,43.97
2016-12-08,45.93,45.99,44.12,44.65,434000,44.62
2016-12-07,45.10,45.26,43.92,45.25,673700,45.22
2016-12-06,42.80,44.97,42.56,44.90,724800,44.87
2016-12-05,41.72,43.85,41.72,43.28,1904400,43.25
2016-12-02,42.50,43.26,40.60,41.29,1223600,41.26
2016-12-01,47.85,47.85,42.54,43.05,1063800,43.02
2016-11-30,47.10,47.85,45.86,47.85,732400,47.82
