Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,14.30,14.90,14.30,14.55,5142400,14.55
2017-01-23,13.89,14.36,13.26,14.28,4621100,14.28
2017-01-20,13.99,14.31,13.73,13.88,5740100,13.88
2017-01-19,13.49,14.13,13.49,14.07,6189900,14.07
2017-01-18,13.35,13.40,13.24,13.35,2074100,13.35
2017-01-17,13.20,13.34,13.05,13.29,2243000,13.29
2017-01-16,12.99,13.35,12.97,13.33,1755100,13.33
2017-01-13,13.14,13.28,12.92,12.92,4303000,12.92
2017-01-12,13.25,13.30,12.87,13.13,6845700,13.13
2017-01-11,13.64,13.83,13.23,13.28,3032000,13.28
2017-01-10,13.73,13.86,13.61,13.61,1386300,13.61
2017-01-09,13.78,13.92,13.70,13.70,1626900,13.70
2017-01-06,13.74,13.94,13.66,13.77,3083900,13.77
2017-01-05,13.65,13.81,13.44,13.67,4381500,13.67
2017-01-04,13.94,13.99,13.45,13.65,5170500,13.65
2017-01-03,14.00,14.03,13.75,14.01,3558900,14.01
2017-01-02,14.18,14.18,13.82,13.93,2006800,13.93
2016-12-30,14.20,14.20,14.20,14.20,000,14.20
2016-12-29,13.70,14.20,13.50,14.20,2662800,14.20
2016-12-28,13.73,13.88,13.46,13.77,2096100,13.77
2016-12-27,13.60,13.73,13.43,13.57,1397100,13.57
2016-12-26,13.12,13.52,13.12,13.47,1187800,13.47
2016-12-23,13.31,13.45,13.10,13.18,1915300,13.18
2016-12-22,13.54,13.62,13.15,13.38,2431200,13.38
2016-12-21,13.54,13.54,13.54,13.54,1331000,13.54
2016-12-20,13.71,13.76,13.42,13.55,2330500,13.55
2016-12-19,14.04,14.08,13.54,13.71,2068500,13.71
2016-12-16,13.69,14.05,13.54,13.89,2869600,13.89
2016-12-15,14.00,14.00,13.51,13.72,3670800,13.72
2016-12-14,13.35,13.95,13.01,13.68,3886900,13.68
2016-12-13,13.47,13.55,13.00,13.30,4726900,13.30
2016-12-12,13.73,13.91,13.46,13.50,2326000,13.50
2016-12-09,13.83,13.93,13.50,13.76,3034800,13.76
2016-12-08,13.87,14.04,13.49,13.71,3685600,13.71
2016-12-07,13.65,13.90,13.30,13.81,4557500,13.81
2016-12-06,12.83,13.65,12.76,13.65,5267200,13.65
2016-12-05,12.85,13.04,12.52,12.82,2461800,12.82
2016-12-02,12.75,12.97,12.41,12.83,4375600,12.83
2016-12-01,12.98,13.35,12.62,12.71,6031800,12.71
2016-11-30,13.39,13.56,12.77,12.85,5976400,12.85
2016-11-29,13.05,13.79,13.05,13.35,5475900,13.35
2016-11-28,12.61,13.09,12.59,12.99,4503800,12.99
2016-11-25,12.95,12.98,12.63,12.80,3842400,12.80
2016-11-24,12.73,12.87,12.41,12.68,2575900,12.68
2016-11-23,12.70,13.02,12.59,12.65,4794200,12.65
2016-11-22,12.10,12.89,11.95,12.49,7236000,12.49
2016-11-21,11.87,12.17,11.71,11.84,2966300,11.84
2016-11-18,12.02,12.40,11.54,11.98,4885400,11.98
2016-11-17,11.63,12.17,11.41,12.01,6499000,12.01
2016-11-16,12.27,12.27,11.48,11.63,7419500,11.63
2016-11-15,12.31,12.31,12.31,12.31,000,12.31
2016-11-14,12.86,13.10,12.25,12.31,7898200,12.31
2016-11-11,12.50,13.04,12.06,12.65,13240300,12.65
2016-11-10,10.83,12.13,10.81,12.05,11974100,12.05
2016-11-09,10.40,10.75,10.12,10.61,6128700,10.61
2016-11-08,10.54,10.69,10.38,10.41,2346100,10.41
2016-11-07,10.75,10.81,10.22,10.50,3839600,10.50
2016-11-04,10.85,11.00,10.56,10.65,2613900,10.65
2016-11-03,11.26,11.36,10.76,10.83,4431100,10.83
2016-11-02,11.26,11.26,11.26,11.26,000,11.26
2016-11-01,11.26,11.40,11.07,11.26,5137500,11.26
2016-10-31,11.09,11.30,11.00,11.26,3532200,11.26
2016-10-28,10.85,11.20,10.85,11.02,2836000,11.02
2016-10-27,11.14,11.14,10.77,10.77,3684900,10.77
2016-10-26,10.75,11.29,10.68,11.00,6498400,11.00
2016-10-25,10.38,10.94,10.36,10.79,11312500,10.79
2016-10-24,10.24,10.42,10.24,10.38,3036900,10.38
2016-10-21,10.18,10.31,9.95,10.25,2980500,10.25
2016-10-20,10.20,10.24,10.05,10.09,2601400,10.09
2016-10-19,10.34,10.48,10.21,10.24,2861800,10.24
2016-10-18,10.24,10.34,10.16,10.32,3275900,10.32
2016-10-17,10.27,10.31,10.14,10.24,2711400,10.24
2016-10-14,10.23,10.45,10.18,10.20,3063100,10.20
2016-10-13,10.23,10.30,10.08,10.23,4385300,10.23
2016-10-12,10.22,10.22,10.22,10.22,000,10.22
2016-10-11,10.34,10.38,10.18,10.22,4215600,10.22
2016-10-10,10.40,10.54,10.18,10.25,5171300,10.25
2016-10-07,10.73,10.77,10.37,10.45,5215600,10.45
2016-10-06,10.53,10.84,10.48,10.75,3104500,10.75
2016-10-05,10.50,10.60,10.42,10.58,2191900,10.58
2016-10-04,10.63,10.64,10.41,10.50,3086600,10.50
2016-10-03,10.41,10.65,10.37,10.52,3344100,10.52
2016-09-30,10.53,10.66,10.36,10.47,5263400,10.47
2016-09-29,10.43,10.66,10.37,10.61,4425500,10.61
2016-09-28,10.19,10.36,10.13,10.35,4249500,10.35
2016-09-27,9.85,10.16,9.78,10.04,3241500,10.04
2016-09-26,9.97,10.11,9.66,9.87,3649100,9.87
2016-09-23,9.67,10.20,9.65,10.02,6762200,10.02
2016-09-22,9.55,9.62,9.42,9.50,5226200,9.50
2016-09-21,9.88,9.94,9.58,9.58,5472700,9.58
2016-09-20,10.22,10.22,9.87,9.94,5953100,9.94
2016-09-19,10.48,10.50,10.25,10.25,2992900,10.25
2016-09-16,10.50,10.56,10.42,10.48,2418100,10.48
2016-09-15,10.42,10.45,10.28,10.43,2278800,10.43
2016-09-14,10.68,10.71,10.41,10.41,3493700,10.41
2016-09-13,10.80,10.88,10.53,10.64,5100300,10.64
2016-09-12,10.88,11.15,10.47,10.57,5927500,10.57
2016-09-09,10.80,10.98,10.73,10.82,5561000,10.82
2016-09-08,10.64,10.72,10.42,10.72,5421800,10.72
2016-09-07,10.66,10.66,10.66,10.66,000,10.66
2016-09-06,10.69,10.78,10.51,10.66,4065100,10.66
2016-09-05,10.86,10.95,10.68,10.70,1705500,10.70
2016-09-02,10.80,10.83,10.56,10.80,5715700,10.80
2016-09-01,10.25,10.96,10.25,10.91,9055000,10.91
2016-08-31,10.10,10.21,10.01,10.20,3879100,10.20
2016-08-30,9.87,10.28,9.87,10.10,4217600,10.10
2016-08-29,9.88,10.04,9.80,9.86,6001700,9.86
2016-08-26,9.85,10.05,9.75,9.87,8253000,9.87
2016-08-25,9.99,10.09,9.83,9.89,3901100,9.89
2016-08-24,10.20,10.29,9.92,9.99,4337300,9.99
2016-08-23,9.56,10.17,9.46,9.99,8785100,9.99
2016-08-22,9.79,9.79,9.48,9.55,2597800,9.55
2016-08-19,9.87,9.91,9.75,9.78,2352800,9.78
2016-08-18,9.91,9.95,9.81,9.88,3794500,9.88
2016-08-17,10.09,10.10,9.77,9.92,3661600,9.92
2016-08-16,10.02,10.09,9.90,9.98,2682400,9.98
2016-08-15,10.00,10.09,9.90,10.09,2426200,10.09
2016-08-12,10.03,10.15,9.79,9.99,3872700,9.99
2016-08-11,9.78,10.07,9.70,9.99,3341200,9.99
