Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,9.01,9.23,8.96,9.05,2996600,9.05
2017-01-23,8.83,9.10,8.83,8.99,2976800,8.99
2017-01-20,8.85,9.14,8.67,8.77,5619000,8.77
2017-01-19,8.66,8.84,8.63,8.80,3937500,8.80
2017-01-18,8.54,8.69,8.47,8.65,1903200,8.65
2017-01-17,8.46,8.59,8.42,8.49,2034700,8.49
2017-01-16,8.41,8.49,8.31,8.49,2209700,8.49
2017-01-13,8.33,8.45,8.33,8.41,2168000,8.41
2017-01-12,8.48,8.53,8.34,8.34,3736700,8.34
2017-01-11,8.37,8.37,8.21,8.26,3093600,8.26
2017-01-10,8.26,8.38,8.13,8.30,2355300,8.30
2017-01-09,8.26,8.37,8.16,8.22,1383800,8.22
2017-01-06,8.36,8.36,8.15,8.23,7028500,8.23
2017-01-05,8.21,8.37,8.16,8.33,4752200,8.33
2017-01-04,8.00,8.23,8.00,8.23,3289300,8.23
2017-01-03,7.73,8.16,7.73,8.07,2690200,8.07
2017-01-02,7.74,7.83,7.66,7.73,624300,7.73
2016-12-30,7.83,7.83,7.83,7.83,000,7.83
2016-12-29,7.78,7.86,7.63,7.83,2026500,7.83
2016-12-28,7.63,7.85,7.62,7.75,1590300,7.75
2016-12-27,7.70,7.73,7.60,7.63,990800,7.63
2016-12-26,7.67,7.69,7.60,7.64,500800,7.64
2016-12-23,7.66,7.69,7.56,7.61,1036700,7.61
2016-12-22,7.76,7.77,7.55,7.62,1507100,7.62
2016-12-21,7.76,7.76,7.76,7.76,2259700,7.76
2016-12-20,7.60,7.74,7.59,7.72,2078400,7.72
2016-12-19,7.69,7.74,7.56,7.56,1568200,7.56
2016-12-16,7.75,7.88,7.65,7.65,3876800,7.65
2016-12-15,7.63,7.74,7.46,7.71,3436400,7.71
2016-12-14,7.89,7.90,7.64,7.64,3329500,7.64
2016-12-13,7.91,8.12,7.79,7.89,2659700,7.89
2016-12-12,7.99,8.08,7.85,7.97,2449300,7.97
2016-12-09,8.39,8.39,8.00,8.06,1994200,8.06
2016-12-08,8.30,8.40,8.10,8.30,3174900,8.30
2016-12-07,8.21,8.27,8.03,8.20,2703200,8.20
2016-12-06,7.79,8.17,7.79,8.17,1888500,8.17
2016-12-05,8.02,8.03,7.77,7.89,1542700,7.89
2016-12-02,7.77,8.01,7.59,7.98,3039900,7.98
2016-12-01,8.11,8.13,7.78,7.90,5404200,7.90
2016-11-30,8.24,8.46,8.12,8.30,4083700,8.30
2016-11-29,8.21,8.29,8.12,8.14,1196800,8.14
2016-11-28,8.16,8.31,8.07,8.30,2264900,8.30
2016-11-25,8.06,8.34,7.95,8.24,1561100,8.24
2016-11-24,8.32,8.35,8.17,8.17,389300,8.17
2016-11-23,8.26,8.36,8.19,8.36,3123900,8.36
2016-11-22,8.38,8.50,8.25,8.33,2703600,8.33
2016-11-21,8.23,8.48,8.23,8.38,2558900,8.38
2016-11-18,8.21,8.43,8.12,8.28,1641000,8.28
2016-11-17,8.52,8.52,8.27,8.28,2419000,8.28
2016-11-16,8.19,8.50,8.07,8.45,4368700,8.45
2016-11-15,8.11,8.11,8.11,8.11,000,8.11
2016-11-14,7.86,8.14,7.80,8.11,3428300,8.11
2016-11-11,7.92,8.32,7.87,7.92,4045900,7.92
2016-11-10,8.61,8.72,8.19,8.21,4201000,8.21
2016-11-09,8.35,8.84,8.26,8.70,3236300,8.70
2016-11-08,8.67,8.91,8.67,8.75,2635800,8.75
2016-11-07,8.65,8.87,8.65,8.81,2866900,8.81
2016-11-04,8.62,8.71,8.52,8.58,3583500,8.58
2016-11-03,8.81,8.90,8.63,8.63,2450800,8.63
2016-11-02,8.71,8.71,8.71,8.71,000,8.71
2016-11-01,9.00,9.50,8.70,8.71,6423100,8.71
2016-10-31,8.76,8.86,8.70,8.86,1850600,8.86
2016-10-28,8.69,8.82,8.66,8.78,3055700,8.78
2016-10-27,8.72,8.89,8.62,8.72,3411200,8.72
2016-10-26,8.56,8.73,8.51,8.73,4192900,8.73
