Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,66.90,67.15,66.43,66.76,975400,66.76
2017-01-23,67.00,67.17,66.41,66.88,624100,66.88
2017-01-20,66.42,67.56,66.07,66.80,1588900,66.80
2017-01-19,65.91,66.60,65.70,66.15,967800,66.15
2017-01-18,66.12,66.35,65.62,65.65,1578900,65.65
2017-01-17,66.51,66.99,65.83,66.30,1025100,66.30
2017-01-16,66.73,67.04,66.28,66.81,556100,66.81
2017-01-13,66.91,68.19,66.62,67.13,802800,67.13
2017-01-12,68.30,68.96,66.88,67.50,1594900,67.50
2017-01-11,67.80,68.16,66.78,67.70,798900,67.70
2017-01-10,68.13,68.47,67.64,67.92,1700000,67.92
2017-01-09,67.69,68.49,67.41,67.75,812600,67.75
2017-01-06,68.00,68.64,67.32,68.00,769900,68.00
2017-01-05,67.65,68.68,67.61,68.30,1158800,68.30
2017-01-04,68.53,69.07,67.61,67.90,1131700,67.90
2017-01-03,67.85,69.18,67.85,69.00,1254600,69.00
2017-01-02,67.43,68.28,66.68,67.90,383800,67.90
2016-12-30,68.45,68.45,68.45,68.45,000,68.45
2016-12-29,67.24,69.30,66.60,68.45,967100,68.45
2016-12-28,66.29,67.39,65.55,67.24,847400,67.24
2016-12-27,66.45,66.45,65.54,66.36,565000,66.36
2016-12-26,65.88,66.49,65.36,66.00,280100,66.00
2016-12-23,66.14,66.33,65.32,65.90,746200,65.90
2016-12-22,65.38,66.49,64.90,65.98,1020800,65.98
2016-12-21,65.98,66.50,64.88,65.42,1416900,65.42
2016-12-20,65.61,65.88,64.53,65.81,1014600,65.81
2016-12-19,66.09,66.35,65.33,65.50,918100,65.50
2016-12-16,65.40,66.98,65.32,66.30,1264600,66.30
2016-12-15,65.52,65.52,63.70,65.19,1290900,65.19
2016-12-14,66.51,66.86,65.43,65.61,1494400,65.61
2016-12-13,64.52,67.00,64.20,66.74,1464200,66.74
2016-12-12,65.21,65.70,64.63,65.31,1203500,65.31
2016-12-09,66.33,66.38,64.86,65.80,2856400,65.80
2016-12-08,67.35,67.77,65.80,66.00,1673500,66.00
2016-12-07,68.23,68.47,67.21,67.31,1142300,67.31
2016-12-06,67.79,68.07,66.32,67.90,1292900,67.90
2016-12-05,67.70,69.00,67.48,67.65,1257200,67.65
2016-12-02,68.10,68.60,65.75,68.30,1469700,68.30
2016-12-01,68.10,68.10,68.10,68.10,2101500,68.10
2016-11-30,70.00,70.01,68.50,69.10,1584200,69.10
2016-11-29,70.49,70.59,69.00,69.55,2684000,69.55
2016-11-28,71.23,71.35,70.01,70.90,764300,70.90
2016-11-25,69.68,71.34,69.17,71.15,1065100,71.15
2016-11-24,69.83,70.83,68.58,70.00,619900,70.00
2016-11-23,70.39,70.40,68.36,69.83,819500,69.83
2016-11-22,69.81,71.00,69.17,70.24,1379100,70.24
2016-11-21,69.85,70.65,69.07,69.10,1866500,69.10
2016-11-18,68.68,69.90,67.63,69.21,1699700,69.21
2016-11-17,69.35,69.40,66.15,68.00,2089300,68.00
2016-11-16,66.00,68.74,65.82,68.46,2253500,68.46
2016-11-15,65.62,65.62,65.62,65.62,000,65.62
2016-11-14,65.50,66.12,64.22,65.62,2117000,65.62
2016-11-11,65.30,68.00,63.64,65.40,2737300,65.40
2016-11-10,68.51,68.51,65.62,66.40,2054800,66.40
2016-11-09,69.24,69.25,67.46,68.05,1987100,68.05
2016-11-08,70.10,70.47,69.65,70.10,727800,70.10
2016-11-07,70.15,70.29,69.80,70.00,1201500,70.00
2016-11-04,70.11,70.32,69.32,69.40,1249300,69.40
2016-11-03,69.99,70.40,69.59,70.00,1199600,70.00
2016-11-02,70.36,70.36,70.36,70.36,000,70.36
2016-11-01,72.33,72.33,70.00,70.36,1301200,70.36
2016-10-31,72.46,72.77,71.66,72.33,972500,72.33
2016-10-28,72.51,72.94,71.97,72.60,681500,72.60
2016-10-27,72.69,73.28,72.35,72.52,856700,72.52
2016-10-26,72.79,72.87,71.52,72.75,1030600,72.75
2016-10-25,72.45,72.75,71.57,72.75,736600,72.75
2016-10-24,72.59,72.81,71.88,72.30,877300,72.30
2016-10-21,72.00,73.00,71.62,72.50,1714900,72.50
2016-10-20,72.40,72.48,70.71,72.41,893700,72.41
2016-10-19,73.45,73.79,72.11,72.41,910500,72.41
2016-10-18,73.26,73.75,72.46,73.40,2290300,73.40
2016-10-17,72.14,72.95,71.42,72.95,3632800,72.95
2016-10-14,72.49,72.75,70.93,71.40,3748000,71.40
2016-10-13,71.40,72.08,71.15,72.01,1984500,72.01
2016-10-12,71.50,71.50,71.50,71.50,000,71.50
2016-10-11,73.13,73.13,71.25,71.50,1155200,71.50
2016-10-10,73.25,73.30,72.48,73.15,851500,73.15
2016-10-07,72.61,73.04,71.75,73.00,1145500,73.00
2016-10-06,72.33,72.61,71.69,72.41,826800,72.41
2016-10-05,72.12,72.69,71.88,72.09,699700,72.09
2016-10-04,71.60,71.91,70.62,71.72,867300,71.72
2016-10-03,71.06,72.10,70.99,71.59,905900,71.59
2016-09-30,70.93,72.10,70.51,71.06,1243700,71.06
2016-09-29,71.15,71.43,70.39,70.67,629600,70.67
2016-09-28,70.67,71.41,69.80,71.02,818000,71.02
