Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,32.32,32.79,31.56,32.38,38962900,32.38
2017-01-23,30.18,31.56,30.04,31.50,24634400,31.50
2017-01-20,28.31,30.14,28.31,30.05,33914500,30.05
2017-01-19,29.57,29.57,28.40,28.69,24926800,28.69
2017-01-18,28.85,30.08,28.80,29.44,31021100,29.44
2017-01-17,28.59,28.85,28.21,28.49,21557000,28.49
2017-01-16,28.56,29.25,28.49,29.06,20510200,29.06
2017-01-13,27.18,28.14,27.11,28.14,18768800,28.14
2017-01-12,27.70,27.83,27.45,27.48,24050000,27.48
2017-01-11,26.60,26.95,26.26,26.91,25263800,26.91
2017-01-10,25.50,26.22,25.42,26.17,26728700,26.17
2017-01-09,24.58,25.00,24.51,24.62,17575800,24.62
2017-01-06,24.35,24.65,24.00,24.11,15691500,24.11
2017-01-05,23.90,24.91,23.71,24.75,27616000,24.75
2017-01-04,23.95,23.99,23.33,23.65,19049600,23.65
2017-01-03,23.10,24.11,23.10,24.11,18098700,24.11
2017-01-02,22.93,23.12,22.77,22.85,3943800,22.85
2016-12-30,23.34,23.34,23.34,23.34,000,23.34
2016-12-29,23.89,23.96,23.25,23.34,14525200,23.34
2016-12-28,23.40,23.97,23.37,23.80,15640600,23.80
2016-12-27,22.97,23.29,22.90,23.10,9879900,23.10
2016-12-26,22.37,22.92,22.04,22.82,4235200,22.82
2016-12-23,21.95,22.38,21.61,22.27,16352900,22.27
2016-12-22,22.50,22.57,21.72,21.78,18927600,21.78
2016-12-21,23.44,23.44,22.76,22.97,11405900,22.97
2016-12-20,23.00,23.28,22.65,23.14,16789300,23.14
2016-12-19,24.31,24.48,22.79,22.79,34123800,22.79
2016-12-16,25.11,25.30,24.33,24.33,20863900,24.33
2016-12-15,24.59,25.36,24.19,25.04,24052200,25.04
2016-12-14,24.90,25.15,24.37,24.60,22461100,24.60
2016-12-13,25.92,26.15,25.07,25.15,20831900,25.15
2016-12-12,26.65,26.89,25.95,26.23,13995700,26.23
2016-12-09,26.76,27.06,26.30,26.55,20879100,26.55
2016-12-08,28.00,28.26,26.60,26.73,30073800,26.73
2016-12-07,27.74,27.93,27.51,27.84,22147500,27.84
2016-12-06,26.40,27.04,26.23,27.00,14776300,27.00
2016-12-05,26.80,26.90,26.20,26.62,14900000,26.62
2016-12-02,24.78,26.48,24.35,26.41,28172900,26.41
2016-12-01,26.30,26.84,24.82,25.30,34989300,25.1337
2016-11-30,25.96,26.46,25.31,25.55,41319200,25.38206
2016-11-29,26.89,27.05,26.18,26.35,54666500,26.1768
2016-11-28,25.90,27.50,25.71,27.50,26743900,27.31925
2016-11-25,24.73,25.86,24.52,25.86,24265200,25.69003
2016-11-24,25.25,25.34,24.70,24.74,8626200,24.57739
2016-11-23,24.83,25.35,24.44,25.19,23346400,25.02443
2016-11-22,24.94,25.00,24.46,24.87,30518400,24.70653
2016-11-21,22.45,23.43,22.25,23.43,26458200,23.276
2016-11-18,22.31,22.50,21.47,22.20,37034500,22.05408
2016-11-17,23.15,23.38,22.50,22.52,21947400,22.37198
2016-11-16,23.45,23.67,22.62,22.90,37698200,22.74948
2016-11-15,24.72,24.72,24.72,24.72,000,24.55752
2016-11-14,23.49,24.78,23.23,24.72,28680500,24.55752
2016-11-11,25.50,25.88,23.42,23.61,56627000,23.45481
2016-11-10,24.00,25.43,23.75,24.90,64095500,24.73633
2016-11-09,22.25,23.85,22.12,23.01,54356000,22.85876
2016-11-08,22.01,23.04,21.92,22.59,32079700,22.44152
2016-11-07,21.28,22.19,21.25,22.19,26047600,22.04415
2016-11-04,20.40,20.84,20.16,20.50,22779900,20.36526
2016-11-03,20.55,21.07,20.38,20.45,21120800,20.31558
2016-11-02,20.77,20.77,20.77,20.77,000,20.63348
2016-11-01,20.97,21.17,20.07,20.77,29490600,20.63348
