Date,Open,High,Low,Close,Volume,Adj Close
2017-01-24,34.07,34.72,33.27,34.13,5373900,34.13
2017-01-23,32.21,33.48,32.19,33.31,4369600,33.31
2017-01-20,30.99,32.43,30.95,32.10,6309700,32.10
2017-01-19,32.00,32.02,31.03,31.47,5303100,31.47
2017-01-18,30.35,32.69,30.35,32.11,14846300,32.11
2017-01-17,31.23,31.30,30.49,30.57,5968500,30.57
2017-01-16,31.20,32.11,31.20,31.82,2018500,31.82
2017-01-13,29.89,31.20,29.70,30.98,4424800,30.98
2017-01-12,30.08,30.42,29.71,30.07,5500500,30.07
2017-01-11,28.81,29.19,28.33,29.13,3499900,29.13
2017-01-10,27.42,28.54,27.42,28.54,3606500,28.54
2017-01-09,26.30,26.85,26.27,26.50,3407800,26.50
2017-01-06,26.29,26.59,25.86,25.97,4213500,25.97
2017-01-05,25.98,26.90,25.78,26.68,4031600,26.68
2017-01-04,26.06,26.23,25.36,25.70,2144400,25.70
2017-01-03,25.51,26.17,25.40,26.17,5658500,26.17
2017-01-02,25.28,25.49,25.05,25.06,1118500,25.06
2016-12-30,25.68,25.68,25.68,25.68,000,25.68
2016-12-29,26.68,26.85,25.50,25.68,4778000,25.68
2016-12-28,26.21,26.92,26.21,26.68,6264000,26.68
2016-12-27,26.23,26.39,25.83,25.86,1967300,25.86
2016-12-26,25.33,26.07,25.14,25.99,854600,25.99
2016-12-23,25.46,25.72,25.18,25.19,4234100,25.19
2016-12-22,25.90,26.03,25.21,25.38,3926800,25.38
2016-12-21,26.71,26.94,26.22,26.48,3690600,26.48
2016-12-20,26.21,26.64,25.92,26.58,4565700,26.58
2016-12-19,27.70,27.94,25.99,26.05,6369800,26.05
2016-12-16,28.28,28.59,27.75,27.75,6343900,27.75
2016-12-15,27.80,28.63,27.34,28.23,5288200,28.23
2016-12-14,28.15,28.67,27.50,27.88,7732900,27.88
2016-12-13,28.95,29.51,28.06,28.33,6229000,28.33
2016-12-12,29.79,30.05,29.19,29.49,3642800,29.49
2016-12-09,30.28,30.40,29.46,29.61,5973500,29.61
2016-12-08,31.30,31.65,30.00,30.13,5145300,30.13
2016-12-07,30.88,31.48,30.43,31.03,6300800,31.03
2016-12-06,29.32,30.00,29.13,30.00,4878800,30.00
2016-12-05,29.77,30.15,29.21,29.60,4397400,29.60
2016-12-02,27.81,29.49,27.45,29.49,9537100,29.49
2016-12-01,29.07,30.25,27.91,28.47,11799200,28.30371
2016-11-30,28.98,29.55,27.92,28.06,14907900,27.8961
2016-11-29,30.43,30.45,28.86,29.18,9459400,29.00956
2016-11-28,29.00,31.01,28.59,31.01,8817900,30.82887
2016-11-25,27.53,28.90,27.51,28.90,6218900,28.73119
2016-11-24,28.29,28.53,27.59,27.59,2690500,27.42885
2016-11-23,27.75,28.37,27.34,28.17,6486000,28.00546
2016-11-22,27.07,27.88,26.90,27.77,7431700,27.6078
2016-11-21,24.75,25.90,24.65,25.83,6291900,25.67913
2016-11-18,24.60,24.87,23.72,24.57,6893800,24.42649
2016-11-17,25.49,25.60,24.74,24.74,8337800,24.59549
2016-11-16,25.09,25.32,24.17,25.15,7501900,25.0031
2016-11-15,26.46,26.46,26.46,26.46,000,26.30545
2016-11-14,25.82,26.74,25.56,26.46,7093100,26.30545
2016-11-11,27.69,28.01,25.80,25.98,15173900,25.82825
2016-11-10,25.96,27.41,25.80,26.87,10367700,26.71305
2016-11-09,23.60,25.89,23.32,25.00,13530400,24.85397
2016-11-08,23.01,24.30,22.98,23.97,4850600,23.82999
2016-11-07,22.39,23.21,22.20,23.13,5148700,22.9949
2016-11-04,21.81,22.12,21.44,21.61,7433500,21.48378
2016-11-03,22.05,22.66,21.88,21.96,8953400,21.83173
2016-11-02,22.30,22.30,22.30,22.30,000,22.16974
2016-11-01,22.37,22.65,21.57,22.30,7503800,22.16974
2016-10-31,22.15,22.34,21.66,22.08,6545600,21.95103
2016-10-28,21.85,22.47,21.83,22.14,9967500,22.01068
2016-10-27,22.10,22.31,21.66,22.00,10148800,21.8715
2016-10-26,21.10,21.86,20.82,21.77,10290600,21.64284
2016-10-25,20.83,21.35,20.62,21.35,11607500,21.22529
2016-10-24,20.30,20.61,20.02,20.30,7251300,20.18143
2016-10-21,19.15,20.20,18.88,19.91,16069400,19.79371
2016-10-20,18.67,19.17,18.65,19.10,9474800,18.98844
2016-10-19,18.76,18.92,18.51,18.62,4573100,18.51124
2016-10-18,18.50,18.88,18.34,18.77,9581100,18.66036
2016-10-17,18.09,18.45,17.98,18.24,5163600,18.13346
2016-10-14,18.10,18.33,17.97,18.02,6890600,17.91475
2016-10-13,18.25,18.25,17.70,17.75,18453000,17.64632
2016-10-12,18.60,18.60,18.60,18.60,000,18.49136
2016-10-11,18.88,19.10,18.40,18.60,9733500,18.49136
2016-10-10,18.24,19.09,18.16,19.05,8879800,18.93873
2016-10-07,17.97,18.28,17.72,18.00,10040900,17.89486
2016-10-06,17.84,17.95,17.70,17.80,4178300,17.69603
